game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
DOR X KOL 2020-01-24;;False;1630;penaltyAwarded;varDecision;True;{'name': 'Marco Reus', 'slug': 'marco-reus', 'shortName': 'M. Reus', 'position': 'M', 'userCount': 21696, 'id': 37092};13
BAY X S04 2020-01-25;;False;1655;goalAwarded;varDecision;True;{'name': 'Robert Lewandowski', 'slug': 'robert-lewandowski', 'shortName': 'R. Lewandowski', 'position': 'F', 'userCount': 62994, 'id': 41789};38
DUS X SGE 2020-02-01;4.0;False;1724;goalNotAwarded;varDecision;False;{'name': 'Timothy Chandler', 'slug': 'timothy-chandler', 'shortName': 'T. Chandler', 'position': 'M', 'userCount': 205, 'id': 40239};90
DUS X SGE 2020-02-01;;False;1719;goalAwarded;varDecision;True;{'name': 'Nana Ampomah', 'slug': 'nana-ampomah', 'shortName': 'N. Ampomah', 'position': 'F', 'userCount': 258, 'id': 845137};52
SCP X WOB 2020-02-02;;True;1757;redCardGiven;varDecision;True;{'name': 'Gerrit Holtmann', 'slug': 'gerrit-holtmann', 'shortName': 'G. Holtmann', 'position': 'M', 'userCount': 61, 'id': 253517};34
WOB X DUS 2020-02-08;;False;1805;cardUpgrade;varDecision;True;{'name': 'Marin Pongračić', 'slug': 'marin-pongracic', 'shortName': 'M. Pongračić', 'position': 'D', 'userCount': 697, 'id': 847467};47
BLK X DOR 2020-02-08;;False;1814;goalAwarded;varDecision;False;{'name': 'Jadon Sancho', 'slug': 'jadon-sancho', 'shortName': 'J. Sancho', 'position': 'F', 'userCount': 23898, 'id': 851100};54
BAY X RBL 2020-02-09;;False;1840;penaltyAwarded;varDecision;True;{'name': 'Robert Lewandowski', 'slug': 'robert-lewandowski', 'shortName': 'R. Lewandowski', 'position': 'F', 'userCount': 62994, 'id': 41789};55
TSG X WOB 2020-02-15;;False;1877;penaltyNotAwarded;varDecision;True;{'name': 'Robert Skov', 'slug': 'robert-skov', 'shortName': 'R. Skov', 'position': 'M', 'userCount': 1717, 'id': 327863};59
TSG X WOB 2020-02-15;;False;1876;penaltyNotAwarded;varDecision;False;{'name': 'Kevin Mbabu', 'slug': 'kevin-mbabu', 'shortName': 'K. Mbabu', 'position': 'D', 'userCount': 875, 'id': 227900};50
