game;away_score;data;form_minute_-12;form_minute_-13;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
SAN X CFC 2017-05-20;0;2017-05-20;;;2.0;32.0;19.0;14.0;3.0;5.0;-23.0;-13.0;-25.0;-100.0;-60.0;3.0;-20.0;-12.0;-55.0;-30.0;-48.0;-10.0;39.0;21.0;17.0;18.0;7.0;6.0;-4.0;-27.0;-13.0;-44.0;-33.0;-23.0;-15.0;-13.0;-4.0;-41.0;-26.0;-19.0;-10.0;-4.0;6.0;1.0;-35.0;27.0;18.0;-19.0;-2.0;30.0;-4.0;-2.0;-3.0;-38.0;-25.0;-21.0;-20.0;33.0;18.0;9.0;-22.0;3.0;-4.0;-6.0;-7.0;-3.0;2.0;-44.0;-100.0;-59.0;-33.0;-2.0;-18.0;-5.0;5.0;5.0;5.0;10.0;-8.0;-14.0;-42.0;-28.0;108.0;-21.0;-15.0;-36.0;33.0;-28.0;-14.0;-10.0;-11.0;-12.0;-7.0;63.0;-12.0;-55.0;1;17:00:00;1;CFC;SAN
ATG X FLA 2017-05-20;3;2017-05-20;;;-9.0;-21.0;19.0;7.0;-7.0;-2.0;-3.0;-6.0;-6.0;-41.0;-26.0;-13.0;-17.0;-12.0;-9.0;3.0;8.0;5.0;4.0;4.0;10.0;30.0;-16.0;12.0;-11.0;-26.0;-53.0;-30.0;-18.0;-16.0;-13.0;-31.0;-31.0;-43.0;-65.0;-100.0;-67.0;-38.0;-29.0;-17.0;-15.0;-37.0;-28.0;-23.0;-11.0;-26.0;-14.0;-8.0;-81.0;-50.0;-2.0;-3.0;-4.0;-3.0;-3.0;-5.0;-40.0;18.0;-23.0;-10.0;-72.0;-39.0;-24.0;-92.0;-100.0;-94.0;-56.0;-27.0;-28.0;-31.0;-17.0;-9.0;-13.0;-16.0;-15.0;-8.0;-9.0;-9.0;-43.0;-24.0;-21.0;-20.0;-9.0;14.0;-47.0;-29.0;-27.0;-22.0;-20.0;-25.0;-37.0;-5.0;0;20:00:00;-1;FLA;ATG
CHA X PAL 2017-05-20;0;2017-05-20;;;-10.0;4.0;16.0;15.0;34.0;21.0;12.0;6.0;2.0;-1.0;-1.0;-7.0;-6.0;-9.0;-11.0;-12.0;-7.0;-3.0;-1.0;-1.0;-1.0;8.0;-9.0;11.0;9.0;32.0;1.0;-3.0;-4.0;-7.0;-11.0;-3.0;8.0;-14.0;6.0;6.0;11.0;6.0;-6.0;-5.0;-30.0;17.0;6.0;-69.0;-43.0;-14.0;-30.0;-24.0;-40.0;-14.0;68.0;37.0;25.0;12.0;2.0;-3.0;-18.0;3.0;3.0;-3.0;5.0;78.0;49.0;27.0;14.0;11.0;-3.0;-8.0;-2.0;-3.0;-9.0;73.0;78.0;44.0;24.0;16.0;5.0;1.0;-1.0;-4.0;2.0;2.0;2.0;-29.0;-39.0;-27.0;-19.0;-15.0;-10.0;3.0;-8.0;25.0;1;20:00:00;1;PAL;CHA
VAS X BAH 2017-05-21;1;2017-05-21;;;3.0;39.0;25.0;32.0;20.0;10.0;12.0;49.0;100.0;64.0;12.0;8.0;2.0;-1.0;-23.0;-15.0;-4.0;14.0;27.0;23.0;19.0;57.0;12.0;33.0;18.0;11.0;13.0;12.0;7.0;-30.0;21.0;3.0;8.0;28.0;11.0;36.0;26.0;22.0;25.0;13.0;-50.0;-31.0;-24.0;-12.0;-5.0;23.0;-6.0;-5.0;-1.0;-84.0;65.0;8.0;4.0;29.0;30.0;35.0;20.0;15.0;-11.0;-7.0;-59.0;-41.0;-23.0;66.0;37.0;27.0;12.0;18.0;6.0;-7.0;-5.0;39.0;22.0;19.0;100.0;80.0;45.0;28.0;17.0;17.0;2.0;-24.0;-12.0;-86.0;-50.0;-28.0;-17.0;-16.0;-11.0;55.0;-8.0;40.0;2;12:00:00;1;BAH;VAS
CAP X GRE 2017-05-21;2;2017-05-21;;;10.0;21.0;15.0;10.0;5.0;1.0;-5.0;-5.0;-4.0;-3.0;-3.0;6.0;-2.0;-2.0;-2.0;-22.0;14.0;-4.0;2.0;1.0;-11.0;-2.0;3.0;3.0;-4.0;-20.0;-4.0;7.0;8.0;3.0;6.0;26.0;13.0;9.0;-33.0;-8.0;7.0;7.0;-4.0;-4.0;;-14.0;-87.0;-49.0;-26.0;12.0;38.0;12.0;16.0;17.0;2.0;-8.0;-11.0;-34.0;-26.0;-100.0;34.0;-52.0;-24.0;-18.0;-16.0;7.0;8.0;9.0;11.0;22.0;16.0;19.0;17.0;13.0;15.0;-42.0;-16.0;-6.0;34.0;35.0;57.0;37.0;35.0;35.0;53.0;34.0;17.0;14.0;42.0;47.0;73.0;48.0;33.0;-36.0;22.0;40.0;0;17:00:00;-1;GRE;CAP
CAM X FLU 2017-05-21;2;2017-05-21;;;10.0;45.0;27.0;27.0;40.0;28.0;18.0;-36.0;-15.0;-10.0;-6.0;3.0;-11.0;6.0;26.0;8.0;-8.0;-15.0;-7.0;23.0;47.0;31.0;6.0;87.0;51.0;33.0;21.0;10.0;-3.0;4.0;4.0;-72.0;-38.0;8.0;-96.0;106.0;32.0;44.0;70.0;40.0;20.0;35.0;24.0;43.0;29.0;34.0;3.0;1.0;1.0;-36.0;31.0;-60.0;-31.0;-18.0;-37.0;-19.0;18.0;-11.0;-16.0;-2.0;13.0;39.0;20.0;10.0;-56.0;-61.0;-32.0;10.0;-13.0;41.0;82.0;55.0;36.0;50.0;30.0;22.0;23.0;4.0;-30.0;6.0;9.0;12.0;18.0;19.0;-17.0;-5.0;27.0;18.0;16.0;-9.0;-24.0;75.0;1;17:00:00;-1;FLU;CAM
VIT X COR 2017-05-21;1;2017-05-21;;;-6.0;7.0;44.0;24.0;12.0;4.0;1.0;-4.0;-4.0;-4.0;-4.0;-4.0;-4.0;-19.0;-10.0;6.0;4.0;25.0;20.0;11.0;5.0;2.0;-10.0;-1.0;-2.0;-2.0;-2.0;-12.0;-8.0;-39.0;-22.0;-13.0;-1.0;-7.0;-25.0;-12.0;-12.0;-13.0;-10.0;-56.0;25.0;-4.0;2.0;2.0;1.0;39.0;5.0;-21.0;-14.0;-17.0;-14.0;37.0;-23.0;-19.0;-13.0;-12.0;21.0;-15.0;-17.0;-9.0;-5.0;20.0;40.0;29.0;-31.0;-7.0;-11.0;18.0;-9.0;-6.0;-1.0;-1.0;-5.0;-76.0;-44.0;-24.0;-13.0;27.0;4.0;18.0;17.0;61.0;67.0;39.0;25.0;15.0;37.0;29.0;22.0;16.0;6.0;10.0;0;17:00:00;-1;COR;VIT
BOT X PON 2017-05-21;0;2017-05-21;;;-10.0;-12.0;-4.0;46.0;21.0;8.0;9.0;8.0;42.0;25.0;11.0;-9.0;-73.0;99.0;27.0;12.0;-9.0;-66.0;-68.0;-46.0;-32.0;-21.0;-9.0;-11.0;-8.0;-7.0;-3.0;-1.0;1.0;1.0;1.0;1.0;1.0;-9.0;15.0;6.0;-34.0;-20.0;22.0;6.0;;-4.0;6.0;7.0;2.0;9.0;-1.0;-1.0;-51.0;-30.0;-18.0;-11.0;-7.0;-1.0;-5.0;30.0;-27.0;15.0;8.0;-6.0;-21.0;-14.0;-48.0;75.0;27.0;27.0;17.0;-16.0;35.0;-24.0;-13.0;-37.0;-25.0;-25.0;-16.0;-13.0;-9.0;-9.0;-13.0;-18.0;-39.0;-32.0;-22.0;37.0;61.0;-39.0;-2.0;3.0;-3.0;-12.0;-7.0;-15.0;2;19:00:00;1;PON;BOT
SPT X CRU 2017-05-21;1;2017-05-21;;;10.0;-4.0;45.0;27.0;19.0;14.0;10.0;47.0;25.0;19.0;13.0;8.0;3.0;-80.0;-43.0;-31.0;-22.0;-1.0;31.0;28.0;18.0;12.0;35.0;7.0;3.0;2.0;22.0;89.0;46.0;31.0;52.0;37.0;40.0;31.0;29.0;29.0;21.0;-14.0;7.0;29.0;0.0;19.0;15.0;12.0;5.0;11.0;-2.0;-22.0;-45.0;-24.0;-12.0;-9.0;-2.0;3.0;-37.0;-66.0;-8.0;-40.0;-45.0;-33.0;-18.0;-33.0;-26.0;-20.0;-12.0;-8.0;-38.0;-12.0;-27.0;-70.0;-74.0;-56.0;-58.0;-47.0;-26.0;-16.0;-11.0;-7.0;-22.0;-10.0;-33.0;-57.0;-43.0;-29.0;-21.0;-14.0;-50.0;-31.0;-25.0;-15.0;83.0;5.0;1;20:00:00;0;CRU;SPT
SPO X AVA 2017-05-22;0;2017-05-22;;;10.0;-20.0;-15.0;78.0;43.0;28.0;21.0;15.0;6.0;2.0;2.0;13.0;3.0;3.0;1.0;-1.0;-6.0;-27.0;-20.0;-7.0;5.0;5.0;21.0;9.0;37.0;58.0;34.0;-25.0;-2.0;-9.0;-8.0;-10.0;-4.0;20.0;-3.0;-1.0;-1.0;-10.0;-17.0;-3.0;;38.0;-33.0;-13.0;-7.0;40.0;-6.0;-7.0;8.0;6.0;22.0;17.0;-17.0;-25.0;-46.0;49.0;26.0;-28.0;-10.0;-6.0;-8.0;-10.0;-6.0;-5.0;-5.0;-4.0;-9.0;27.0;-26.0;-26.0;-11.0;-3.0;4.0;7.0;2.0;3.0;-3.0;-47.0;5.0;-28.0;-12.0;-2.0;5.0;10.0;8.0;2.0;94.0;100.0;70.0;8.0;37.0;65.0;2;21:00:00;1;AVA;SPO
VAS X FLU 2017-05-27;2;2017-05-27;;;-10.0;-11.0;-7.0;-4.0;54.0;35.0;24.0;8.0;-42.0;-23.0;-20.0;36.0;-24.0;-10.0;4.0;4.0;1.0;-6.0;28.0;100.0;72.0;36.0;12.0;20.0;4.0;-3.0;-3.0;-8.0;-1.0;-2.0;-3.0;4.0;-5.0;3.0;-27.0;-66.0;-44.0;-31.0;-62.0;-44.0;;-22.0;-17.0;-9.0;21.0;-5.0;37.0;17.0;6.0;-5.0;24.0;4.0;-40.0;-21.0;-7.0;-80.0;-46.0;-47.0;-24.0;26.0;-25.0;-45.0;-26.0;-95.0;-23.0;26.0;11.0;-32.0;2.0;23.0;11.0;-30.0;-18.0;81.0;37.0;24.0;43.0;23.0;-14.0;4.0;-4.0;2.0;-4.0;-5.0;-6.0;-4.0;-4.0;-4.0;-3.0;-12.0;-3.0;40.0;3;17:00:00;1;FLU;VAS
SPO X PAL 2017-05-27;0;2017-05-27;;;8.0;1.0;3.0;20.0;5.0;-6.0;8.0;29.0;35.0;16.0;6.0;2.0;-59.0;-38.0;-46.0;-23.0;-18.0;-12.0;-12.0;-11.0;15.0;48.0;-3.0;23.0;13.0;6.0;-42.0;-32.0;-19.0;-22.0;-18.0;-28.0;-17.0;-3.0;-11.0;-11.0;-12.0;-16.0;11.0;-6.0;;35.0;13.0;2.0;-37.0;-34.0;-26.0;-10.0;21.0;-25.0;-6.0;-3.0;-2.0;-2.0;1.0;-10.0;-21.0;16.0;1.0;16.0;100.0;68.0;35.0;16.0;8.0;-3.0;-27.0;-13.0;-16.0;-15.0;-9.0;-11.0;45.0;28.0;20.0;9.0;8.0;-6.0;16.0;-63.0;-48.0;-34.0;-31.0;75.0;37.0;23.0;13.0;8.0;-20.0;-5.0;-17.0;0.0;2;20:00:00;1;PAL;SPO
VIT X CFC 2017-05-27;1;2017-05-27;;;10.0;-14.0;-40.0;-46.0;-30.0;-15.0;25.0;15.0;10.0;5.0;22.0;4.0;-13.0;5.0;6.0;3.0;-30.0;-17.0;-12.0;-14.0;38.0;17.0;-2.0;48.0;22.0;40.0;18.0;-12.0;-97.0;-66.0;-37.0;-22.0;40.0;3.0;70.0;71.0;56.0;36.0;22.0;34.0;-15.0;18.0;9.0;18.0;29.0;1.0;23.0;12.0;-22.0;-11.0;-45.0;-80.0;-100.0;-70.0;-39.0;-2.0;25.0;-2.0;9.0;3.0;5.0;-2.0;26.0;47.0;-34.0;-27.0;-19.0;18.0;-12.0;-8.0;-16.0;-41.0;-23.0;-32.0;-18.0;-1.0;9.0;-6.0;32.0;-6.0;-52.0;-29.0;-15.0;13.0;24.0;20.0;14.0;26.0;16.0;-44.0;8.0;-20.0;0;22:00:00;-1;CFC;VIT
CAM X PON 2017-05-28;2;2017-05-28;;;7.0;15.0;9.0;51.0;36.0;32.0;29.0;48.0;26.0;15.0;20.0;8.0;17.0;14.0;15.0;15.0;14.0;14.0;18.0;13.0;14.0;9.0;8.0;1.0;7.0;5.0;5.0;5.0;6.0;6.0;66.0;31.0;24.0;8.0;20.0;18.0;12.0;13.0;3.0;-5.0;-30.0;-7.0;40.0;85.0;-81.0;8.0;-23.0;-87.0;-53.0;-35.0;-14.0;-8.0;-6.0;-42.0;-19.0;31.0;7.0;-45.0;71.0;9.0;6.0;2.0;6.0;2.0;3.0;8.0;9.0;7.0;10.0;11.0;-26.0;-46.0;-68.0;-50.0;-25.0;-8.0;5.0;6.0;7.0;6.0;100.0;64.0;39.0;30.0;-34.0;17.0;-29.0;47.0;19.0;16.0;30.0;-85.0;2;12:00:00;0;PON;CAM
CAP X FLA 2017-05-28;1;2017-05-28;;;2.0;17.0;12.0;39.0;27.0;53.0;30.0;21.0;7.0;1.0;-5.0;2.0;-6.0;-6.0;-6.0;-11.0;-13.0;-59.0;-67.0;-6.0;-8.0;-10.0;2.0;4.0;-2.0;39.0;25.0;43.0;22.0;10.0;-3.0;32.0;20.0;5.0;-18.0;-5.0;20.0;1.0;-6.0;-4.0;10.0;2.0;-3.0;-7.0;-10.0;11.0;-10.0;-10.0;-15.0;-36.0;-24.0;-22.0;22.0;37.0;21.0;4.0;-7.0;-19.0;-14.0;-39.0;-26.0;-23.0;-16.0;-12.0;-58.0;-33.0;-17.0;-1.0;42.0;14.0;7.0;-5.0;-4.0;-15.0;-45.0;-28.0;49.0;25.0;8.0;22.0;-17.0;-1.0;-5.0;44.0;26.0;15.0;8.0;-22.0;-14.0;28.0;19.0;-15.0;1;17:00:00;0;FLA;CAP
ATG X COR 2017-05-28;1;2017-05-28;;;-4.0;-13.0;-7.0;-9.0;-6.0;-5.0;-65.0;-38.0;-21.0;-12.0;-31.0;-5.0;-20.0;26.0;2.0;-1.0;5.0;43.0;24.0;15.0;-75.0;-36.0;-20.0;43.0;6.0;-44.0;-30.0;-25.0;-42.0;-29.0;37.0;20.0;48.0;-32.0;25.0;8.0;-3.0;-3.0;-6.0;-1.0;0.0;3.0;4.0;-5.0;1.0;48.0;-40.0;-62.0;-71.0;-16.0;-8.0;-6.0;32.0;-69.0;-28.0;-20.0;16.0;-49.0;-25.0;-12.0;-35.0;-14.0;43.0;24.0;17.0;40.0;46.0;6.0;42.0;22.0;6.0;-3.0;3.0;-2.0;-28.0;-14.0;-25.0;-59.0;-24.0;-38.0;-24.0;-18.0;-13.0;-8.0;-38.0;-26.0;-19.0;-14.0;-13.0;-23.0;-11.0;30.0;0;17:00:00;-1;COR;ATG
SAN X CRU 2017-05-28;1;2017-05-28;;;1.0;-19.0;-34.0;-24.0;69.0;28.0;9.0;10.0;9.0;3.0;-7.0;1.0;-14.0;-10.0;-63.0;-33.0;-5.0;-4.0;-5.0;3.0;4.0;2.0;1.0;2.0;-25.0;-17.0;-8.0;23.0;16.0;18.0;14.0;11.0;7.0;1.0;6.0;11.0;2.0;-4.0;-4.0;5.0;25.0;80.0;52.0;60.0;46.0;1.0;42.0;29.0;17.0;-9.0;-3.0;-1.0;2.0;2.0;-4.0;2.0;-40.0;2.0;3.0;3.0;14.0;12.0;10.0;4.0;6.0;31.0;17.0;26.0;-21.0;35.0;20.0;14.0;13.0;8.0;1.0;39.0;22.0;-21.0;2.0;-5.0;-4.0;-21.0;-15.0;-86.0;-54.0;-30.0;-11.0;-5.0;3.0;-43.0;7.0;-45.0;0;17:00:00;-1;CRU;SAN
