game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
GEN X ROM 26-11-2017;;118786179;yellow;card;True;{'name': 'Adel Taarabt', 'slug': 'adel-taarabt', 'shortName': 'A. Taarabt', 'position': 'M', 'userCount': 2551, 'id': 18126};Adel Taarabt;;74
GEN X ROM 26-11-2017;;118786183;yellow;card;False;{'name': 'Juan Jesus', 'slug': 'juan-jesus', 'shortName': 'J. Jesus', 'position': 'D', 'userCount': 625, 'id': 108484};Juan Jesus;Foul;71
GEN X ROM 26-11-2017;;118786182;red;card;False;{'name': 'Daniele De Rossi', 'slug': 'daniele-de-rossi', 'shortName': 'D. D. Rossi', 'position': 'M', 'userCount': 2761, 'id': 1780};Daniele De Rossi;Violent conduct;69
GEN X ROM 26-11-2017;;118786181;yellow;card;False;{'name': 'Radja Nainggolan', 'slug': 'radja-nainggolan', 'shortName': 'R. Nainggolan', 'position': 'M', 'userCount': 6198, 'id': 44001};Radja Nainggolan;Foul;47
GEN X ROM 26-11-2017;;118786180;yellow;card;False;{'name': 'Federico Fazio', 'slug': 'federico-fazio', 'shortName': 'F. Fazio', 'position': 'D', 'userCount': 1233, 'id': 27569};Federico Fazio;Foul;44
MIL X TOR 26-11-2017;;118786191;yellow;card;False;{'name': 'Tomás Rincón', 'slug': 'tomas-rincon', 'shortName': 'T. Rincón', 'position': 'M', 'userCount': 1101, 'id': 46798};Tomás Rincón;Foul;62
MIL X TOR 26-11-2017;;118786190;yellow;card;False;{'name': 'Nicolás Burdisso', 'slug': 'nicolas-burdisso', 'shortName': 'N. Burdisso', 'position': 'D', 'userCount': 57, 'id': 2040};Nicolás Burdisso;Argument;42
UDI X NAP 26-11-2017;;118786176;yellow;card;True;{'name': 'Silvan Widmer', 'slug': 'silvan-widmer', 'shortName': 'S. Widmer', 'position': 'D', 'userCount': 132, 'id': 157377};Silvan Widmer;Foul;89
UDI X NAP 26-11-2017;;118786175;yellow;card;True;{'name': 'Rodrigo De Paul', 'slug': 'rodrigo-de-paul', 'shortName': 'R. D. Paul', 'position': 'M', 'userCount': 3349, 'id': 249399};Rodrigo De Paul;Foul;71
UDI X NAP 26-11-2017;;118786174;yellow;card;True;{'name': 'Ali Adnan', 'slug': 'ali-adnan', 'shortName': 'A. Adnan', 'position': 'D', 'userCount': 891, 'id': 331429};Ali Adnan;Foul;65
UDI X NAP 26-11-2017;1.0;118786173;yellow;card;True;{'name': 'Stipe Perica', 'slug': 'stipe-perica', 'shortName': 'S. Perica', 'position': 'F', 'userCount': 271, 'id': 284845};Stipe Perica;Foul;45
UDI X NAP 26-11-2017;;118786177;yellow;card;False;{'name': 'Jorginho', 'slug': 'jorginho', 'shortName': 'Jorginho', 'position': 'M', 'userCount': 12444, 'id': 132874};Jorginho;Foul;27
UDI X NAP 26-11-2017;;118786172;yellow;card;True;{'name': 'Danilo', 'slug': 'danilo', 'shortName': 'Danilo', 'position': 'D', 'userCount': 360, 'id': 39348};Danilo;Foul;21
LAZ X FIO 26-11-2017;7.0;118786673;yellow;card;True;{'name': 'Sergej Milinković-Savić', 'slug': 'sergej-milinkovic-savic', 'shortName': 'S. Milinković-Savić', 'position': 'M', 'userCount': 5986, 'id': 331447};Sergej Milinković-Savić;Foul;90
LAZ X FIO 26-11-2017;;118786668;yellow;card;True;{'name': 'Ştefan Radu', 'slug': 'stefan-radu', 'shortName': 'Ş. Radu', 'position': 'D', 'userCount': 678, 'id': 13592};Ştefan Radu;Foul;87
LAZ X FIO 26-11-2017;;118786670;yellow;card;False;{'name': 'Vincent Laurini', 'slug': 'vincent-laurini', 'shortName': 'V. Laurini', 'position': 'D', 'userCount': 102, 'id': 131815};Vincent Laurini;Foul;49
LAZ X FIO 26-11-2017;;118786669;yellow;card;False;{'name': 'Davide Astori', 'slug': 'davide-astori', 'shortName': 'D. Astori', 'position': 'D', 'userCount': 668, 'id': 41447};Davide Astori;Foul;11
JUV X CRO 26-11-2017;;118786996;yellow;card;False;{'name': 'Marcus Rohdén', 'slug': 'marcus-rohden', 'shortName': 'M. Rohdén', 'position': 'M', 'userCount': 55, 'id': 209082};Marcus Rohdén;Foul;85
JUV X CRO 26-11-2017;;118786994;yellow;card;True;{'name': 'Blaise Matuidi', 'slug': 'blaise-matuidi', 'shortName': 'B. Matuidi', 'position': 'M', 'userCount': 7024, 'id': 5846};Blaise Matuidi;Foul;50
JUV X CRO 26-11-2017;1.0;118786993;yellow;card;True;{'name': 'Medhi Benatia', 'slug': 'medhi-benatia', 'shortName': 'M. Benatia', 'position': 'D', 'userCount': 3229, 'id': 27068};Medhi Benatia;Foul;45
JUV X CRO 26-11-2017;;118786995;yellow;card;False;{'name': 'Ante Budimir', 'slug': 'ante-budimir', 'shortName': 'A. Budimir', 'position': 'F', 'userCount': 841, 'id': 37318};Ante Budimir;Persistent fouling;32
ATT X BEM 27-11-2017;;118787509;yellow;card;True;{'name': 'Marten de Roon', 'slug': 'marten-de-roon', 'shortName': 'M. d. Roon', 'position': 'M', 'userCount': 1199, 'id': 100389};Marten de Roon;Foul;51
ATT X BEM 27-11-2017;;118787511;yellow;card;False;{'name': 'Lorenzo Venuti', 'slug': 'lorenzo-venuti', 'shortName': 'L. Venuti', 'position': 'D', 'userCount': 89, 'id': 357756};Lorenzo Venuti;Foul;42
ATT X BEM 27-11-2017;;118787510;yellow;card;False;{'name': 'Andrea Costa', 'slug': 'andrea-costa', 'shortName': 'A. Costa', 'position': 'D', 'userCount': 27, 'id': 34501};Andrea Costa;Foul;14
ROM X SPA 01-12-2017;;118789152;yellow;card;False;{'name': 'Eros Schiavon', 'slug': 'eros-schiavon', 'shortName': 'E. Schiavon', 'position': 'M', 'userCount': 6, 'id': 75899};Eros Schiavon;Off the ball foul;82
ROM X SPA 01-12-2017;;118789151;yellow;card;False;{'name': 'Alberto Grassi', 'slug': 'alberto-grassi', 'shortName': 'A. Grassi', 'position': 'M', 'userCount': 133, 'id': 186845};Alberto Grassi;Foul;65
ROM X SPA 01-12-2017;;118789149;yellow;card;True;{'name': 'Maxime Gonalons', 'slug': 'maxime-gonalons', 'shortName': 'M. Gonalons', 'position': 'M', 'userCount': 476, 'id': 82555};Maxime Gonalons;Foul;22
ROM X SPA 01-12-2017;;118789150;red;card;False;{'name': 'Felipe', 'slug': 'felipe', 'shortName': 'Felipe', 'position': 'D', 'userCount': 142, 'id': 2951};Felipe;Professional foul last man;9
NAP X JUV 01-12-2017;;118789313;yellow;card;True;{'name': 'Mário Rui', 'slug': 'mario-rui', 'shortName': 'M. Rui', 'position': 'D', 'userCount': 1474, 'id': 99546};Mário Rui;Foul;59
NAP X JUV 01-12-2017;1.0;118789312;yellow;card;True;{'name': 'Dries Mertens', 'slug': 'dries-mertens', 'shortName': 'D. Mertens', 'position': 'F', 'userCount': 8984, 'id': 32493};Dries Mertens;Foul;45
NAP X JUV 01-12-2017;;118789314;yellow;card;False;{'name': 'Giorgio Chiellini', 'slug': 'giorgio-chiellini', 'shortName': 'G. Chiellini', 'position': 'D', 'userCount': 5851, 'id': 2009};Giorgio Chiellini;Foul;22
TOR X ATT 02-12-2017;;118790796;yellow;card;False;{'name': 'Rafael Tolói', 'slug': 'rafael-toloi', 'shortName': 'R. Tolói', 'position': 'D', 'userCount': 1020, 'id': 82943};Rafael Tolói;Foul;85
