game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_ALL;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
SOU X HUD 2017-12-23;76 (52%);147 (74%);223 (65%);107 (61%);162 (77%);269 (70%);12;7;19;12;10;22;46%;49%;48%;54%;51%;52%;;;;;;;;;;;;;3;1;4;2;0;2;;;;;;;1;0;1;6;3;9;0;0;0;0;1;1;;;;;;;;;;;;;36;25;61;27;25;52;9;16;3;2;5;0;1;1;1;0;1;0;1;1;;;;;;;;;;;;;3;1;4;2;1;3;147;198;345;174;210;384;181;182;;;;;;;5;3;8;5;3;8;3;1;4;1;3;4;0;2;2;4;2;6;1;1;2;2;2;4;;;;;;;6;4;10;7;5;12;0;1;1;0;2;2;1;2017-12-23;5;9;9;9;15;7;4;-5;-43;-23;21;7;-24;-14;-27;-13;56;100;58;28;11;-40;2;-23;-10;-3;2;5;4;-19;-7;-2;42;5;63;78;85;49;23;17;5.0;11;4;-8;-6;-7;-7;-7;-7;-6;-6;-39;-28;-13;-4;9;-24;3;-3;28;7;1;-88;-50;-70;-40;-22;-24;-5;-2;2;24;17;13;61;79;53;54;-8;35;20;11;6;2;41;25;15;9;5.0;14;1.0;35.0;1;13:00:00;0;HUD;SOU
STO X WBA 2017-12-23;137 (72%);201 (79%);338 (76%);143 (73%);116 (73%);259 (73%);13;11;24;16;17;33;51%;63%;57%;49%;37%;43%;;;;;;;;;;;;;1;4;5;2;0;2;;;;;;;5;6;11;0;1;1;0;0;0;0;2;2;;;;;;;;;;;;;29;29;58;39;42;81;11;9;1;1;2;3;3;6;;;;;;;;;;;;;;;;;;;1;1;2;0;0;0;190;255;445;197;160;357;188;143;;;;;;;4;8;12;2;3;5;3;2;5;1;1;2;3;4;7;3;2;5;3;2;5;4;0;4;;;;;;;7;10;17;6;3;9;0;0;0;0;1;1;1;2017-12-23;10;29;15;-32;-14;-57;-39;-23;-11;-6;-23;7;95;47;31;-49;-15;-16;-10;-7;3;8;-4;32;17;8;-27;-14;-32;-62;-46;-23;-6;1;-4;-2;-7;-5;-65;-15;75.0;-32;-23;-18;-24;-41;-15;-4;-79;-49;-30;-45;-29;-8;34;20;-16;19;17;6;-4;-4;-5;-6;-8;-8;-34;-6;-24;-24;-65;-24;-51;-35;-25;-61;-79;-42;-2;-27;-23;18;4;-3;-3;-28;-25;-17;-12.0;42;-5.0;80.0;3;13:00:00;1;WBA;STO
SWA X CRY 2017-12-23;154 (81%);103 (70%);257 (76%);279 (87%);226 (83%);505 (85%);6;12;18;7;4;11;37%;35%;36%;63%;65%;64%;;;;;;;;;;;;;1;3;4;1;1;2;;;;;;;2;1;3;2;4;6;;;;;;;;;;;;;;;;;;;30;41;71;33;27;60;11;13;0;2;2;2;2;4;;;;;;;;;;;;;;;;;;;1;0;1;0;1;1;189;147;336;322;272;594;138;165;;;;;;;5;3;8;0;2;2;4;0;4;1;2;3;2;3;5;0;2;2;2;3;5;2;3;5;;;;;;;7;6;13;2;5;7;1;2;3;1;1;2;1;2017-12-23;10;20;-72;-32;-16;-7;-35;-12;-4;3;3;10;6;1;33;23;14;13;13;7;6;5;10;-23;-12;-8;-10;-9;-4;5;5;8;24;-61;19;-31;-11;-7;-6;-4;;-10;-8;-6;-5;-27;-4;-3;4;9;4;6;27;19;14;12;-12;-72;-11;16;5;8;15;26;8;44;25;-2;-36;-9;5;5;5;10;10;25;87;73;5;46;33;-34;-8;6;6;-6;-21;-13;-14.0;10;-9.0;5.0;1;13:00:00;0;CRY;SWA
WES X NEW 2017-12-23;94 (66%);61 (57%);155 (62%);153 (78%);176 (77%);329 (77%);14;17;31;19;18;37;42%;32%;37%;58%;68%;63%;;;;;;;;;;;;;2;0;2;4;4;8;;;;;;;1;2;3;3;3;6;0;2;2;1;0;1;;;;;;;;;;;;;33;34;67;34;47;81;12;9;2;2;4;1;0;1;2;0;2;0;0;0;;;;;;;;;;;;;0;0;0;3;1;4;142;107;249;196;230;426;136;164;;;;;;;3;2;5;4;5;9;4;1;5;2;3;5;2;2;4;3;3;6;5;1;6;5;5;10;;;;;;;8;3;11;9;10;19;0;1;1;0;1;1;3;2017-12-23;-10;16;-75;-48;-30;-17;41;23;24;19;5;23;3;5;11;-34;-12;-8;14;11;12;6;8;48;27;15;3;-21;-45;-17;-4;7;10;5;3;7;14;-20;7;22;0.0;22;18;8;2;3;-2;29;-22;3;-72;-40;-23;-9;48;33;3;22;-13;8;-33;-14;-4;5;5;14;12;75;100;100;57;12;18;-23;-7;8;10;12;47;45;32;25;20;16;12;11;16;14;13.0;28;17.0;5.0;2;13:00:00;-1;NEW;WES
BUR X TOT 2017-12-23;211 (80%);208 (79%);419 (80%);108 (63%);125 (70%);233 (67%);22;11;33;9;12;21;60%;60%;60%;40%;40%;40%;;;;;;;;;;;;;3;2;5;0;0;0;;;;;;;2;2;4;3;1;4;2;0;2;0;0;0;;;;;;;;;;;;;36;23;59;18;26;44;10;10;0;2;2;3;2;5;;;;;;;;;;;;;;;;;;;0;1;1;1;4;5;265;262;527;172;178;350;159;168;;;;;;;5;7;12;0;4;4;3;2;5;0;3;3;4;4;8;0;2;2;5;1;6;0;1;1;;;;;;;10;8;18;0;5;5;1;1;2;0;1;1;3;2017-12-23;-10;-25;-10;-32;-61;-40;-53;-34;-26;-33;-16;-8;-4;3;13;-69;-28;-18;-7;-32;-15;-11;-8;-8;-11;-10;-11;-1;0;0;5;9;40;-7;25;11;2;-34;-28;-7;15.0;12;4;2;-11;-2;-44;-27;-14;-7;17;11;-25;-10;6;-1;-2;-30;16;-20;-12;-6;-1;2;7;5;4;-3;-74;-48;-35;-22;-13;-2;-1;1;1;1;-79;-80;-42;31;40;21;11;18;6;23;10.0;-49;13.0;5.0;0;15:30:00;-1;TOT;BUR
LEI X MUN 2017-12-23;231 (86%);140 (78%);371 (83%);186 (80%);168 (78%);354 (79%);10;4;14;6;1;7;55%;45%;51%;45%;55%;49%;;;;;;;;;;;;;3;1;4;2;3;5;;;;;;;6;0;6;3;1;4;0;1;1;2;0;2;;;;;;;;;;;;;28;33;61;17;11;28;8;19;1;0;1;2;2;4;0;1;1;0;0;0;;;;;;;;;;;;;1;4;5;0;0;0;269;179;448;233;215;448;123;140;0;0;0;0;1;1;5;4;9;2;4;6;6;3;9;1;2;3;3;3;6;2;1;3;7;3;10;3;2;5;;;;;;;12;7;19;5;6;11;1;1;2;0;4;4;2;2017-12-23;-15;-22;-15;-42;-26;-19;-15;-17;-12;-8;-16;-59;-34;-19;-11;-6;-25;-7;7;34;89;49;-40;22;-41;-34;-30;-23;-26;-41;-17;-4;-1;-14;-75;-35;-14;24;6;13;0.0;4;10;14;11;-3;10;4;8;-34;-15;-52;-34;-27;-19;-9;-63;3;-73;-39;-29;-24;-3;9;6;5;-4;-21;2;-3;-1;-54;-45;-26;-16;-31;-16;-5;-57;-4;-9;-10;-12;-9;-7;-5;-4;-7;-4.0;-32;-2.0;115.0;2;17:45:00;0;MUN;LEI
TOT X SOU 2017-12-26;119 (72%);146 (76%);265 (74%);217 (84%);191 (81%);408 (83%);2;7;9;7;8;15;40%;47%;43%;60%;53%;57%;;;;;;;0;0;0;2;2;4;0;3;3;2;0;2;;;;;;;2;6;8;2;1;3;0;0;0;0;4;4;;;;;;;;;;;;;34;30;64;25;32;57;15;8;1;0;1;2;3;5;0;1;1;0;0;0;;;;;;;;;;;;;1;0;1;1;0;1;166;193;359;258;235;493;140;139;;;;;;;3;8;11;6;4;10;2;5;7;5;2;7;1;5;6;4;3;7;0;5;5;5;1;6;;;;;;;3;13;16;11;5;16;1;1;2;0;0;0;2;2017-12-26;0;14;8;6;2;30;20;14;10;8;5;0;5;10;13;89;10;12;-29;-6;28;12;-12;5;3;25;16;13;11;10;-6;35;24;-29;93;55;33;16;-31;-21;-5.0;32;16;-73;-40;35;72;24;92;58;31;9;-37;-20;39;20;49;16;20;24;29;15;-72;-39;-26;74;31;51;22;-59;-30;-51;-34;-23;-13;-14;-7;-6;74;-56;-35;-100;-79;-37;-19;-32;-9;-33;-26.0;23;-34.0;-20.0;5;10:30:00;1;SOU;TOT
BOU X WES 2017-12-26;127 (72%);109 (69%);236 (71%);195 (82%);135 (73%);330 (78%);5;13;18;16;10;26;43%;46%;44%;57%;54%;56%;;;;;;;;;;;;;1;1;2;4;1;5;;;;;;;2;2;4;2;5;7;;;;;;;;;;;;;;;;;;;27;32;59;38;26;64;14;12;2;5;7;0;2;2;;;;;;;;;;;;;;;;;;;2;0;2;0;0;0;176;157;333;239;185;424;156;160;;;;;;;4;4;8;9;11;20;2;1;3;5;5;10;1;4;5;3;7;10;0;2;2;3;2;5;;;;;;;4;6;10;12;13;25;1;3;4;1;2;3;3;2017-12-26;-10;-34;-23;-7;4;49;-47;-11;34;-21;-5;6;1;-34;32;24;82;71;40;22;7;1;6;-1;76;40;28;20;10;4;6;-6;-6;8;-4;-3;-2;-7;-5;-32;30.0;73;33;16;8;60;6;-2;29;-25;-13;-8;-30;-16;110;60;40;35;32;25;19;75;100;65;42;21;44;23;-29;-15;-20;41;20;24;17;13;12;100;-98;21;74;-73;-15;33;24;12;14;40;-38.0;-56;-88.0;75.0;3;13:00:00;0;WES;BOU
CHE X BHA 2017-12-26;178 (78%);86 (76%);264 (77%);283 (85%);331 (91%);614 (88%);13;8;21;6;4;10;41%;25%;33%;59%;75%;67%;0;0;0;2;0;2;0;0;0;2;1;3;1;2;3;3;4;7;;;;;;;0;1;1;5;8;13;0;0;0;0;1;1;;;;;;;;;;;;;27;20;47;20;23;43;8;8;3;2;5;0;1;1;;;;;;;;;;;;;;;;;;;1;1;2;0;2;2;228;113;341;332;363;695;116;119;;;;;;;1;4;5;6;7;13;1;3;4;5;5;10;0;1;1;3;5;8;1;2;3;5;7;12;;;;;;;2;6;8;11;14;25;0;1;1;0;0;0;0;2017-12-26;4;20;10;2;-3;-3;-3;-10;-9;-3;33;8;19;13;10;12;60;41;31;85;59;30;11;21;10;4;5;1;4;5;6;11;16;13;53;61;45;30;41;5;25.0;6;7;88;56;35;62;36;25;48;28;15;20;17;-29;92;25;100;89;100;86;49;32;1;23;41;36;44;28;25;21;57;30;25;21;19;15;33;69;18;34;14;13;11;27;44;32;49;34.0;39;29.0;-65.0;2;13:00:00;1;BHA;CHE
HUD X STO 2017-12-26;159 (75%);115 (72%);274 (74%);216 (84%);200 (83%);416 (83%);23;11;34;9;6;15;45%;39%;42%;55%;61%;58%;;;;;;;;;;;;;3;0;3;3;0;3;;;;;;;2;3;5;3;5;8;0;0;0;0;1;1;;;;;;;;;;;;;50;34;84;26;25;51;12;9;1;5;6;4;0;4;1;0;1;0;0;0;;;;;;;;;;;;;2;0;2;2;0;2;213;159;372;258;242;500;139;172;;;;;;;9;2;11;5;8;13;2;3;5;3;5;8;6;1;7;2;5;7;2;2;4;3;2;5;;;;;;;11;4;15;8;10;18;0;4;4;0;2;2;1;2017-12-26;-10;-8;42;25;15;10;13;-5;-60;-37;-13;-9;-10;-2;6;7;7;34;18;-58;-24;-11;7;-9;-7;-1;-63;-84;-49;-29;-17;-5;1;7;-3;-28;83;62;39;28;0.0;-77;-2;-3;2;10;-20;-34;-21;42;18;14;12;13;76;52;43;27;-79;-30;-21;-36;-49;-2;4;4;18;-42;61;38;26;23;16;30;21;21;15;17;23;22;6;-4;1;1;5;2;5;7;8.0;4;74.0;85.0;1;13:00:00;0;STO;HUD
MUN X BUR 2017-12-26;96 (62%);61 (53%);157 (58%);259 (83%);275 (84%);534 (84%);12;9;21;22;11;33;33%;25%;29%;67%;75%;71%;;;;;;;;;;;;;0;0;0;5;6;11;;;;;;;1;1;2;7;5;12;;;;;;;;;;;;;;;;;;;24;22;46;40;26;66;14;10;1;2;3;0;0;0;1;0;1;1;1;2;;;;;;;;;;;;;0;1;1;0;0;0;154;116;270;311;327;638;148;171;;;;;;;2;0;2;5;10;15;1;0;1;2;5;7;2;0;2;2;4;6;1;0;1;4;5;9;;;;;;;3;0;3;9;15;24;2;5;7;1;2;3;2;2017-12-26;-5;14;7;-36;-20;-6;13;7;15;50;31;-14;22;100;67;61;65;39;22;6;13;12;-12;14;19;13;9;11;31;23;-70;-7;46;-85;20;10;10;29;45;22;25.0;-20;56;31;23;-42;19;28;20;3;54;99;63;36;17;12;-18;7;39;29;23;19;16;17;20;17;10;-4;11;46;12;12;33;24;62;43;31;17;37;40;55;38;28;17;13;11;1;-5;-6.0;25;-9.0;110.0;2;13:00:00;0;BUR;MUN
WAT X LEI 2017-12-26;119 (70%);125 (66%);244 (68%);117 (68%);117 (64%);234 (66%);15;15;30;7;15;22;50%;52%;51%;50%;48%;49%;;;;;;;;;;;;;0;3;3;3;0;3;;;;;;;4;4;8;5;3;8;;;;;;;;;;;;;;;;;;;37;29;66;26;42;68;13;7;0;0;0;2;2;4;0;0;0;1;0;1;;;;;;;;;;;;;2;4;6;2;2;4;170;189;359;172;183;355;188;189;;;;;;;4;4;8;7;4;11;2;1;3;3;4;7;3;2;5;1;0;1;1;2;3;0;1;1;;;;;;;5;6;11;7;4;11;2;1;3;2;1;3;1;2017-12-26;3;-18;-14;-5;-10;-1;3;25;6;-68;-34;4;-16;-14;-31;-11;-10;-9;-28;-18;22;8;5;36;30;20;12;-38;33;-27;-48;-80;-46;11;-7;-5;8;10;-27;-10;100.0;8;7;6;6;2;1;-3;-3;-29;-21;-16;-12;41;32;41;-5;26;-24;-1;7;24;12;47;25;12;4;-10;-4;-11;-10;17;15;13;12;11;29;21;-3;21;16;9;28;11;-28;-45;-30;-100;-63.0;-32;-53.0;15.0;2;13:00:00;1;LEI;WAT
WBA X EVE 2017-12-26;139 (74%);99 (63%);238 (69%);147 (73%);116 (69%);263 (71%);13;13;26;19;19;38;49%;46%;48%;51%;54%;52%;;;;;;;;;;;;;0;0;0;0;4;4;;;;;;;1;1;2;3;7;10;;;;;;;;;;;;;;;;;;;28;27;55;37;34;71;13;14;2;1;3;0;3;3;;;;;;;;;;;;;;;;;;;0;1;1;0;1;1;188;156;344;202;168;370;164;173;;;;;;;0;5;5;5;7;12;1;3;4;5;5;10;0;3;3;2;1;3;1;1;2;2;3;5;;;;;;;1;6;7;7;10;17;0;0;0;0;2;2;0;2017-12-26;2;58;86;49;26;18;6;-1;-2;3;27;7;13;-24;-4;5;35;24;11;-36;-22;-21;8;-7;5;72;47;32;23;7;29;14;12;8;5;1;-2;34;21;21;;11;5;13;12;9;37;-25;-40;-24;-14;-10;-3;6;-5;1;9;5;3;2;2;7;34;21;13;8;-5;8;-31;-18;-10;-5;6;57;83;53;35;13;8;31;-23;-6;8;35;31;53;34;40;21.0;8;12.0;45.0;0;13:00:00;0;EVE;WBA
LIV X SWA 2017-12-26;242 (85%);180 (85%);422 (85%);269 (87%);261 (90%);530 (88%);4;8;12;6;2;8;48%;43%;45%;52%;57%;55%;;;;;;;;;;;;;1;0;1;2;4;6;;;;;;;0;2;2;1;3;4;;;;;;;;;;;;;;;;;;;21;18;39;31;29;60;8;5;1;3;4;2;2;4;;;;;;;;;;;;;;;;;;;0;0;0;0;3;3;284;212;496;310;291;601;122;118;;;;;;;3;3;6;3;11;14;0;2;2;4;3;7;2;2;4;2;7;9;0;1;1;5;3;8;;;;;;;3;4;7;8;14;22;0;1;1;0;0;0;0;2017-12-26;3;-46;-18;34;13;11;20;14;9;8;7;3;6;-43;-26;46;21;16;16;51;26;14;4;7;2;24;10;3;-3;-3;-11;-9;8;5;25;29;27;16;13;11;30.0;4;5;12;-30;10;46;16;7;76;50;32;50;50;64;34;9;10;-39;-12;-10;-1;-3;77;100;66;46;88;35;22;15;15;14;13;29;-18;8;5;45;5;3;5;20;54;-53;23;7;73;65.0;15;37.0;0.0;5;15:30:00;1;SWA;LIV
NEW X MCI 2017-12-27;404 (90%);332 (88%);736 (89%);45 (52%);88 (62%);133 (58%);5;10;15;10;12;22;84%;73%;78%;16%;27%;22%;;;;;;;;;;;;;2;2;4;0;1;1;;;;;;;6;2;8;3;0;3;1;0;1;0;0;0;;;;;;;;;;;;;22;30;52;21;30;51;6;11;1;0;1;4;1;5;2;2;4;0;0;0;;;;;;;;;;;;;1;3;4;1;3;4;448;376;824;86;142;228;136;128;;;;;;;9;3;12;2;1;3;8;4;12;1;2;3;5;1;6;2;0;2;6;4;10;1;2;3;;;;;;;15;7;22;3;3;6;0;0;0;0;1;1;1;2017-12-27;30;-39;-29;-51;-37;-52;-57;-41;-54;-100;-66;10;-44;-37;-51;-37;-24;-100;-100;-91;-64;-49;-7;-52;-72;-86;-50;-29;61;80;52;28;34;-7;27;-33;-19;-19;13;-13;0.0;-47;-33;-25;-19;-37;-16;-41;-54;-36;-26;-64;-40;-31;-48;-34;-31;-26;-21;-17;-13;-17;-15;-19;-16;-59;-9;-55;-9;-9;-9;-26;-22;-17;-18;-13;-9;-13;-45;-5;-1;-9;-4;-6;-7;-8;-38;-31;28.0;-58;18.0;30.0;0;17:45:00;-1;MCI;NEW
CRY X ARS 2017-12-28;305 (87%);248 (82%);553 (85%);114 (73%);135 (75%);249 (74%);10;10;20;13;10;23;69%;63%;66%;31%;37%;34%;;;;;;;;;;;;;4;0;4;1;4;5;;;;;;;1;3;4;2;3;5;;;;;;;;;;;;;;;;;;;28;38;66;32;36;68;7;12;0;0;0;5;1;6;;;;;;;;;;;;;;;;;;;2;1;3;0;1;1;350;304;654;157;179;336;158;147;;;;;;;6;4;10;1;9;10;2;1;3;5;4;9;6;3;9;0;2;2;6;0;6;5;1;6;;;;;;;12;4;16;6;10;16;1;0;1;1;0;1;3;2017-12-28;10;-38;-4;2;5;28;49;31;11;4;-1;3;-12;-14;-59;-41;-31;-59;-100;-94;-54;-33;-6;-23;-54;-68;-39;-1;-3;-34;-19;-8;9;-8;55;-36;-1;-2;-2;19;-5.0;-7;-16;-3;-3;-10;74;41;24;18;40;47;27;10;5;-6;-13;-10;-17;-7;-76;-45;-21;-12;-82;-48;-28;-13;-12;-37;-23;-20;-19;-13;-27;-17;-11;-8;-13;-11;24;9;3;-37;33;8;37;25;30.0;-8;100.0;5.0;2;18:00:00;-1;ARS;CRY
BOU X EVE 2017-12-30;225 (80%);123 (65%);348 (74%);139 (69%);151 (70%);290 (70%);12;10;22;11;15;26;58%;47%;53%;42%;53%;47%;;;;;;;;;;;;;1;1;2;2;2;4;;;;;;;3;1;4;2;2;4;0;1;1;0;0;0;;;;;;;;;;;;;26;20;46;23;33;56;13;8;2;3;5;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;0;5;5;0;0;0;282;189;471;201;215;416;172;177;;;;;;;1;3;4;4;6;10;1;2;3;2;5;7;0;1;1;3;4;7;1;1;2;3;5;8;;;;;;;2;4;6;7;11;18;;;;;;;1;2017-12-30;-1;-7;-7;-16;-4;-2;-1;-1;-1;-1;-1;-1;1;1;35;21;-24;-4;3;3;3;89;34;54;28;13;4;62;33;18;-47;-21;-18;16;-12;-8;-2;-7;-5;-4;0.0;-1;-1;-25;35;6;11;6;3;-5;-1;1;6;-30;-14;-77;6;-55;-32;-16;-4;47;34;25;41;29;6;-3;10;6;22;-30;36;15;9;29;20;5;27;3;-15;66;38;24;14;42;58;27;9.0;10;79.0;-5.0;2;13:00:00;1;EVE;BOU
CHE X STO 2017-12-30;222 (84%);173 (82%);395 (83%);297 (90%);295 (91%);592 (91%);2;3;5;7;6;13;44%;40%;42%;56%;60%;58%;;;;;;;;;;;;;0;0;0;1;1;2;;;;;;;0;0;0;4;3;7;;;;;;;;;;;;;;;;;;;16;29;45;17;24;41;10;5;3;4;7;0;1;1;;;;;;;;;;;;;;;;;;;1;1;2;2;1;3;264;210;474;330;323;653;112;120;;;;;;;0;1;1;4;5;9;0;0;0;4;3;7;0;1;1;6;6;12;0;0;0;7;5;12;;;;;;;0;1;1;11;10;21;1;0;1;0;1;1;0;2017-12-30;35;100;84;76;50;34;100;70;36;17;6;25;-11;46;27;12;78;46;23;7;4;-7;19;36;13;3;-5;-5;26;24;19;21;19;91;16;20;4;-8;-11;-8;50.0;16;12;5;1;61;19;-34;-7;-4;5;10;17;44;30;22;42;17;14;61;32;14;44;25;5;43;26;32;42;30;23;15;89;56;43;31;24;14;26;14;3;36;16;4;7;3;-2;-2;99.0;17;-2.0;30.0;5;13:00:00;1;STO;CHE
HUD X BUR 2017-12-30;90 (60%);89 (61%);179 (61%);135 (68%);149 (81%);284 (74%);12;12;24;19;12;31;44%;43%;44%;56%;57%;56%;;;;;;;;;;;;;2;0;2;0;0;0;;;;;;;4;0;4;2;3;5;;;;;;;;;;;;;;;;;;;27;35;62;36;33;69;14;14;1;0;1;1;3;4;;;;;;;;;;;;;;;;;;;2;1;3;0;0;0;149;145;294;199;185;384;161;163;;;;;;;6;3;9;0;0;0;4;1;5;2;0;2;1;3;4;1;0;1;1;1;2;3;0;3;;;;;;;7;4;11;3;0;3;0;1;1;1;1;2;0;2017-12-30;2;96;57;34;14;-11;-4;-4;4;4;-22;7;-37;-20;-35;-19;-8;-36;-22;-41;-28;-16;10;-47;-48;-56;-38;-20;-6;3;4;5;5;12;-3;-3;-4;5;-1;-1;30.0;-26;-15;-10;-6;23;-44;-25;-15;-10;-3;3;-38;43;15;12;13;4;3;-3;-4;8;15;7;7;7;7;10;6;6;6;8;28;26;19;15;15;14;7;19;10;4;1;-1;-2;-2;5;-39;-20.0;69;2.0;-25.0;0;13:00:00;0;BUR;HUD
LIV X LEI 2017-12-30;125 (67%);133 (72%);258 (70%);248 (83%);208 (78%);456 (81%);9;8;17;6;11;17;39%;41%;40%;61%;59%;60%;0;0;0;2;1;3;1;0;1;2;3;5;2;3;5;5;0;5;;;;;;;0;1;1;3;4;7;;;;;;;;;;;;;;;;;;;27;23;50;13;32;45;3;7;3;1;4;0;0;0;;;;;;;;;;;;;;;;;;;1;2;3;3;1;4;187;184;371;300;266;566;171;173;;;;;;;1;3;4;8;5;13;0;1;1;5;2;7;1;0;1;3;3;6;2;1;3;5;0;5;;;;;;;3;4;7;13;5;18;0;2;2;1;2;3;1;2017-12-30;-10;11;9;1;-6;4;39;25;20;18;21;-8;13;35;27;59;38;26;47;35;24;24;-7;59;38;27;21;17;22;37;41;19;5;-82;-6;-3;6;27;17;11;25.0;17;36;27;22;-44;19;10;5;63;77;41;29;21;8;31;-17;43;30;22;14;17;14;14;9;1;-24;33;-39;-24;50;26;17;19;59;79;39;16;5;2;-9;28;-12;-7;-11;-9;-11;-3;2.0;12;2.0;-10.0;2;13:00:00;1;LEI;LIV
