game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
STP X DRE 07-08-2017;2.0;2017-08-07;-10.0;-26.0;-20.0;-15.0;-11.0;-12.0;-29.0;-19.0;-12.0;-9.0;6.0;-16.0;7.0;9.0;91.0;47.0;21.0;-31.0;-11.0;-13.0;-7.0;5.0;-45.0;-50.0;-27.0;-37.0;-22.0;-19.0;-18.0;-11.0;-5.0;-3.0;50.0;-2.0;34.0;22.0;15.0;45.0;18.0;-5.0;0.0;-46.0;-32.0;-20.0;-13.0;-5.0;-9.0;-4.0;-3.0;-3.0;-3.0;19.0;13.0;11.0;-32.0;-16.0;-7.0;67.0;34.0;22.0;18.0;18.0;8.0;11.0;68.0;62.0;100.0;-32.0;70.0;44.0;30.0;-39.0;-92.0;-53.0;-30.0;-16.0;-1.0;9.0;-71.0;6.0;-20.0;-9.0;-5.0;-3.0;-1.0;1.0;1.0;1.0;0.0;-51.0;;0.0;2.0;16:30:00;0.0;DRE;STP
D98 X STP 18-08-2017;0.0;2017-08-18;-10.0;37.0;18.0;-44.0;-26.0;24.0;6.0;1.0;1.0;-3.0;23.0;-75.0;73.0;62.0;30.0;11.0;3.0;24.0;38.0;-28.0;3.0;-3.0;-49.0;-8.0;-12.0;-31.0;-24.0;-19.0;-17.0;-10.0;4.0;-21.0;-19.0;-54.0;-16.0;40.0;16.0;15.0;9.0;-6.0;;5.0;-1.0;-1.0;5.0;-76.0;71.0;35.0;14.0;11.0;8.0;-5.0;-53.0;-36.0;-52.0;-41.0;-49.0;-21.0;-11.0;-4.0;2.0;7.0;-6.0;25.0;-66.0;-35.0;-86.0;61.0;-56.0;-40.0;-64.0;-63.0;-43.0;-31.0;-28.0;-20.0;-17.0;-21.0;-29.0;-19.0;-47.0;29.0;74.0;39.0;17.0;6.0;2.0;-2.0;1.0;72.0;-40.0;;3.0;14:30:00;1.0;STP;D98
EBR X AUE 18-08-2017;1.0;2017-08-18;-8.0;-55.0;44.0;7.0;-5.0;-1.0;-35.0;-21.0;-7.0;-9.0;-10.0;-12.0;-8.0;-5.0;22.0;49.0;3.0;-30.0;-17.0;74.0;30.0;22.0;8.0;53.0;38.0;15.0;11.0;24.0;9.0;-7.0;-3.0;3.0;-3.0;3.0;-4.0;-4.0;3.0;-3.0;22.0;13.0;;-8.0;-63.0;-45.0;-36.0;4.0;-25.0;-22.0;-12.0;-10.0;-43.0;-21.0;-7.0;35.0;3.0;-6.0;27.0;-5.0;-7.0;-11.0;-5.0;-1.0;-3.0;-65.0;-76.0;-42.0;-27.0;-26.0;-7.0;2.0;45.0;28.0;19.0;12.0;11.0;-61.0;-29.0;-16.0;-10.0;-12.0;-11.0;-70.0;-45.0;-25.0;-38.0;-24.0;-7.0;-1.0;3.0;-4.0;3.0;5.0;1.0;14:30:00;0.0;AUE;EBR
HEI X DUI 19-08-2017;2.0;2017-08-19;-10.0;-20.0;-11.0;-5.0;8.0;9.0;11.0;13.0;14.0;13.0;47.0;6.0;10.0;-28.0;-12.0;-5.0;-2.0;4.0;-29.0;-23.0;-12.0;-5.0;6.0;-1.0;-23.0;-14.0;-6.0;8.0;-6.0;-3.0;-4.0;-18.0;-7.0;2.0;-34.0;-26.0;-35.0;-14.0;-3.0;-27.0;;-22.0;-53.0;-36.0;-50.0;-1.0;-25.0;-16.0;8.0;3.0;7.0;7.0;8.0;17.0;13.0;21.0;-80.0;87.0;56.0;-81.0;-23.0;-5.0;30.0;7.0;-46.0;-11.0;35.0;-72.0;11.0;10.0;12.0;-43.0;-50.0;-27.0;-13.0;48.0;32.0;66.0;-39.0;44.0;36.0;22.0;-22.0;-9.0;34.0;19.0;20.0;17.0;8.0;-27.0;-3.0;70.0;1.0;09:00:00;-1.0;DUI;HEI
DRE X SAN 19-08-2017;4.0;2017-08-19;-4.0;5.0;3.0;5.0;7.0;8.0;8.0;-6.0;-5.0;-13.0;-14.0;-6.0;-3.0;5.0;-21.0;-5.0;-5.0;-45.0;-23.0;-43.0;-20.0;-11.0;3.0;-24.0;40.0;17.0;9.0;-26.0;-80.0;-58.0;-37.0;-17.0;-3.0;3.0;-10.0;-27.0;-11.0;-2.0;5.0;-7.0;0.0;10.0;8.0;10.0;10.0;4.0;10.0;10.0;9.0;4.0;10.0;13.0;6.0;27.0;25.0;18.0;5.0;-17.0;4.0;4.0;4.0;6.0;10.0;27.0;26.0;21.0;13.0;6.0;2.0;5.0;-40.0;-97.0;-57.0;-23.0;-16.0;-9.0;-2.0;-28.0;6.0;-10.0;-33.0;-13.0;11.0;8.0;45.0;34.0;45.0;24.0;46.0;1.0;-53.0;;0.0;09:00:00;-1.0;SAN;DRE
DUS X KAI 19-08-2017;0.0;2017-08-19;1.0;8.0;11.0;8.0;8.0;9.0;14.0;69.0;47.0;29.0;-25.0;1.0;7.0;-2.0;2.0;-3.0;2.0;36.0;3.0;14.0;4.0;-25.0;1.0;-20.0;-7.0;-7.0;-6.0;-1.0;21.0;11.0;7.0;7.0;42.0;1.0;27.0;19.0;14.0;11.0;87.0;54.0;0.0;7.0;11.0;13.0;40.0;-10.0;28.0;-21.0;5.0;64.0;60.0;39.0;24.0;12.0;26.0;15.0;-13.0;5.0;-74.0;52.0;10.0;13.0;39.0;23.0;48.0;32.0;57.0;39.0;2.0;1.0;-4.0;-5.0;-4.0;-2.0;104.0;58.0;33.0;25.0;23.0;21.0;5.0;34.0;16.0;-29.0;-20.0;-13.0;-12.0;-8.0;59.0;19.0;-2.0;0.0;2.0;09:00:00;1.0;KAI;DUS
NUR X UNB 20-08-2017;2.0;2017-08-20;9.0;11.0;5.0;-3.0;-2.0;-3.0;4.0;3.0;-2.0;6.0;37.0;43.0;25.0;15.0;9.0;9.0;3.0;1.0;-51.0;-28.0;-17.0;-10.0;28.0;-6.0;20.0;-16.0;-33.0;-26.0;-22.0;16.0;12.0;15.0;15.0;19.0;-13.0;3.0;-7.0;-2.0;-4.0;-4.0;;-35.0;-92.0;-52.0;-27.0;5.0;44.0;87.0;95.0;59.0;18.0;5.0;84.0;50.0;38.0;68.0;-7.0;77.0;51.0;35.0;25.0;16.0;6.0;-166.0;-89.0;-41.0;-17.0;26.0;-7.0;11.0;-33.0;-13.0;-5.0;3.0;-3.0;32.0;16.0;-38.0;18.0;34.0;12.0;8.0;8.0;11.0;7.0;7.0;12.0;54.0;59.0;13.0;67.0;95.0;2.0;09:30:00;0.0;UNB;NUR
HKI X FUR 20-08-2017;1.0;2017-08-20;10.0;41.0;5.0;-101.0;-60.0;-33.0;28.0;32.0;31.0;-46.0;-11.0;-26.0;40.0;13.0;15.0;20.0;19.0;16.0;100.0;67.0;46.0;27.0;-46.0;19.0;7.0;-37.0;90.0;36.0;24.0;17.0;16.0;-7.0;4.0;-60.0;4.0;31.0;16.0;84.0;54.0;41.0;0.0;28.0;8.0;11.0;57.0;-34.0;33.0;-31.0;-8.0;-6.0;-13.0;-32.0;-51.0;-31.0;29.0;5.0;-14.0;3.0;3.0;5.0;35.0;15.0;8.0;-6.0;-5.0;-11.0;-21.0;-8.0;-22.0;-17.0;-15.0;34.0;14.0;7.0;3.0;75.0;40.0;32.0;33.0;22.0;12.0;-2.0;-4.0;-6.0;-12.0;-10.0;-14.0;-14.0;-14.0;23.0;19.0;-10.0;3.0;09:30:00;1.0;FUR;HKI
ING X JAH 20-08-2017;4.0;2017-08-20;-2.0;-23.0;39.0;-72.0;-37.0;-24.0;-11.0;-22.0;-11.0;-8.0;-7.0;-3.0;-8.0;-27.0;-22.0;-14.0;-5.0;41.0;30.0;11.0;-48.0;-23.0;3.0;-50.0;-35.0;-30.0;-14.0;-9.0;-3.0;5.0;4.0;44.0;33.0;3.0;31.0;-22.0;3.0;-31.0;-18.0;2.0;20.0;-19.0;-7.0;24.0;60.0;4.0;25.0;15.0;58.0;30.0;6.0;17.0;7.0;-3.0;33.0;16.0;4.0;-23.0;-4.0;48.0;19.0;5.0;-11.0;-28.0;-65.0;-43.0;-25.0;-38.0;-11.0;-21.0;-6.0;-77.0;-65.0;-83.0;-47.0;36.0;5.0;30.0;-52.0;-74.0;-25.0;26.0;65.0;-60.0;26.0;11.0;5.0;1.0;11.0;-28.0;12.0;-60.0;2.0;09:30:00;-1.0;JAH;ING
ARM X BOC 21-08-2017;0.0;2017-08-21;-10.0;-42.0;-31.0;-18.0;-11.0;-3.0;-2.0;-1.0;45.0;28.0;18.0;-8.0;48.0;27.0;86.0;49.0;25.0;4.0;-4.0;37.0;-29.0;-13.0;-2.0;-10.0;-3.0;-37.0;-53.0;-39.0;-1.0;72.0;40.0;23.0;11.0;-4.0;-54.0;-42.0;-27.0;-49.0;-62.0;-36.0;-25.0;-1.0;-1.0;-1.0;-1.0;35.0;-41.0;-50.0;-35.0;-22.0;-53.0;-48.0;-30.0;-56.0;-7.0;2.0;-46.0;-9.0;-7.0;-4.0;-17.0;-14.0;-31.0;-21.0;17.0;1.0;-3.0;-31.0;3.0;43.0;-29.0;2.0;-33.0;-17.0;-5.0;4.0;-5.0;26.0;-21.0;11.0;-25.0;-40.0;-47.0;-39.0;-27.0;-10.0;4.0;-12.0;-7.0;-65.0;-11.0;-35.0;2.0;16:30:00;1.0;BOC;ARM
