game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
WBA X SOU 2017-04-08;;118626913;yellow;card;False;{'name': 'Cédric Soares', 'slug': 'cedric-soares', 'shortName': 'C. Soares', 'position': 'D', 'userCount': 1195, 'id': 44760};Cédric Soares;Foul;76
WBA X SOU 2017-04-08;;118626912;yellow;card;True;{'name': 'Matt Phillips', 'slug': 'matt-phillips', 'shortName': 'M. Phillips', 'position': 'M', 'userCount': 153, 'id': 36466};Matt Phillips;Foul;49
WBA X SOU 2017-04-08;;118626911;yellow;card;True;{'name': 'Jonny Evans', 'slug': 'jonny-evans', 'shortName': 'J. Evans', 'position': 'D', 'userCount': 722, 'id': 30144};Jonny Evans;Foul;36
WES X SWA 2017-04-08;4.0;118626905;yellow;card;True;{'name': 'Darren Randolph', 'slug': 'darren-randolph', 'shortName': 'D. Randolph', 'position': 'G', 'userCount': 179, 'id': 13060};Darren Randolph;Time wasting;90
WES X SWA 2017-04-08;;118626904;yellow;card;True;{'name': 'André Ayew', 'slug': 'andre-ayew', 'shortName': 'A. Ayew', 'position': 'M', 'userCount': 5827, 'id': 27035};André Ayew;Foul;81
WES X SWA 2017-04-08;;118626906;yellow;card;False;{'name': 'Federico Fernández', 'slug': 'federico-fernandez', 'shortName': 'F. Fernández', 'position': 'D', 'userCount': 401, 'id': 38393};Federico Fernández;Foul;77
WES X SWA 2017-04-08;;118626903;yellow;card;True;{'name': 'Manuel Lanzini', 'slug': 'manuel-lanzini', 'shortName': 'M. Lanzini', 'position': 'M', 'userCount': 1558, 'id': 220315};Manuel Lanzini;Simulation;57
WES X SWA 2017-04-08;;118626902;yellow;card;True;{'name': 'Cheikhou Kouyaté', 'slug': 'cheikhou-kouyate', 'shortName': 'C. Kouyaté', 'position': 'M', 'userCount': 1947, 'id': 45944};Cheikhou Kouyaté;;45
WES X SWA 2017-04-08;;118626901;yellow;card;True;{'name': 'Mark Noble', 'slug': 'mark-noble', 'shortName': 'M. Noble', 'position': 'M', 'userCount': 457, 'id': 9741};Mark Noble;Foul;38
BOU X CHE 2017-04-08;1.0;118627429;yellow;card;True;{'name': 'Max Gradel', 'slug': 'max-gradel', 'shortName': 'M. Gradel', 'position': 'M', 'userCount': 1700, 'id': 16590};Max Gradel;Foul;90
BOU X CHE 2017-04-08;;118627432;yellow;card;False;{'name': 'Pedro', 'slug': 'pedro', 'shortName': 'Pedro', 'position': 'F', 'userCount': 5354, 'id': 35428};Pedro;Foul;74
BOU X CHE 2017-04-08;;118627431;yellow;card;False;"{'name': ""N'Golo Kanté"", 'slug': 'ngolo-kante', 'shortName': 'N. Kanté', 'position': 'M', 'userCount': 27823, 'id': 234148}";N'Golo Kanté;Foul;58
BOU X CHE 2017-04-08;;118627428;yellow;card;True;{'name': 'Harry Arter', 'slug': 'harry-arter', 'shortName': 'H. Arter', 'position': 'M', 'userCount': 90, 'id': 39121};Harry Arter;Foul;38
BOU X CHE 2017-04-08;;118627430;yellow;card;False;{'name': 'Victor Moses', 'slug': 'victor-moses', 'shortName': 'V. Moses', 'position': 'M', 'userCount': 5240, 'id': 31585};Victor Moses;Handball;8
SUN X MUN 2017-04-09;2.0;118628333;yellow;card;False;{'name': 'Matteo Darmian', 'slug': 'matteo-darmian', 'shortName': 'M. Darmian', 'position': 'D', 'userCount': 1742, 'id': 19352};Matteo Darmian;Foul;90
SUN X MUN 2017-04-09;;118628328;yellow;card;True;"{'name': ""Didier N'Dong"", 'slug': 'didier-ndong', 'shortName': ""D. N'Dong"", 'position': 'M', 'userCount': 406, 'id': 786029}";Didier N'Dong;Foul;85
SUN X MUN 2017-04-09;;118628332;yellow;card;False;{'name': 'Anthony Martial', 'slug': 'anthony-martial', 'shortName': 'A. Martial', 'position': 'F', 'userCount': 26519, 'id': 191176};Anthony Martial;Foul;82
SUN X MUN 2017-04-09;;118628331;yellow;card;False;{'name': 'Marouane Fellaini', 'slug': 'marouane-fellaini', 'shortName': 'M. Fellaini', 'position': 'M', 'userCount': 2630, 'id': 21764};Marouane Fellaini;;79
