game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
EMP X UDI 22-01-2017;149 (75%);167 (79%);316 (77%);205 (82%);172 (76%);377 (79%);8;11;19;8;11;19;45%;50%;48%;55%;50%;52%;2;2;4;0;1;1;3;0;3;3;4;7;;;;;;;28;34;62;25;40;65;17;18;0;0;0;2;0;2;;;;;;;0;0;0;0;1;1;198;211;409;250;225;475;;;;;;;2;3;5;2;2;4;1;2;3;2;1;3;2;0;2;0;1;1;3;1;4;0;1;1;5;4;9;2;3;5;2;2;4;2;2;4;0.0;2017-01-22;-10.0;52.0;36.0;22.0;14.0;15.0;-68.0;-38.0;-24.0;-16.0;-6.0;-7.0;27.0;17.0;12.0;8.0;6.0;3.0;3.0;-20.0;11.0;7.0;-5.0;15.0;6.0;3.0;3.0;-3.0;-44.0;-34.0;-57.0;-35.0;-22.0;-24.0;24.0;-12.0;7.0;10.0;12.0;4.0;15.0;-1.0;-1.0;-6.0;-10.0;-11.0;12.0;4.0;-5.0;16.0;-10.0;-5.0;8.0;5.0;4.0;6.0;-3.0;6.0;-28.0;-16.0;-3.0;13.0;-6.0;-6.0;-5.0;-7.0;-9.0;3.0;-6.0;-15.0;-7.0;-2.0;22.0;14.0;11.0;13.0;9.0;-4.0;2.0;-4.0;2.0;2.0;87.0;49.0;27.0;13.0;5.0;3.0;-12.0;5.0;-7.0;40.0;1.0;12:00:00;1.0;UDI;EMP
GEN X CRO 22-01-2017;90 (59%);106 (63%);196 (61%);227 (83%);146 (70%);373 (77%);3;10;13;10;14;24;37%;45%;41%;63%;55%;59%;1;2;3;3;2;5;5;0;5;2;5;7;;;;;;;27;37;64;29;34;63;9;18;0;2;2;2;2;4;0;1;1;0;0;0;1;0;1;3;1;4;152;169;321;275;209;484;;;;;;;2;6;8;2;4;6;2;3;5;0;1;1;2;4;6;1;3;4;3;3;6;2;2;4;5;9;14;4;6;10;1;1;2;0;1;1;2.0;2017-01-22;-5.0;5.0;3.0;-57.0;-29.0;-14.0;-1.0;3.0;8.0;7.0;7.0;-53.0;6.0;6.0;16.0;7.0;-8.0;-3.0;-3.0;4.0;4.0;6.0;-60.0;2.0;5.0;-42.0;-22.0;-12.0;11.0;2.0;-5.0;3.0;-27.0;-34.0;-10.0;10.0;12.0;82.0;51.0;1.0;0.0;1.0;-1.0;-1.0;-41.0;-27.0;-23.0;-11.0;8.0;20.0;15.0;-75.0;-69.0;-36.0;-53.0;-33.0;-15.0;-51.0;-25.0;-12.0;-2.0;-3.0;8.0;82.0;52.0;63.0;41.0;-29.0;26.0;14.0;73.0;50.0;-36.0;-39.0;-44.0;-30.0;-18.0;-2.0;-10.0;21.0;14.0;9.0;5.0;3.0;-5.0;51.0;18.0;13.0;9.0;6.0;12.0;-5.0;2.0;12:00:00;0.0;CRO;GEN
PAL X INT 22-01-2017;178 (85%);186 (78%);364 (81%);97 (67%);126 (71%);223 (69%);8;9;17;10;5;15;60%;58%;59%;40%;42%;41%;2;1;3;2;0;2;6;6;12;4;3;7;;;;;;;32;45;77;29;16;45;13;23;0;0;0;4;2;6;;;;;;;3;0;3;1;0;1;209;238;447;144;178;322;0;1;1;0;1;1;5;4;9;5;0;5;4;3;7;3;1;4;3;3;6;0;0;0;4;3;7;0;1;1;9;7;16;5;1;6;2;1;3;2;5;7;1.0;2017-01-22;-10.0;-8.0;-1.0;-43.0;-32.0;-19.0;-5.0;-3.0;-5.0;-3.0;-8.0;-5.0;-7.0;29.0;9.0;-38.0;-21.0;-10.0;-12.0;-31.0;-18.0;-34.0;-2.0;-23.0;-77.0;-40.0;25.0;5.0;2.0;5.0;36.0;34.0;14.0;-1.0;3.0;-10.0;-12.0;-84.0;-55.0;-28.0;-30.0;-26.0;-16.0;-10.0;-57.0;1.0;-39.0;-32.0;-50.0;-35.0;-23.0;-79.0;-47.0;-31.0;20.0;-26.0;26.0;-15.0;-14.0;-53.0;-38.0;-31.0;-28.0;-92.0;-48.0;-27.0;-15.0;16.0;-7.0;1.0;-12.0;-13.0;-14.0;-45.0;-32.0;-19.0;20.0;-6.0;5.0;1.0;15.0;8.0;2.0;4.0;30.0;25.0;21.0;18.0;37.0;5.0;6.0;-30.0;0.0;12:00:00;-1.0;INT;PAL
PES X SAS 22-01-2017;195 (78%);213 (79%);408 (78%);152 (71%);142 (72%);294 (72%);7;10;17;4;8;12;54%;58%;56%;46%;42%;44%;3;0;3;2;2;4;4;2;6;1;4;5;;;;;;;20;35;55;21;27;48;24;12;1;2;3;1;1;2;;;;;;;0;0;0;3;3;6;251;271;522;214;197;411;;;;;;;4;4;8;6;6;12;5;3;8;7;3;10;2;3;5;2;3;5;6;2;8;5;2;7;10;6;16;11;8;19;3;2;5;3;1;4;3.0;2017-01-22;10.0;27.0;7.0;9.0;-12.0;-11.0;-33.0;-25.0;-25.0;-17.0;18.0;9.0;-8.0;-3.0;2.0;26.0;20.0;16.0;16.0;10.0;-24.0;-19.0;-77.0;26.0;-35.0;-13.0;-29.0;-19.0;-16.0;-9.0;-8.0;-2.0;-14.0;-55.0;32.0;45.0;23.0;-29.0;9.0;4.0;-40.0;41.0;24.0;14.0;4.0;-33.0;22.0;36.0;31.0;49.0;30.0;13.0;3.0;83.0;44.0;23.0;40.0;-34.0;-15.0;-19.0;-15.0;-36.0;-26.0;-100.0;-64.0;-83.0;-53.0;22.0;-67.0;-30.0;-14.0;-56.0;-69.0;-30.0;-14.0;-2.0;3.0;-6.0;-30.0;-46.0;-33.0;-25.0;-12.0;-4.0;3.0;10.0;49.0;27.0;19.0;-17.0;89.0;35.0;1.0;12:00:00;-1.0;SAS;PES
ATT X SAM 22-01-2017;170 (78%);179 (76%);349 (77%);154 (81%);159 (81%);313 (81%);8;4;12;9;5;14;54%;54%;54%;46%;46%;46%;1;3;4;1;2;3;3;2;5;2;3;5;;;;;;;29;21;50;27;44;71;20;13;1;4;5;1;2;3;;;;;;;0;0;0;6;2;8;219;236;455;190;196;386;;;;;;;2;2;4;1;7;8;5;1;6;2;2;4;1;2;3;1;5;6;5;4;9;3;2;5;7;6;13;4;9;13;1;2;3;0;1;1;0.0;2017-01-22;-5.0;-7.0;-10.0;11.0;1.0;-31.0;-14.0;8.0;6.0;39.0;38.0;-47.0;24.0;15.0;10.0;10.0;-21.0;-34.0;-15.0;10.0;-27.0;-6.0;-34.0;-5.0;-11.0;-18.0;23.0;4.0;5.0;-5.0;11.0;16.0;11.0;-21.0;8.0;6.0;-4.0;-4.0;-11.0;0.0;-10.0;-50.0;-20.0;-3.0;38.0;-18.0;24.0;21.0;6.0;-6.0;8.0;44.0;68.0;44.0;20.0;45.0;-4.0;30.0;20.0;8.0;41.0;18.0;42.0;25.0;12.0;-4.0;2.0;1.0;-36.0;-17.0;-6.0;-20.0;-8.0;-14.0;9.0;-3.0;23.0;-23.0;2.0;-7.0;23.0;13.0;3.0;-8.0;19.0;1.0;-2.0;-1.0;4.0;-6.0;25.0;-50.0;1.0;15:00:00;1.0;SAM;ATT
ROM X CAG 22-01-2017;146 (70%);166 (75%);312 (72%);235 (83%);215 (83%);450 (83%);8;12;20;13;13;26;41%;46%;44%;59%;54%;56%;1;3;4;3;1;4;0;4;4;3;2;5;;;;;;;23;31;54;31;31;62;15;8;2;3;5;0;0;0;0;0;0;0;1;1;0;1;1;1;2;3;210;221;431;283;258;541;0;1;1;0;0;0;1;4;5;4;6;10;1;3;4;3;5;8;0;0;0;2;4;6;1;2;3;4;4;8;2;6;8;8;10;18;1;2;3;0;1;1;0.0;2017-01-22;-8.0;45.0;27.0;21.0;10.0;18.0;1.0;3.0;3.0;9.0;31.0;-12.0;26.0;7.0;5.0;4.0;7.0;8.0;30.0;22.0;12.0;63.0;-7.0;69.0;51.0;78.0;59.0;25.0;18.0;24.0;15.0;12.0;11.0;-18.0;6.0;2.0;-1.0;-6.0;28.0;13.0;;6.0;2.0;-39.0;-31.0;-10.0;-12.0;-5.0;3.0;-22.0;-12.0;-33.0;80.0;35.0;2.0;1.0;-4.0;2.0;30.0;22.0;32.0;41.0;27.0;11.0;9.0;-17.0;9.0;-2.0;-11.0;24.0;38.0;22.0;16.0;12.0;47.0;52.0;28.0;14.0;-1.0;5.0;-3.0;-6.0;-1.0;-3.0;78.0;37.0;10.0;-8.0;-3.0;3.0;-6.0;5.0;1.0;17:45:00;1.0;CAG;ROM
LAZ X CHV 28-01-2017;159 (77%);118 (69%);277 (73%);252 (85%);223 (83%);475 (84%);9;5;14;13;15;28;40%;39%;40%;60%;61%;60%;1;2;3;4;3;7;1;2;3;7;3;10;;;;;;;26;30;56;31;37;68;8;16;5;3;8;1;0;1;;;;;;;0;0;0;0;1;1;206;172;378;296;270;566;;;;;;;1;4;5;11;8;19;0;2;2;4;9;13;1;1;2;5;3;8;1;1;2;2;7;9;2;5;7;13;15;28;1;1;2;1;1;2;1.0;2017-01-28;-10.0;-22.0;-5.0;-6.0;-3.0;5.0;12.0;7.0;-6.0;2.0;1.0;-1.0;2.0;3.0;19.0;37.0;58.0;33.0;13.0;12.0;37.0;66.0;35.0;66.0;35.0;21.0;75.0;42.0;23.0;59.0;81.0;53.0;37.0;29.0;27.0;33.0;-34.0;37.0;47.0;31.0;;90.0;59.0;36.0;22.0;23.0;21.0;19.0;48.0;30.0;14.0;18.0;15.0;11.0;46.0;31.0;16.0;21.0;25.0;44.0;28.0;56.0;2.0;5.0;5.0;15.0;53.0;10.0;41.0;28.0;15.0;7.0;15.0;8.0;4.0;3.0;56.0;62.0;54.0;37.0;22.0;-30.0;-13.0;-10.0;21.0;3.0;4.0;2.0;66.0;31.0;38.0;-35.0;0.0;15:00:00;-1.0;CHV;LAZ
INT X PES 28-01-2017;168 (78%);165 (80%);333 (79%);264 (84%);238 (87%);502 (86%);6;5;11;8;5;13;40%;44%;42%;60%;56%;58%;2;0;2;2;1;3;0;3;3;7;4;11;1;0;1;0;2;2;24;25;49;32;35;67;12;13;3;1;4;1;3;4;0;1;1;0;0;0;1;1;2;0;0;0;216;205;421;313;273;586;;;;;;;0;2;2;5;2;7;2;2;4;3;4;7;1;3;4;5;2;7;5;3;8;5;5;10;5;5;10;10;7;17;0;1;1;0;1;1;0.0;2017-01-28;-3.0;-10.0;-6.0;-2.0;1.0;66.0;41.0;27.0;19.0;53.0;53.0;6.0;35.0;24.0;18.0;16.0;100.0;57.0;33.0;14.0;7.0;8.0;6.0;10.0;10.0;35.0;31.0;67.0;48.0;31.0;60.0;63.0;37.0;-31.0;26.0;19.0;13.0;10.0;85.0;49.0;;73.0;42.0;54.0;5.0;-13.0;-13.0;-9.0;-5.0;30.0;20.0;8.0;3.0;1.0;-27.0;-27.0;-37.0;-70.0;-10.0;6.0;1.0;1.0;4.0;-11.0;-1.0;-1.0;-5.0;-28.0;-48.0;-69.0;-43.0;-27.0;74.0;61.0;38.0;11.0;12.0;7.0;-18.0;8.0;30.0;74.0;40.0;14.0;15.0;14.0;12.0;34.0;28.0;-10.0;23.0;0.0;3.0;17:45:00;1.0;PES;INT
TOR X ATT 29-01-2017;210 (80%);219 (82%);429 (81%);152 (78%);172 (75%);324 (76%);4;9;13;8;1;9;57%;54%;56%;43%;46%;44%;1;2;3;3;0;3;5;1;6;2;0;2;;;;;;;26;28;54;26;31;57;18;19;1;2;3;2;4;6;0;0;0;1;0;1;1;0;1;3;0;3;263;268;531;196;228;424;;;;;;;2;8;10;2;3;5;2;3;5;1;4;5;2;5;7;2;2;4;3;2;5;4;3;7;5;10;15;6;6;12;1;1;2;0;1;1;1.0;2017-01-29;2.0;26.0;14.0;9.0;6.0;12.0;-25.0;-14.0;82.0;34.0;15.0;6.0;7.0;9.0;71.0;39.0;19.0;8.0;5.0;6.0;8.0;-5.0;6.0;-3.0;-23.0;-68.0;-39.0;-42.0;-23.0;-76.0;-85.0;-85.0;-53.0;6.0;-31.0;-19.0;-53.0;-33.0;-43.0;-25.0;5.0;6.0;3.0;2.0;1.0;6.0;1.0;1.0;24.0;9.0;-6.0;-5.0;-38.0;29.0;-7.0;-49.0;35.0;-35.0;-29.0;-24.0;-19.0;-7.0;31.0;11.0;-80.0;-50.0;-58.0;22.0;-34.0;42.0;27.0;-17.0;-2.0;-10.0;-7.0;-44.0;-24.0;-13.0;17.0;-6.0;-2.0;27.0;23.0;15.0;-39.0;-15.0;-9.0;-13.0;-14.0;42.0;-53.0;25.0;1.0;09:30:00;0.0;ATT;TOR
CAG X BGN 29-01-2017;186 (78%);171 (78%);357 (78%);234 (82%);172 (79%);406 (80%);6;3;9;6;13;19;46%;49%;48%;54%;51%;52%;3;3;6;2;5;7;2;0;2;0;3;3;;;;;;;28;23;51;24;39;63;18;15;3;2;5;1;0;1;0;0;0;1;0;1;2;1;3;0;0;0;239;219;458;286;219;505;0;2;2;0;0;0;1;3;4;4;5;9;0;0;0;5;1;6;1;1;2;3;3;6;3;1;4;6;4;10;4;4;8;10;9;19;2;1;3;2;0;2;1.0;2017-01-29;-13.0;19.0;13.0;8.0;61.0;45.0;67.0;40.0;43.0;17.0;7.0;-10.0;-5.0;-7.0;-2.0;5.0;1.0;1.0;-35.0;-34.0;-24.0;-17.0;-9.0;-13.0;-7.0;-4.0;3.0;2.0;4.0;4.0;34.0;21.0;14.0;-24.0;9.0;47.0;23.0;51.0;28.0;23.0;;13.0;10.0;5.0;45.0;-17.0;28.0;73.0;39.0;8.0;25.0;17.0;9.0;9.0;9.0;9.0;-17.0;15.0;13.0;40.0;31.0;-31.0;-43.0;-21.0;-5.0;-4.0;-1.0;-2.0;-7.0;-4.0;-4.0;4.0;2.0;-4.0;-4.0;4.0;-2.0;-2.0;-4.0;-2.0;4.0;-7.0;-8.0;-9.0;-15.0;-5.0;4.0;-1.0;19.0;38.0;16.0;125.0;1.0;12:00:00;0.0;BGN;CAG
CRO X EMP 29-01-2017;226 (80%);190 (82%);416 (81%);150 (74%);123 (71%);273 (73%);9;12;21;6;9;15;58%;57%;57%;42%;43%;43%;0;1;1;2;0;2;0;1;1;4;4;8;;;;;;;27;25;52;20;40;60;14;13;0;3;3;1;1;2;;;;;;;0;1;1;1;0;1;282;232;514;202;174;376;;;;;;;0;1;1;3;7;10;0;1;1;2;3;5;2;1;3;1;6;7;2;2;4;2;2;4;2;3;5;5;9;14;0;1;1;1;2;3;1.0;2017-01-29;1.0;30.0;33.0;17.0;2.0;3.0;8.0;-7.0;-3.0;-3.0;-3.0;1.0;-4.0;2.0;-4.0;-6.0;7.0;88.0;46.0;32.0;16.0;10.0;25.0;5.0;30.0;19.0;43.0;18.0;-13.0;-7.0;-53.0;-38.0;-26.0;11.0;-94.0;-59.0;-25.0;-18.0;-14.0;-8.0;;-6.0;38.0;16.0;6.0;2.0;1.0;2.0;37.0;57.0;38.0;36.0;17.0;82.0;52.0;56.0;5.0;28.0;13.0;-4.0;-10.0;-57.0;-37.0;-22.0;-13.0;-8.0;-21.0;7.0;-18.0;-11.0;-7.0;-4.0;-2.0;5.0;61.0;37.0;22.0;39.0;28.0;-35.0;-10.0;31.0;34.0;11.0;2.0;-8.0;-1.0;5.0;25.0;45.0;13.0;145.0;4.0;12:00:00;1.0;EMP;CRO
FIO X GEN 29-01-2017;114 (70%);161 (74%);275 (72%);323 (85%);145 (73%);468 (81%);10;3;13;4;9;13;31%;52%;40%;69%;48%;60%;0;1;1;0;6;6;0;0;0;1;4;5;0;0;0;0;1;1;20;16;36;27;25;52;20;10;3;2;5;0;0;0;0;0;0;1;0;1;3;0;3;1;0;1;162;218;380;378;200;578;0;0;0;0;1;1;0;6;6;4;9;13;1;2;3;3;4;7;0;3;3;4;5;9;1;0;1;3;6;9;1;6;7;7;15;22;3;1;4;0;3;3;3.0;2017-01-29;5.0;26.0;20.0;12.0;-23.0;-3.0;4.0;3.0;6.0;84.0;53.0;10.0;59.0;43.0;97.0;54.0;34.0;21.0;14.0;30.0;31.0;22.0;13.0;17.0;14.0;11.0;10.0;10.0;10.0;10.0;5.0;10.0;7.0;20.0;6.0;5.0;7.0;2.0;-2.0;-5.0;-5.0;-3.0;30.0;17.0;7.0;17.0;81.0;90.0;53.0;29.0;16.0;79.0;79.0;48.0;-70.0;-32.0;15.0;-58.0;-55.0;-61.0;77.0;54.0;36.0;29.0;12.0;-8.0;-12.0;14.0;-14.0;-8.0;-3.0;26.0;50.0;31.0;14.0;8.0;4.0;8.0;13.0;7.0;12.0;26.0;15.0;10.0;3.0;-13.0;-80.0;-90.0;-36.0;37.0;-19.0;25.0;3.0;12:00:00;0.0;GEN;FIO
SAM X ROM 29-01-2017;180 (79%);204 (79%);384 (79%);163 (79%);69 (58%);232 (71%);8;12;20;7;7;14;51%;69%;60%;49%;31%;40%;0;2;2;2;0;2;1;6;7;5;2;7;;;;;;;30;38;68;27;24;51;14;20;3;1;4;4;4;8;;;;;;;1;4;5;1;1;2;227;257;484;206;119;325;;;;;;;4;6;10;8;2;10;2;2;4;7;2;9;5;5;10;4;3;7;3;3;6;5;3;8;7;9;16;13;5;18;0;3;3;1;1;2;2.0;2017-01-29;-10.0;-74.0;-37.0;-22.0;27.0;17.0;100.0;100.0;59.0;36.0;44.0;-7.0;54.0;100.0;65.0;43.0;29.0;20.0;5.0;2.0;40.0;-27.0;39.0;-3.0;-32.0;-25.0;-24.0;-19.0;-18.0;-14.0;-13.0;-12.0;17.0;18.0;24.0;18.0;40.0;38.0;23.0;15.0;;6.0;-6.0;-13.0;-10.0;9.0;-63.0;-40.0;-20.0;-44.0;-28.0;-19.0;-17.0;-17.0;-29.0;-41.0;-77.0;-27.0;22.0;-4.0;-4.0;-48.0;-55.0;-33.0;-99.0;-57.0;-35.0;-83.0;-18.0;-10.0;71.0;17.0;81.0;44.0;22.0;3.0;-18.0;-11.0;-47.0;-4.0;53.0;17.0;-48.0;-28.0;-27.0;-30.0;-61.0;-43.0;-30.0;-60.0;-22.0;15.0;3.0;12:00:00;1.0;ROM;SAM
SAS X JUV 29-01-2017;179 (80%);279 (86%);458 (83%);184 (74%);150 (73%);334 (74%);7;9;16;5;2;7;48%;62%;55%;52%;38%;45%;1;0;1;2;0;2;3;3;6;3;2;5;;;;;;;19;30;49;26;23;49;13;18;1;2;3;1;2;3;0;1;1;0;0;0;2;0;2;1;0;1;224;325;549;248;205;453;;;;;;;4;5;9;1;2;3;3;5;8;2;1;3;3;2;5;1;2;3;3;2;5;4;1;5;7;7;14;5;3;8;0;1;1;2;1;3;2.0;2017-01-29;-4.0;-87.0;-54.0;-57.0;-34.0;-12.0;2.0;2.0;21.0;12.0;-37.0;-11.0;-13.0;-14.0;-46.0;-34.0;-24.0;-17.0;-83.0;-45.0;-45.0;-24.0;-32.0;-47.0;33.0;8.0;7.0;5.0;7.0;-4.0;2.0;1.0;2.0;-14.0;2.0;3.0;11.0;45.0;37.0;30.0;0.0;60.0;34.0;23.0;9.0;-3.0;3.0;-3.0;-39.0;-26.0;-18.0;-53.0;-28.0;-11.0;43.0;72.0;5.0;12.0;13.0;44.0;40.0;18.0;-28.0;-16.0;-19.0;-17.0;-14.0;3.0;-86.0;-73.0;-66.0;-42.0;-28.0;-14.0;-10.0;-7.0;5.0;4.0;-5.0;7.0;9.0;40.0;28.0;12.0;2.0;-5.0;-3.0;-6.0;-4.0;-11.0;-1.0;0.0;0.0;12:00:00;-1.0;JUV;SAS
UDI X MIL 29-01-2017;275 (86%);212 (82%);487 (84%);191 (81%);81 (66%);272 (76%);5;8;13;9;13;22;58%;68%;62%;42%;32%;38%;1;1;2;0;2;2;1;6;7;1;1;2;;;;;;;21;26;47;24;38;62;13;9;1;2;3;0;4;4;0;1;1;0;0;0;2;0;2;1;0;1;321;257;578;236;122;358;;;;;;;1;5;6;3;4;7;1;4;5;2;3;5;1;4;5;2;3;5;2;4;6;1;4;5;3;9;12;4;8;12;1;1;2;0;3;3;1.0;2017-01-29;10.0;-40.0;-24.0;-18.0;-11.0;-1.0;-1.0;-1.0;-6.0;-3.0;-1.0;4.0;1.0;30.0;31.0;42.0;34.0;45.0;29.0;14.0;4.0;-3.0;1.0;11.0;1.0;72.0;40.0;21.0;9.0;-18.0;-19.0;-41.0;-24.0;-1.0;-14.0;-7.0;-3.0;-1.0;-1.0;-1.0;0.0;-1.0;-6.0;4.0;4.0;-1.0;-3.0;-2.0;63.0;38.0;-73.0;-26.0;-17.0;-87.0;-94.0;-53.0;4.0;-34.0;-22.0;-5.0;-50.0;-56.0;-39.0;-54.0;-43.0;-48.0;-29.0;38.0;-14.0;-3.0;-5.0;31.0;53.0;22.0;8.0;6.0;-6.0;-10.0;20.0;-10.0;-11.0;-12.0;-12.0;-12.0;-12.0;-12.0;-7.0;-20.0;-33.0;-81.0;24.0;-20.0;2.0;12:00:00;1.0;MIL;UDI
NAP X PAL 29-01-2017;102 (68%);77 (64%);179 (67%);383 (89%);301 (86%);684 (87%);6;3;9;9;7;16;26%;25%;25%;74%;75%;75%;0;1;1;3;1;4;1;1;2;4;10;14;;;;;;;18;17;35;25;27;52;9;6;2;7;9;0;1;1;0;0;0;1;0;1;1;3;4;0;0;0;149;120;269;431;352;783;0;1;1;0;0;0;1;0;1;5;8;13;0;0;0;2;3;5;1;1;2;2;8;10;0;2;2;2;4;6;1;2;3;7;12;19;2;2;4;0;0;0;1.0;2017-01-29;10.0;11.0;20.0;77.0;55.0;38.0;28.0;22.0;19.0;33.0;21.0;7.0;14.0;10.0;8.0;5.0;15.0;15.0;16.0;56.0;35.0;22.0;6.0;14.0;10.0;-3.0;11.0;31.0;24.0;19.0;17.0;15.0;14.0;6.0;14.0;35.0;27.0;49.0;31.0;4.0;10.0;4.0;1.0;-5.0;61.0;5.0;33.0;44.0;29.0;19.0;9.0;7.0;10.0;88.0;79.0;59.0;-101.0;42.0;31.0;15.0;-18.0;-4.0;58.0;29.0;55.0;76.0;51.0;-46.0;32.0;26.0;19.0;24.0;20.0;18.0;26.0;80.0;56.0;38.0;29.0;27.0;19.0;12.0;-15.0;100.0;60.0;40.0;33.0;66.0;36.0;4.0;71.0;105.0;1.0;17:45:00;0.0;PAL;NAP
BGN X NAP 04-02-2017;258 (86%);241 (87%);499 (87%);187 (82%);256 (90%);443 (87%);5;1;6;4;0;4;57%;49%;53%;43%;51%;47%;1;1;2;2;1;3;0;0;0;2;1;3;2;0;2;0;0;0;16;17;33;16;12;28;9;10;5;1;6;1;1;2;;;;;;;2;0;2;2;0;2;299;276;575;227;285;512;1;0;1;1;0;1;3;2;5;9;3;12;1;2;3;3;4;7;5;4;9;6;1;7;4;5;9;2;3;5;7;7;14;11;6;17;2;1;3;1;1;2;7.0;2017-02-04;15.0;11.0;-7.0;1.0;-4.0;-8.0;-3.0;-5.0;-6.0;-9.0;-4.0;4.0;-1.0;1.0;-5.0;6.0;-7.0;64.0;74.0;97.0;60.0;34.0;-5.0;49.0;25.0;10.0;-77.0;-100.0;-73.0;-44.0;79.0;72.0;50.0;-5.0;-44.0;-7.0;42.0;17.0;-74.0;7.0;20.0;3.0;6.0;-26.0;-8.0;-87.0;-1.0;2.0;-23.0;37.0;40.0;53.0;5.0;10.0;8.0;8.0;-31.0;12.0;-45.0;-30.0;-23.0;-18.0;-16.0;-10.0;-10.0;-3.0;3.0;-94.0;3.0;-73.0;-47.0;-33.0;-61.0;-69.0;42.0;6.0;7.0;10.0;-52.0;11.0;7.0;7.0;2.0;29.0;30.0;50.0;59.0;30.0;10.0;43.0;5.0;;1.0;17:45:00;-1.0;NAP;BGN
