game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
AUE X STP 22-11-2019;;False;1094;penaltyNotAwarded;varDecision;True;{'name': 'Florian Krüger', 'slug': 'florian-kruger', 'shortName': 'F. Krüger', 'position': 'F', 'userCount': 69, 'id': 945878};23
BOC X OSN 22-11-2019;;False;1097;penaltyNotAwarded;varDecision;True;{'name': 'Danny Blum', 'slug': 'danny-blum', 'shortName': 'D. Blum', 'position': 'M', 'userCount': 87, 'id': 111500};62
HSV X DRE 23-11-2019;;False;1111;goalAwarded;varDecision;True;{'name': 'Martin Harnik', 'slug': 'martin-harnik', 'shortName': 'M. Harnik', 'position': 'F', 'userCount': 221, 'id': 16186};73
HSV X DRE 23-11-2019;;False;1110;goalNotAwarded;varDecision;True;{'name': 'Sonny Kittel', 'slug': 'sonny-kittel', 'shortName': 'S. Kittel', 'position': 'M', 'userCount': 373, 'id': 97933};68
WEH X HKI 23-11-2019;;False;1107;goalNotAwarded;varDecision;True;{'name': 'Daniel-Kofi Kyereh', 'slug': 'daniel-kofi-kyereh', 'shortName': 'D. Kyereh', 'position': 'M', 'userCount': 43, 'id': 569684};32
WEH X HKI 23-11-2019;;False;1105;penaltyNotAwarded;varDecision;False;{'name': 'Jae-Sung Lee', 'slug': 'jae-sung-lee', 'shortName': 'J. Lee', 'position': 'M', 'userCount': 307, 'id': 537552};25
H96 X D98 25-11-2019;;False;1152;goalAwarded;varDecision;True;{'name': 'Marc Stendera', 'slug': 'marc-stendera', 'shortName': 'M. Stendera', 'position': 'M', 'userCount': 78, 'id': 231158};88
NUR X WEH 30-11-2019;;False;1180;penaltyAwarded;varDecision;False;{'name': 'Daniel-Kofi Kyereh', 'slug': 'daniel-kofi-kyereh', 'shortName': 'D. Kyereh', 'position': 'M', 'userCount': 43, 'id': 569684};64
NUR X WEH 30-11-2019;;False;1178;goalNotAwarded;varDecision;False;{'name': 'Manuel Schäffler', 'slug': 'manuel-schaffler', 'shortName': 'M. Schäffler', 'position': 'F', 'userCount': 166, 'id': 26758};4
STP X H96 30-11-2019;;False;1179;penaltyAwarded;varDecision;True;{'name': 'Henk Veerman', 'slug': 'henk-veerman', 'shortName': 'H. Veerman', 'position': 'F', 'userCount': 163, 'id': 313264};39
HEI X FUR 01-12-2019;3.0;False;1213;goalAwarded;varDecision;True;{'name': 'Stefan Schimmer', 'slug': 'stefan-schimmer', 'shortName': 'S. Schimmer', 'position': 'F', 'userCount': 30, 'id': 842922};90
HEI X FUR 01-12-2019;;False;1211;redCardGiven;varDecision;False;{'name': 'Tobias Mohr', 'slug': 'tobias-mohr', 'shortName': 'T. Mohr', 'position': 'M', 'userCount': 34, 'id': 237048};87
HEI X FUR 01-12-2019;;False;1208;penaltyNotAwarded;varDecision;False;{'name': 'Branimir Hrgota', 'slug': 'branimir-hrgota', 'shortName': 'B. Hrgota', 'position': 'F', 'userCount': 155, 'id': 148076};5
SAN X STU 01-12-2019;;False;1212;penaltyNotAwarded;varDecision;False;{'name': 'Hamadi Al Ghaddioui', 'slug': 'hamadi-al-ghaddioui', 'shortName': 'H. A. Ghaddioui', 'position': 'F', 'userCount': 218, 'id': 165015};87
SAN X STU 01-12-2019;5.0;False;1209;goalAwarded;varDecision;False;{'name': 'Mario Gómez', 'slug': 'mario-gomez', 'shortName': 'M. Gómez', 'position': 'F', 'userCount': 1289, 'id': 4732};45
HKI X OSN 07-12-2019;;False;1263;penaltyNotAwarded;varDecision;False;{'name': 'Marc Heider', 'slug': 'marc-heider', 'shortName': 'M. Heider', 'position': 'F', 'userCount': 11, 'id': 16675};29
DRE X SAN 08-12-2019;;True;1292;penaltyAwarded;varDecision;False;{'name': 'Kevin Behrens', 'slug': 'kevin-behrens', 'shortName': 'K. Behrens', 'position': 'F', 'userCount': 121, 'id': 164171};28
WEH X D98 08-12-2019;;False;1293;cardUpgrade;varDecision;False;{'name': 'Victor Pálsson', 'slug': 'victor-palsson', 'shortName': 'V. Pálsson', 'position': 'M', 'userCount': 62, 'id': 87507};74
STU X NUR 09-12-2019;;False;1319;penaltyNotAwarded;varDecision;True;{'name': 'Gonzalo Castro', 'slug': 'gonzalo-castro', 'shortName': 'G. Castro', 'position': 'M', 'userCount': 289, 'id': 273};56
STU X NUR 09-12-2019;;False;1317;goalAwarded;varDecision;True;{'name': 'Wataru Endo', 'slug': 'wataru-endo', 'shortName': 'W. Endo', 'position': 'M', 'userCount': 298, 'id': 143040};29
D98 X HSV 21-12-2019;;False;1377;goalAwarded;varDecision;False;{'name': 'Rick Van Drongelen', 'slug': 'rick-van-drongelen', 'shortName': 'R. V. Drongelen', 'position': 'D', 'userCount': 353, 'id': 803023};79
STP X ARM 21-12-2019;;False;1376;penaltyNotAwarded;varDecision;True;{'name': 'Leo Østigård', 'slug': 'leo-ostigard', 'shortName': 'L. S. Østigård', 'position': 'D', 'userCount': 110, 'id': 879746};76
OSN X SAN 29-01-2020;;False;1692;goalAwarded;varDecision;True;{'name': 'Felix Agu', 'slug': 'agu-felix', 'shortName': 'F. Agu', 'position': 'D', 'userCount': 90, 'id': 933398};10
HSV X NUR 30-01-2020;;False;1698;penaltyNotAwarded;varDecision;True;{'name': 'Lukas Hinterseer', 'slug': 'lukas-hinterseer', 'shortName': 'L. Hinterseer', 'position': 'F', 'userCount': 289, 'id': 66214};65
