game;addedTime;id;incidentClass;incidentType;isHome;player;reason;time
ARS X CHE 2015-04-26;;118301074;yellow;card;False;{'name': 'Willian', 'slug': 'willian', 'shortName': 'Willian', 'position': 'F', 'userCount': 22018, 'id': 31417};Foul;68
ARS X CHE 2015-04-26;;118300960;yellow;card;True;{'name': 'Francis Coquelin', 'slug': 'francis-coquelin', 'shortName': 'F. Coquelin', 'position': 'M', 'userCount': 796, 'id': 40672};Foul;34
ARS X CHE 2015-04-26;;118300939;yellow;card;False;{'name': 'Cesc Fàbregas', 'slug': 'cesc-fabregas', 'shortName': 'C. Fàbregas', 'position': 'M', 'userCount': 5114, 'id': 518};Simulation;23
LEI X NEW 2015-05-02;1.0;118303157;yellowRed;card;False;{'name': 'Daryl Janmaat', 'slug': 'daryl-janmaat', 'shortName': 'D. Janmaat', 'position': 'D', 'userCount': 252, 'id': 32213};Foul;90
LEI X NEW 2015-05-02;;118303128;yellow;card;False;{'name': 'Paul Dummett', 'slug': 'paul-dummett', 'shortName': 'P. Dummett', 'position': 'D', 'userCount': 115, 'id': 185995};Foul;70
LEI X NEW 2015-05-02;;118303123;yellowRed;card;False;{'name': 'Mike Williamson', 'slug': 'mike-williamson', 'shortName': 'M. Williamson', 'position': 'D', 'userCount': 7, 'id': 20402};Off the ball foul;62
LEI X NEW 2015-05-02;;118303120;yellow;card;False;{'name': 'Mike Williamson', 'slug': 'mike-williamson', 'shortName': 'M. Williamson', 'position': 'D', 'userCount': 7, 'id': 20402};Foul;55
LEI X NEW 2015-05-02;;118303108;yellow;card;True;{'name': 'Matty James', 'slug': 'matty-james', 'shortName': 'M. James', 'position': 'M', 'userCount': 81, 'id': 54331};Off the ball foul;29
LEI X NEW 2015-05-02;;118303107;yellow;card;False;{'name': 'Jonás Gutiérrez', 'slug': 'jonas-gutierrez', 'shortName': 'J. Gutiérrez', 'position': 'M', 'userCount': 39, 'id': 12803};Foul;28
LEI X NEW 2015-05-02;;118303105;yellow;card;False;{'name': 'Daryl Janmaat', 'slug': 'daryl-janmaat', 'shortName': 'D. Janmaat', 'position': 'D', 'userCount': 252, 'id': 32213};Foul;16
ASV X EVE 2015-05-02;3.0;118303587;yellow;card;True;{'name': 'Shay Given', 'slug': 'shay-given', 'shortName': 'S. Given', 'position': 'G', 'userCount': 32, 'id': 766};Argument;90
ASV X EVE 2015-05-02;;118303575;yellow;card;True;{'name': 'Ron Vlaar', 'slug': 'ron-vlaar', 'shortName': 'R. Vlaar', 'position': 'D', 'userCount': 71, 'id': 9965};Foul;84
ASV X EVE 2015-05-02;;118303547;yellow;card;False;{'name': 'Séamus Coleman', 'slug': 'seamus-coleman', 'shortName': 'S. Coleman', 'position': 'D', 'userCount': 647, 'id': 76632};Foul;73
LIV X QPR 2015-05-02;3.0;118303585;yellow;card;False;{'name': 'Charlie Austin', 'slug': 'charlie-austin', 'shortName': 'C. Austin', 'position': 'F', 'userCount': 314, 'id': 97905};Foul;90
LIV X QPR 2015-05-02;;118303562;yellowRed;card;False;{'name': 'Nedum Onuoha', 'slug': 'nedum-onuoha', 'shortName': 'N. Onuoha', 'position': 'D', 'userCount': 11, 'id': 1082};Foul;82
LIV X QPR 2015-05-02;;118303557;yellow;card;False;{'name': 'Nedum Onuoha', 'slug': 'nedum-onuoha', 'shortName': 'N. Onuoha', 'position': 'D', 'userCount': 11, 'id': 1082};Foul;79
