game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_1ST;Possession lost_away_2ND;Possession lost_away_ALL;Possession lost_home_1ST;Possession lost_home_2ND;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CAG X BGN 06-10-2018;111 (72%);183 (82%);294 (78%);185 (85%);166 (78%);351 (81%);9;12;21;13;11;24;43%;52%;48%;57%;48%;52%;0;0;0;1;0;1;0;0;0;2;1;3;0;1;1;2;1;3;12;11;23;17;11;28;1;3;4;2;2;4;;;;;;;2/11 (18%);3/14 (21%);5/25 (20%);5/15 (33%);2/12 (17%);7/27 (26%);2/3 (67%);0/1 (0%);2/4 (50%);3/5 (60%);1/5 (20%);4/10 (40%);25;21;46;30;24;54;16;8;2;1;3;1;3;4;;;;;;;5;3;8;3;3;6;14/31 (45%);22/33 (67%);36/64 (56%);20/32 (63%);15/38 (39%);35/70 (50%);0;1;1;0;0;0;155;224;379;218;213;431;;;131;;;137;;;;;;;2;3;5;3;3;6;2;5;7;1;2;3;1;3;4;3;2;5;1;6;7;3;2;5;8;8;16;5;6;11;3;9;12;6;5;11;2;2;4;1;1;2;0.0;2018-10-06;3.0;26.0;16.0;11.0;-31.0;19.0;2.0;-7.0;-1.0;2.0;-9.0;13.0;-5.0;21.0;5.0;70.0;45.0;27.0;11.0;4.0;-1.0;-3.0;6.0;-7.0;41.0;25.0;21.0;13.0;11.0;3.0;6.0;12.0;6.0;4.0;1.0;16.0;7.0;22.0;11.0;20.0;-48.0;35.0;16.0;4.0;-20.0;2.0;-12.0;-54.0;-33.0;35.0;16.0;41.0;25.0;12.0;-9.0;-39.0;5.0;-46.0;-1.0;5.0;16.0;15.0;10.0;3.0;1.0;7.0;60.0;-15.0;37.0;24.0;8.0;-53.0;-61.0;-58.0;-34.0;-13.0;-5.0;-1.0;-3.0;-2.0;-50.0;-28.0;-3.0;5.0;5.0;10.0;38.0;22.0;-22.0;-8.0;5.0;-3.0;2.0;11:00:00;1.0;BGN;CAG
UDI X JUV 06-10-2018;282 (90%);280 (89%);562 (89%);167 (86%);189 (84%);356 (85%);3;9;12;9;7;16;63%;58%;60%;37%;42%;40%;1;1;2;0;1;1;2;1;3;0;1;1;3;3;6;1;2;3;3;5;8;21;4;25;5;3;8;2;2;4;;;;;;;4/19 (21%);4/8 (50%);8/27 (30%);1/7 (14%);1/6 (17%);2/13 (15%);4/5 (80%);2/5 (40%);6/10 (60%);2/4 (50%);1/4 (25%);3/8 (38%);20;30;50;20;23;43;15;14;0;2;2;2;4;6;0;1;1;1;0;1;6;5;11;7;5;12;31/37 (84%);23/37 (62%);54/74 (73%);9/19 (47%);9/18 (50%);18/37 (49%);;;;;;;314;315;629;195;226;421;;;115;;;115;;;;;;;7;9;16;0;2;2;4;4;8;1;2;3;3;4;7;0;3;3;3;2;5;2;5;7;10;10;20;5;7;12;10;11;21;2;7;9;0;1;1;0;3;3;2.0;2018-10-06;10.0;-15.0;-30.0;-21.0;-38.0;-22.0;-25.0;-33.0;-23.0;-25.0;-14.0;5.0;-42.0;-49.0;-33.0;-60.0;-47.0;-49.0;-61.0;-53.0;-33.0;-22.0;2.0;-22.0;-7.0;-3.0;-7.0;-43.0;-30.0;-24.0;-32.0;-78.0;-71.0;-1.0;-30.0;-18.0;-24.0;-29.0;33.0;22.0;0.0;-11.0;-18.0;-11.0;-7.0;-8.0;-5.0;20.0;54.0;30.0;41.0;7.0;-3.0;-8.0;-19.0;-44.0;17.0;-29.0;-23.0;22.0;8.0;5.0;-3.0;1.0;-1.0;-42.0;-26.0;7.0;-23.0;-72.0;-44.0;-53.0;-9.0;-39.0;-12.0;-24.0;-9.0;15.0;-21.0;20.0;-14.0;-27.0;-21.0;-19.0;-12.0;-8.0;-46.0;-24.0;-12.0;-27.0;-23.0;10.0;0.0;14:00:00;-1.0;JUV;UDI
EMP X ROM 06-10-2018;245 (85%);196 (84%);441 (85%);167 (82%);167 (85%);334 (84%);7;6;13;4;5;9;59%;54%;57%;41%;46%;43%;0;0;0;0;3;3;0;1;1;0;3;3;3;2;5;3;3;6;5;2;7;9;6;15;3;0;3;2;2;4;0;0;0;1;0;1;5/12 (42%);0/7 (0%);5/19 (26%);1/5 (20%);2/7 (29%);3/12 (25%);2/8 (25%);0/3 (0%);2/11 (18%);3/4 (75%);2/3 (67%);5/7 (71%);20;15;35;20;19;39;10;13;3;1;4;1;0;1;0;0;0;0;1;1;4;4;8;9;4;13;15/30 (50%);20/33 (61%);35/63 (56%);8/18 (44%);15/21 (71%);23/39 (59%);0;0;0;4;6;10;287;232;519;203;197;400;;;125;;;109;;;;;;;3;2;5;5;6;11;0;2;2;3;7;10;2;1;3;3;1;4;2;3;5;4;5;9;4;4;8;9;7;16;5;5;10;9;11;20;0;1;1;1;1;2;2.0;2018-10-06;43.0;-3.0;-10.0;14.0;30.0;52.0;22.0;-26.0;8.0;7.0;1.0;18.0;10.0;15.0;1.0;-8.0;-11.0;-26.0;-25.0;-20.0;-17.0;-45.0;-28.0;-30.0;-22.0;-34.0;36.0;-14.0;-1.0;-11.0;-63.0;-42.0;-37.0;-11.0;-33.0;-20.0;30.0;6.0;10.0;22.0;7.0;36.0;52.0;31.0;13.0;-40.0;19.0;35.0;21.0;-13.0;-6.0;-4.0;20.0;9.0;6.0;63.0;-10.0;37.0;-27.0;-8.0;-19.0;-13.0;-8.0;30.0;17.0;8.0;-14.0;-17.0;-9.0;38.0;13.0;3.0;9.0;6.0;22.0;15.0;11.0;19.0;-14.0;13.0;14.0;11.0;-15.0;-10.0;-37.0;-70.0;-45.0;-25.0;-16.0;-7.0;-9.0;34.0;0.0;16:30:00;-1.0;ROM;EMP
GEN X PRM 07-10-2018;135 (76%);103 (62%);238 (69%);185 (83%);221 (80%);406 (82%);9;10;19;10;12;22;43%;37%;40%;57%;63%;60%;0;0;0;0;1;1;2;0;2;0;1;1;0;1;1;3;4;7;22;23;45;7;5;12;3;4;7;5;4;9;;;;;;;1/5 (20%);1/6 (17%);2/11 (18%);6/19 (32%);5/24 (21%);11/43 (26%);3/7 (43%);1/5 (20%);4/12 (33%);1/2 (50%);3/5 (60%);4/7 (57%);17;24;41;20;32;52;8;9;3;6;9;1;1;2;0;0;0;1;0;1;5;4;9;6;8;14;17/31 (55%);14/43 (33%);31/74 (42%);15/29 (52%);10/16 (63%);25/45 (56%);2;1;3;1;1;2;178;165;343;223;275;498;;;149;;;158;;;;;;;4;2;6;9;7;16;1;0;1;4;8;12;4;1;5;4;6;10;1;0;1;2;11;13;3;8;11;7;11;18;5;2;7;11;18;29;0;1;1;0;1;1;3.0;2018-10-07;-10.0;-27.0;-52.0;-36.0;-26.0;-19.0;-13.0;-83.0;-49.0;-2.0;6.0;-3.0;7.0;57.0;60.0;34.0;22.0;81.0;69.0;-52.0;-12.0;-13.0;9.0;-18.0;-77.0;-38.0;-12.0;30.0;41.0;100.0;27.0;-18.0;-16.0;8.0;-8.0;23.0;34.0;40.0;30.0;22.0;20.0;29.0;11.0;3.0;39.0;21.0;24.0;15.0;14.0;44.0;-39.0;-32.0;-46.0;-27.0;22.0;38.0;19.0;40.0;12.0;31.0;23.0;60.0;38.0;32.0;14.0;12.0;27.0;76.0;14.0;13.0;6.0;24.0;20.0;18.0;9.0;61.0;33.0;48.0;44.0;45.0;31.0;94.0;100.0;83.0;85.0;46.0;31.0;17.0;45.0;9.0;48.0;44.0;1.0;08:30:00;-1.0;PRM;GEN
ATT X SAM 07-10-2018;170 (80%);169 (77%);339 (78%);241 (88%);244 (82%);485 (85%);3;6;9;9;6;15;44%;42%;43%;56%;58%;57%;0;0;0;2;1;3;0;0;0;2;1;3;0;2;2;3;4;7;9;24;33;6;4;10;2;2;4;5;4;9;0;1;1;0;0;0;2/5 (40%);1/4 (25%);3/9 (33%);4/11 (36%);6/19 (32%);10/30 (33%);2/4 (50%);3/5 (60%);5/9 (56%);1/6 (17%);0/2 (0%);1/8 (13%);28;31;59;28;23;51;14;18;1;1;2;1;1;2;0;0;0;2;0;2;9;16;25;10;9;19;16/32 (50%);4/24 (17%);20/56 (36%);31/43 (72%);20/33 (61%);51/76 (67%);0;0;0;1;2;3;212;220;432;273;296;569;;;143;;;155;;;;;;;5;2;7;9;8;17;4;0;4;6;6;12;1;2;3;1;1;2;0;2;2;1;3;4;14;15;29;11;12;23;5;4;9;10;11;21;1;3;4;0;2;2;1.0;2018-10-07;4.0;-5.0;11.0;11.0;31.0;19.0;13.0;44.0;26.0;24.0;13.0;-5.0;-40.0;-100.0;-29.0;-11.0;35.0;17.0;-19.0;8.0;5.0;23.0;21.0;34.0;17.0;23.0;13.0;13.0;-15.0;-2.0;6.0;-8.0;6.0;23.0;13.0;40.0;31.0;80.0;55.0;21.0;;-14.0;-3.0;-11.0;-10.0;15.0;8.0;8.0;11.0;10.0;18.0;19.0;26.0;28.0;24.0;17.0;25.0;48.0;41.0;20.0;11.0;-57.0;-28.0;-11.0;32.0;23.0;27.0;16.0;14.0;18.0;-9.0;-5.0;4.0;1.0;-1.0;-61.0;-34.0;26.0;1.0;2.0;17.0;16.0;29.0;12.0;28.0;35.0;16.0;39.0;26.0;-1.0;8.0;135.0;0.0;11:00:00;-1.0;SAM;ATT
LAZ X FIO 07-10-2018;166 (80%);228 (79%);394 (79%);155 (82%);91 (66%);246 (76%);8;13;21;7;9;16;53%;68%;61%;47%;32%;39%;1;0;1;2;0;2;1;0;1;2;0;2;1;3;4;1;0;1;11;3;14;13;29;42;1;5;6;3;2;5;;;;;;;1/6 (17%);5/18 (28%);6/24 (25%);4/12 (33%);3/7 (43%);7/19 (37%);4/9 (44%);5/12 (42%);9/21 (42%);4/6 (67%);3/6 (50%);7/12 (58%);25;39;64;23;27;50;10;18;3;2;5;2;3;5;;;;;;;4;5;9;4;8;12;16/35 (46%);21/39 (54%);37/74 (50%);11/26 (42%);6/21 (29%);17/47 (36%);1;1;2;2;2;4;208;288;496;188;137;325;;;164;;;135;;;;;;;3;8;11;6;3;9;1;5;6;3;3;6;2;3;5;4;2;6;1;3;4;2;2;4;5;12;17;9;10;19;4;11;15;8;5;13;2;1;3;2;3;5;0.0;2018-10-07;-11.0;-8.0;-6.0;-5.0;19.0;58.0;24.0;39.0;29.0;50.0;20.0;-12.0;8.0;8.0;12.0;-12.0;7.0;14.0;11.0;2.0;-55.0;-48.0;14.0;-30.0;-18.0;-40.0;-19.0;-22.0;-15.0;-5.0;65.0;32.0;16.0;3.0;9.0;12.0;12.0;13.0;10.0;25.0;8.0;26.0;15.0;-41.0;-21.0;14.0;-16.0;-12.0;-24.0;-17.0;-13.0;-28.0;-24.0;-100.0;-65.0;-43.0;3.0;-20.0;-49.0;-15.0;-11.0;48.0;30.0;39.0;22.0;18.0;6.0;2.0;18.0;16.0;22.0;-31.0;-17.0;-15.0;-13.0;-27.0;-16.0;-36.0;12.0;-26.0;-19.0;16.0;-12.0;-40.0;-31.0;-24.0;-61.0;-100.0;-37.0;-23.0;-4.0;-64.0;1.0;11:00:00;1.0;FIO;LAZ
MIL X CHV 07-10-2018;159 (84%);122 (82%);281 (83%);318 (91%);361 (91%);679 (91%);3;5;8;9;13;22;36%;28%;32%;64%;72%;68%;0;0;0;2;0;2;0;0;0;4;0;4;6;2;8;3;2;5;13;8;21;17;7;24;4;3;7;8;4;12;;;;;;;4/15 (27%);0/9 (0%);4/24 (17%);5/16 (31%);1/5 (20%);6/21 (29%);2/4 (50%);2/4 (50%);4/8 (50%);2/3 (67%);2/3 (67%);4/6 (67%);13;17;30;22;39;61;13;9;2;1;3;1;0;1;;;;;;;8;6;14;6;2;8;21/30 (70%);15/28 (54%);36/58 (62%);23/28 (82%);25/37 (68%);48/65 (74%);0;0;0;1;2;3;189;148;337;351;395;746;;;110;;;113;;;;;;;4;1;5;8;4;12;3;1;4;6;3;9;0;1;1;4;2;6;5;3;8;5;3;8;4;6;10;10;12;22;9;4;13;13;7;20;0;1;1;0;1;1;1.0;2018-10-07;-3.0;32.0;13.0;17.0;16.0;24.0;49.0;50.0;30.0;19.0;21.0;21.0;51.0;45.0;35.0;60.0;38.0;46.0;33.0;74.0;100.0;68.0;17.0;41.0;26.0;-34.0;-47.0;-57.0;42.0;34.0;9.0;-12.0;-14.0;21.0;-54.0;-26.0;41.0;14.0;-11.0;-36.0;-30.0;-13.0;-4.0;-26.0;-35.0;83.0;21.0;69.0;43.0;32.0;24.0;29.0;52.0;37.0;35.0;26.0;62.0;19.0;18.0;11.0;11.0;-50.0;-19.0;-7.0;-3.0;21.0;12.0;-48.0;10.0;19.0;44.0;31.0;42.0;2.0;11.0;13.0;7.0;1.0;-3.0;-5.0;25.0;24.0;17.0;12.0;9.0;-7.0;-14.0;19.0;7.0;13.0;6.0;-4.0;3.0;11:00:00;1.0;CHV;MIL
NAP X SAS 07-10-2018;325 (89%);236 (86%);561 (88%);205 (89%);246 (84%);451 (86%);3;2;5;2;2;4;62%;49%;56%;38%;51%;44%;0;2;2;2;0;2;0;2;2;3;0;3;1;0;1;0;1;1;5;5;10;8;9;17;2;2;4;2;2;4;;;;;;;2/5 (40%);3/11 (27%);5/16 (31%);2/3 (67%);2/5 (40%);4/8 (50%);2/8 (25%);2/10 (20%);4/18 (22%);4/9 (44%);4/9 (44%);8/18 (44%);17;21;38;19;24;43;8;12;4;1;5;1;6;7;;;;;;;2;6;8;6;4;10;14/21 (67%);8/21 (38%);22/42 (52%);20/26 (77%);14/30 (47%);34/56 (61%);1;0;1;0;3;3;365;274;639;230;293;523;;;133;;;123;0;1;1;0;0;0;2;4;6;9;2;11;2;2;4;6;1;7;1;6;7;5;2;7;2;4;6;2;2;4;7;11;18;11;13;24;4;8;12;11;4;15;1;1;2;1;1;2;0.0;2018-10-07;10.0;-5.0;-7.0;-2.0;53.0;53.0;67.0;100.0;95.0;40.0;15.0;47.0;3.0;-37.0;-28.0;-13.0;-6.0;-5.0;78.0;44.0;22.0;10.0;29.0;4.0;-6.0;-9.0;-9.0;-10.0;-47.0;-65.0;-46.0;-47.0;-39.0;60.0;-17.0;-4.0;15.0;-10.0;-6.0;-8.0;;-20.0;-18.0;-61.0;-27.0;38.0;-25.0;-34.0;-18.0;-7.0;9.0;3.0;3.0;3.0;5.0;41.0;23.0;24.0;14.0;17.0;-19.0;-12.0;-50.0;-47.0;-28.0;-65.0;-31.0;10.0;-17.0;-7.0;19.0;49.0;24.0;11.0;-17.0;-10.0;-40.0;-23.0;10.0;-45.0;-19.0;-6.0;3.0;-5.0;3.0;-13.0;-2.0;8.0;6.0;-5.0;23.0;-56.0;2.0;14:00:00;1.0;SAS;NAP
SPA X INT 07-10-2018;160 (86%);184 (82%);344 (84%);205 (89%);174 (84%);379 (87%);4;8;12;11;7;18;46%;52%;49%;54%;48%;51%;0;1;1;2;2;4;0;2;2;2;3;5;3;2;5;2;0;2;7;12;19;10;15;25;6;3;9;7;3;10;;;;;;;3/17 (18%);2/8 (25%);5/25 (20%);4/14 (29%);4/15 (27%);8/29 (28%);4/4 (100%);1/5 (20%);5/9 (56%);4/9 (44%);3/6 (50%);7/15 (47%);17;24;41;27;30;57;21;13;3;1;4;0;1;1;;;;;;;3;5;8;5;7;12;17/23 (74%);21/32 (66%);38/55 (69%);12/20 (60%);13/23 (57%);25/43 (58%);2;0;2;0;0;0;186;225;411;230;206;436;;;117;;;111;;;;;;;4;5;9;7;4;11;2;3;5;3;4;7;1;2;3;3;2;5;2;2;4;1;2;3;6;7;13;6;9;15;6;7;13;8;6;14;0;2;2;1;5;6;2.0;2018-10-07;17.0;-5.0;-7.0;24.0;15.0;-40.0;-18.0;-9.0;46.0;81.0;60.0;-12.0;71.0;38.0;23.0;3.0;-18.0;-13.0;-35.0;-37.0;-13.0;-9.0;-3.0;-17.0;22.0;27.0;11.0;6.0;4.0;-1.0;-1.0;-10.0;-10.0;-4.0;-37.0;-28.0;-17.0;35.0;30.0;61.0;47.0;63.0;34.0;50.0;40.0;-5.0;16.0;-12.0;8.0;1.0;-6.0;-15.0;-38.0;27.0;24.0;17.0;-6.0;14.0;20.0;10.0;28.0;47.0;59.0;34.0;-27.0;-45.0;-17.0;-44.0;13.0;-5.0;17.0;31.0;-27.0;-14.0;-6.0;-13.0;-11.0;-31.0;-59.0;-21.0;15.0;2.0;4.0;7.0;-10.0;12.0;-11.0;-9.0;-16.0;-17.0;-55.0;-10.0;1.0;16:30:00;-1.0;INT;SPA
ROM X SPA 20-10-2018;148 (76%);84 (66%);232 (72%);215 (85%);257 (86%);472 (85%);5;6;11;5;16;21;45%;30%;38%;55%;70%;62%;0;2;2;1;2;3;1;3;4;1;2;3;1;0;1;2;1;3;11;18;29;12;2;14;3;6;9;3;5;8;0;1;1;0;0;0;1/8 (13%);2/6 (33%);3/14 (21%);1/9 (11%);3/18 (17%);4/27 (15%);6/8 (75%);1/2 (50%);7/10 (70%);3/6 (50%);2/6 (33%);5/12 (42%);27;25;52;16;29;45;7;18;5;3;8;0;3;3;0;0;0;0;1;1;6;10;16;11;2;13;5/20 (25%);11/36 (31%);16/56 (29%);24/34 (71%);13/19 (68%);37/53 (70%);0;2;2;1;1;2;195;127;322;254;299;553;;;141;;;139;0;1;1;0;0;0;1;4;5;5;6;11;0;0;0;2;5;7;1;4;5;5;3;8;1;0;1;4;3;7;8;10;18;6;6;12;2;4;6;9;9;18;1;4;5;1;2;3;2.0;2018-10-20;3.0;25.0;40.0;16.0;43.0;29.0;21.0;18.0;14.0;54.0;29.0;29.0;17.0;9.0;18.0;8.0;33.0;17.0;2.0;-26.0;-11.0;-19.0;51.0;-9.0;14.0;6.0;3.0;2.0;43.0;26.0;36.0;-60.0;-14.0;49.0;-6.0;-7.0;-27.0;-12.0;-9.0;-26.0;;-11.0;-1.0;4.0;5.0;42.0;8.0;8.0;8.0;-7.0;41.0;31.0;-47.0;-43.0;-22.0;-13.0;24.0;9.0;5.0;-10.0;-2.0;-33.0;38.0;16.0;47.0;15.0;-34.0;5.0;36.0;38.0;37.0;44.0;37.0;26.0;33.0;22.0;20.0;21.0;42.0;25.0;38.0;50.0;35.0;37.0;48.0;30.0;19.0;43.0;71.0;31.0;39.0;-40.0;0.0;11:00:00;-1.0;SPA;ROM
JUV X GEN 20-10-2018;181 (81%);83 (63%);264 (75%);276 (88%);259 (85%);535 (87%);9;14;23;7;8;15;41%;31%;36%;59%;69%;64%;0;0;0;1;0;1;0;1;1;2;0;2;2;0;2;4;3;7;15;21;36;5;6;11;0;2;2;2;6;8;;;;;;;0/2 (0%);2/4 (50%);2/6 (33%);2/10 (20%);5/14 (36%);7/24 (29%);3/5 (60%);2/2 (100%);5/7 (71%);7/10 (70%);5/9 (56%);12/19 (63%);24;29;53;26;24;50;15;10;2;0;2;0;1;1;0;0;0;1;0;1;7;10;17;13;6;19;13/27 (48%);14/42 (33%);27/69 (39%);19/30 (63%);12/23 (52%);31/53 (58%);2;0;2;1;0;1;223;131;354;314;304;618;;;127;;;137;;;;;;;1;3;4;8;5;13;3;2;5;4;7;11;0;2;2;3;0;3;4;1;5;3;5;8;8;8;16;7;4;11;5;4;9;11;10;21;1;2;3;1;0;1;1.0;2018-10-20;6.0;10.0;42.0;21.0;14.0;36.0;41.0;15.0;6.0;28.0;17.0;8.0;60.0;30.0;21.0;22.0;31.0;24.0;10.0;7.0;-15.0;-9.0;-5.0;-4.0;-7.0;-2.0;15.0;12.0;42.0;75.0;52.0;39.0;22.0;14.0;7.0;-29.0;-20.0;-8.0;-10.0;-25.0;2.0;4.0;54.0;48.0;30.0;9.0;26.0;15.0;12.0;-21.0;-17.0;-14.0;-45.0;-33.0;-29.0;-12.0;6.0;-4.0;4.0;7.0;26.0;26.0;46.0;29.0;33.0;-35.0;-5.0;-9.0;7.0;22.0;20.0;40.0;54.0;53.0;36.0;74.0;58.0;37.0;-5.0;51.0;46.0;29.0;22.0;14.0;52.0;38.0;61.0;31.0;19.0;18.0;19.0;18.0;1.0;14:00:00;0.0;GEN;JUV
UDI X NAP 20-10-2018;325 (88%);232 (81%);557 (85%);154 (77%);182 (81%);336 (79%);8;5;13;8;4;12;65%;56%;61%;35%;44%;39%;2;0;2;1;1;2;2;1;3;1;1;2;1;3;4;1;2;3;4;6;10;5;10;15;0;5;5;1;2;3;;;;;;;2/6 (33%);0/7 (0%);2/13 (15%);2/6 (33%);4/9 (44%);6/15 (40%);3/6 (50%);4/7 (57%);7/13 (54%);6/7 (86%);5/7 (71%);11/14 (79%);20;23;43;26;20;46;11;12;3;2;5;1;0;1;0;0;0;0;1;1;11;6;17;11;9;20;20/36 (56%);10/26 (38%);30/62 (48%);16/31 (52%);7/20 (35%);23/51 (45%);1;1;2;0;1;1;368;288;656;200;224;424;;;145;;;137;;;;;;;5;3;8;4;4;8;6;0;6;2;1;3;2;2;4;3;2;5;4;2;6;2;1;3;6;8;14;6;8;14;9;5;14;6;5;11;2;2;4;1;2;3;3.0;2018-10-20;2.0;-48.0;-38.0;-29.0;-37.0;-66.0;-65.0;-37.0;-35.0;-25.0;-18.0;3.0;-14.0;-7.0;-7.0;13.0;5.0;5.0;-6.0;-18.0;-10.0;-11.0;-12.0;-7.0;-6.0;-24.0;-50.0;-16.0;-16.0;-17.0;-6.0;-3.0;-4.0;-10.0;-2.0;-2.0;-3.0;-25.0;-41.0;28.0;66.0;41.0;32.0;19.0;16.0;-16.0;10.0;5.0;3.0;3.0;2.0;29.0;11.0;8.0;22.0;12.0;-10.0;51.0;28.0;23.0;34.0;4.0;-13.0;-32.0;-30.0;-63.0;-39.0;-11.0;-22.0;-6.0;7.0;8.0;15.0;5.0;-16.0;9.0;-1.0;-9.0;-9.0;-13.0;19.0;-27.0;-35.0;-22.0;-18.0;-62.0;-31.0;28.0;4.0;-10.0;32.0;-30.0;0.0;16:30:00;-1.0;NAP;UDI
