game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
LEC X CAG 25-11-2019;;False;1151;penaltyNotAwarded;varDecision;False;{'name': 'Fabrizio Cacciatore', 'slug': 'fabrizio-cacciatore', 'shortName': 'F. Cacciatore', 'position': 'D', 'userCount': 214, 'id': 44136};28
LAZ X UDI 01-12-2019;;False;1215;penaltyNotAwarded;varDecision;True;{'name': 'Sergej Milinković-Savić', 'slug': 'sergej-milinkovic-savic', 'shortName': 'S. Milinković-Savić', 'position': 'M', 'userCount': 5955, 'id': 331447};34
NAP X BGN 01-12-2019;6.0;False;1227;goalAwarded;varDecision;True;{'name': 'Fernando Llorente', 'slug': 'fernando-llorente', 'shortName': 'F. Llorente', 'position': 'F', 'userCount': 1971, 'id': 11692};90
HEL X ROM 01-12-2019;;True;1233;goalNotAwarded;varDecision;True;{'name': 'Davide Faraoni', 'slug': 'davide-faraoni', 'shortName': 'D. Faraoni', 'position': 'M', 'userCount': 491, 'id': 32040};40
ATT X HEL 07-12-2019;;False;1267;penaltyNotAwarded;varDecision;True;{'name': 'Timothy Castagne', 'slug': 'timothy-castagne', 'shortName': 'T. Castagne', 'position': 'M', 'userCount': 1647, 'id': 329417};62
LAZ X JUV 07-12-2019;;False;1286;cardUpgrade;varDecision;False;{'name': 'Juan Cuadrado', 'slug': 'juan-cuadrado', 'shortName': 'J. Cuadrado', 'position': 'D', 'userCount': 10258, 'id': 47743};69
SAM X PRM 08-12-2019;;False;1304;review;varDecision;True;{'name': 'Fabio Quagliarella', 'slug': 'fabio-quagliarella', 'shortName': 'F. Quagliarella', 'position': 'F', 'userCount': 2931, 'id': 11621};78
BGN X MIL 08-12-2019;;False;1312;penaltyNotAwarded;varDecision;True;{'name': 'Riccardo Orsolini', 'slug': 'riccardo-orsolini', 'shortName': 'Orsolini', 'position': 'M', 'userCount': 1705, 'id': 793645};82
NAP X PRM 14-12-2019;3.0;False;1339;penaltyAwarded;varDecision;True;{'name': 'Piotr Zieliński', 'slug': 'piotr-zielinski', 'shortName': 'P. Zieliński', 'position': 'M', 'userCount': 8234, 'id': 138605};45
HEL X TOR 15-12-2019;;False;1347;penaltyNotAwarded;varDecision;True;{'name': 'Mariusz Stępiński', 'slug': 'mariusz-stepinski', 'shortName': 'M. Stępiński', 'position': 'F', 'userCount': 2237, 'id': 189127};67
