game;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5
SAN X MUN 22-09-2015;6;25;19;58;41;18;12;13;66;60;42;13;24;13;8.0;-6;-2;-6;-39;-54;-37;-22;9;-8;-7.0;5;1;-7;-5;-9.0;-7;24.0;10;37;4;6;7;1;-2;-6;-70.0;-2;8;21;5;28;5;-3;8;45;30;20;11;10;2;-6;38;-8;-15;-15;-4;-2;-1;-20;-2;-2;-37;23;-17;-4;15;5;40;22;32;12;6;5;10;37;24;19;10;25;-21;-5;-3;-6;5;40;5;-30.0
STP X HEI 23-09-2015;1;4;2;1;10;36;22;-50;-16;-10;-12;1;-7;1;-5.0;6;2;-5;-1;1;-5;-2;1;10;24.0;9;10;6;77;54.0;32;18.0;21;1;21;12;12;7;3;-6;-50.0;35;21;18;11;1;7;2;2;-15;-2;1;6;3;9;5;1;4;7;-5;1;1;21;7;20;18;21;25;11;3;1;-5;6;-5;-6;-3;21;61;15;37;22;-30;-25;-18;-15;-23;-51;-29;-17;14;-4;25.0
FSV X UNB 23-09-2015;11;33;23;21;14;9;4;-4;2;7;4;12;3;-64;-55.0;-52;-34;-26;-16;-54;-36;-17;8;-10;-6.0;-1;-6;-4;-3;-5.0;-6;-1.0;2;-19;-74;-36;-19;-9;47;36;25.0;2;-1;-6;-43;21;-86;-46;-28;75;37;100;64;33;8;34;12;14;3;-21;-15;-6;5;30;19;-16;-2;15;-32;-41;-25;-14;-8;-8;-77;-45;-46;-27;8;-5;-50;-32;-12;-46;-37;-48;-37;-22;-14;10;-7;85.0
DUI X EBR 23-09-2015;5;-10;-15;-11;-81;-48;-18;-10;46;24;4;-6;2;41;51.0;31;23;-16;5;-2;30;20;-1;12;-11.0;-2;20;8;29;12.0;6;6.0;-6;-6;-23;-34;-21;-8;10;-6;10.0;-4;-13;-8;-5;-24;-3;-27;-22;-14;-85;-81;-43;-16;-11;-42;-20;-19;-18;-12;-9;4;4;1;-2;-76;-47;-46;29;-2;29;20;-97;-53;-33;-43;-27;-85;-27;-47;-29;-17;-36;-16;30;10;5;-66;-36;-20;-24;
FUR X SCP 23-09-2015;1;1;1;-5;-1;6;3;2;-5;1;-10;25;-10;-55;-37.0;41;32;95;65;47;28;56;20;24;5.0;-24;-51;-72;-41;-22.0;-80;-38.0;27;13;-19;-7;11;7;44;-19;-50.0;-9;-5;-3;6;8;3;2;1;1;1;-10;6;-5;-12;-7;5;81;75;20;52;31;7;-30;-14;31;11;2;7;-60;-51;-37;-22;-8;31;29;17;10;1;81;56;32;14;-50;-54;-28;-21;-1;-25;1;-10;
RBL X SCF 24-09-2015;-1;-5;31;-55;-25;-19;-16;-11;41;-60;-20;-1;-6;6;31.0;27;100;93;86;50;25;8;-1;-79;-46.0;-26;-14;-12;12;11.0;13;8.0;26;-5;21;8;5;9;55;33;5.0;7;4;33;21;-3;63;78;67;46;35;20;6;5;-37;-47;-32;-40;-21;39;20;57;38;25;20;44;26;-23;18;13;10;11;4;5;6;16;12;10;-18;34;53;42;26;47;27;5;4;8;24;-9;-4;10.0
NUR X ARM 25-09-2015;1;-3;3;3;4;-3;3;43;27;18;13;31;10;5;-8.0;3;8;26;17;18;43;33;19;21;15.0;11;7;6;11;14.0;11;-38.0;-35;12;48;17;18;11;11;-18;30.0;3;-3;-100;-81;-74;-49;-15;-4;19;17;-26;-5;5;5;1;-33;11;51;39;32;23;12;8;8;-6;23;-19;16;12;9;9;-27;-5;38;-22;-3;3;-9;4;8;14;100;81;50;32;26;-37;78;-3;-42;20.0
DUS X SAN 25-09-2015;6;9;8;6;-6;-42;-31;20;-1;-5;6;38;4;-5;-5.0;6;46;28;18;11;-50;-27;28;-5;-2.0;-5;-40;-17;31;7.0;-7;-12.0;-9;26;7;-3;-29;-4;32;2;-5.0;-4;-6;-9;-6;12;-79;-27;-11;-7;30;9;3;91;58;27;8;16;14;-3;3;-3;3;37;69;43;27;9;18;10;14;10;28;18;13;9;32;20;7;23;-68;-34;-50;-32;-48;33;42;19;14;11;7;-20.0
BOC X KAI 25-09-2015;31;-30;-15;-4;6;1;8;-5;-4;6;1;23;6;4;8.0;4;8;-75;-35;-15;-13;31;14;-75;-27.0;-15;31;71;43;31.0;14;12.0;3;8;-5;1;1;-5;6;8;;10;7;-5;-3;5;-5;-46;-25;-17;28;12;12;-28;38;-28;1;-12;-5;-3;-3;-58;-31;-97;-36;-35;-21;5;-21;-6;36;95;57;36;22;16;45;12;8;8;-19;-7;-16;-12;21;5;4;4;3;5;11;25.0
UNB X DUI 26-09-2015;1;1;1;21;12;13;8;5;1;-5;11;5;4;-50;-38.0;-52;-36;-21;-54;-26;-8;-4;3;-2;96.0;57;28;47;33;12.0;7;-5.0;6;2;-5;-2;6;2;1;11;55.0;1;-5;-31;-17;76;31;12;-40;-65;-63;-34;-19;-78;-42;-27;46;-16;-58;-29;-16;41;29;21;13;48;31;27;13;8;10;-5;1;5;23;9;6;8;11;5;12;7;5;-5;-70;-42;36;11;47;7;53;-5.0
