game;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5
MUN X STP 21-11-2015;-1;-16;4;2;3;-1;-1;5;-31;20;1;5;5;7;1.0;-6;-4;40;-36;-8;-4;5;2;-7;21.0;41;24;54;37;16.0;7;4.0;1;6;1;5;8;5;-5;6;;7;3;-6;-2;-11;5;-1;-1;74;43;24;14;82;42;24;-4;19;10;-1;-6;-9;-11;-7;-5;-8;50;-8;6;38;21;12;-6;40;25;20;6;3;-40;-1;-41;-25;-20;-37;-22;-35;-21;-12;-1;50;5;30.0
ARM X RBL 21-11-2015;1;-2;-2;-1;-1;-1;5;1;-1;30;17;44;9;2;38.0;22;15;15;11;85;12;39;21;19;13.0;-4;-4;-6;-6;-2.0;-21;-7.0;-34;12;-95;-62;-35;-16;-8;-1;;-1;-21;-5;-7;11;-7;7;3;8;11;8;-34;-26;-14;32;6;44;30;19;7;-49;-33;-18;-49;-28;-11;-1;-10;47;22;14;15;5;2;-19;-4;-1;-6;42;30;15;5;-4;-2;1;1;1;-10;-3;-4;0.0
HEI X FUR 22-11-2015;-1;-22;-13;-8;-5;5;1;5;7;3;-6;-5;-2;-2;10.0;13;6;22;17;13;10;5;-9;-7;-4.0;-9;-37;-23;-44;-22.0;-19;-15.0;-15;-25;-3;-3;-8;-5;-9;-2;-35.0;-2;4;4;6;-91;51;34;23;46;30;-37;-19;-3;-1;44;-59;26;17;16;6;76;42;36;22;-14;22;-30;1;2;62;44;26;12;4;2;7;44;-28;28;13;8;4;-4;-2;1;46;27;66;-46;40;5.0
KAI X FSV 22-11-2015;6;-6;-2;2;-24;-12;22;9;11;70;47;8;63;33;-64.0;-24;-19;-13;21;-25;-6;-2;6;1;-1.0;46;28;-75;-38;-22.0;-15;-3.0;4;5;3;7;15;49;25;21;110.0;8;6;-29;-7;4;62;69;48;37;23;10;5;4;3;8;3;1;-29;-9;12;4;9;59;41;14;4;-19;3;-5;12;11;8;30;54;63;18;21;-8;17;13;2;23;9;51;31;20;11;-44;-4;-24;65.0
SCF X SCP 22-11-2015;3;6;-31;20;1;-21;-16;-7;-11;-36;-20;4;-6;75;37.0;19;11;11;61;36;21;12;80;12;22.0;13;17;10;5;31.0;-23;3.0;23;56;16;85;54;30;23;46;;24;17;13;9;36;-16;-3;5;79;51;65;42;29;15;12;19;34;24;18;54;41;-36;-9;-6;-3;5;51;7;3;11;45;60;44;30;21;54;33;19;23;47;30;21;49;31;58;36;23;23;10;15;-70.0
NUR X EBR 23-11-2015;-1;-17;-5;-3;30;-36;-9;-11;-6;-6;-1;-1;-5;-3;5.0;1;1;-1;-6;-18;-10;-26;-1;-35;-20.0;-26;75;36;23;13.0;-41;-23.0;-56;-1;-36;-24;-3;-34;-15;-11;0.0;28;13;45;29;5;15;9;6;2;-75;-37;-21;-17;-9;-29;6;-76;-49;31;31;91;64;39;22;11;2;2;1;-10;-3;6;2;-5;36;21;13;-40;1;-17;-18;-11;-6;95;55;38;17;20;4;-31;-6;-5.0
HEI X SCF 27-11-2015;-5;-1;19;9;79;46;31;6;7;-47;-33;-2;-21;-18;-52.0;-28;-12;-13;-7;1;6;8;-2;5;4.0;2;6;4;8;5.0;-5;-5.0;-2;-7;-16;-29;-36;-95;-56;1;-5.0;1;1;6;24;-5;14;9;5;3;-2;4;-12;-6;4;-6;-4;-5;-8;-31;29;5;1;-12;-5;49;24;4;13;12;6;-2;-11;-8;-6;-5;4;-2;-2;8;4;1;-2;4;-1;-1;4;-6;5;-2;-6;-85.0
FUR X KAI 27-11-2015;-1;53;12;-5;-19;-36;-21;-5;6;8;6;-1;-5;1;6.0;2;-10;-4;-2;31;-25;-9;1;-5;6.0;-1;-40;-22;76;41.0;29;50.0;30;1;12;16;4;-5;-2;-1;;6;5;-18;-5;5;13;38;25;19;-38;-13;38;18;13;13;-5;-18;-5;23;34;22;22;21;11;-74;-40;41;-23;-8;41;82;50;25;10;-4;-3;-6;24;-12;-26;-89;-100;-84;-48;-21;31;20;-74;89;-35;-40.0
EBR X BOC 27-11-2015;2;2;6;28;17;11;7;24;13;8;65;3;59;-60;-100.0;-30;-22;-14;-3;21;10;11;3;57;59.0;14;29;57;5;-5.0;11;-5.0;6;4;3;2;75;40;23;9;-20.0;6;43;20;42;-18;25;9;2;-4;-32;-12;-6;-7;-8;7;22;2;2;-24;-11;-36;-20;-11;-3;-1;7;9;15;-29;-15;-18;-5;22;18;17;12;-19;-5;-37;-21;-12;-1;1;-10;-43;-44;-26;-14;1;-7;-30.0
UNB X ARM 28-11-2015;1;46;43;23;9;51;27;15;9;1;-7;10;-3;6;2.0;7;4;3;-10;-9;-35;-21;6;-12;-7.0;95;56;33;24;59.0;28;11.0;1;9;10;-6;-1;-20;-11;-2;30.0;-1;26;16;10;10;1;-20;-81;-42;-24;36;49;40;29;28;11;44;24;20;42;50;23;19;11;65;57;-30;35;16;10;-60;-40;-58;-29;36;15;9;-13;38;53;19;11;-60;-28;-13;-6;-3;2;-7;-5;-5.0
SCP X MUN 28-11-2015;-6;50;15;16;9;5;-5;-3;75;12;7;-3;4;2;35.0;14;8;4;2;-21;-42;-24;-2;61;26.0;17;12;7;-20;-1.0;-1;1.0;1;-1;1;1;-30;-17;-5;-8;0.0;-5;-7;-3;42;-1;100;100;95;18;69;72;94;-94;-19;27;-5;19;79;-74;-14;-4;-2;-4;14;10;2;-100;7;9;5;-75;-36;-22;-13;31;19;11;-68;7;4;1;35;16;15;4;8;2;-75;-40;-43;50.0
STP X NUR 29-11-2015;1;23;65;37;22;15;15;12;29;-33;-9;3;-6;5;-26.0;-13;-7;-29;-32;-17;51;19;-3;-30;-7.0;7;7;14;11;12.0;7;4.0;7;1;31;16;6;31;-78;-34;;-16;-10;10;10;-5;9;14;12;11;-76;-41;-15;-4;-3;3;6;-6;-12;-8;-10;10;7;4;2;6;43;43;30;67;40;63;34;20;8;9;7;9;48;10;-7;29;10;4;6;8;-4;1;-94;35;-48;-5.0
FSV X DUS 29-11-2015;-1;-17;-9;-9;-5;-2;21;12;8;66;85;5;45;27;-19.0;-80;-55;-26;-14;-6;2;7;12;5;4.0;3;7;45;27;17.0;35;20.0;9;7;5;63;35;-76;-32;-14;;-12;-12;2;2;4;-9;-4;2;7;-4;-29;-15;-28;-6;-2;2;1;-4;-19;-41;-53;-35;47;17;88;56;-4;74;37;23;4;8;-30;-35;-100;-53;-26;-61;-52;-29;-5;-2;-6;16;4;3;2;-30;-30;-21;20.0
DUI X SAN 29-11-2015;-1;88;56;29;17;5;1;-4;22;12;3;2;2;8;14.0;9;1;-4;-6;-3;-31;-22;1;-1;-4.0;-2;1;-40;-73;-47.0;-33;-19.0;46;-24;55;44;21;3;1;-5;0.0;-2;-1;-10;-5;-17;-2;26;9;6;9;10;-5;-60;-55;-22;-49;-13;81;100;69;31;23;8;76;45;2;-28;6;29;12;37;94;61;34;20;5;-21;-5;36;14;3;-50;-25;-17;-4;-1;-5;-5;82;-2;60.0
KAR X RBL 30-11-2015;1;13;7;-6;-1;10;43;5;-26;-18;-41;-1;-8;-3;-5.0;-28;-20;40;15;9;1;-41;-10;40;7.0;4;-31;-33;-23;-9.0;-5;6.0;4;-6;-30;-15;-19;-6;6;3;0.0;1;-20;-6;-3;5;30;15;14;52;35;38;22;17;26;19;-1;4;1;5;-6;-3;5;-1;19;-46;-25;-1;-91;-64;-55;-30;-18;-6;20;15;3;-26;-1;-49;-26;-16;-9;-4;-1;5;2;-1;-1;24;-26;15.0
NUR X SCP 04-12-2015;1;5;2;5;3;-31;-18;-16;40;11;8;1;-21;-9;-9.0;5;-1;-7;-4;-4;-24;-61;-30;-37;-63.0;-9;-15;-7;74;47.0;19;40.0;37;30;15;9;7;2;1;-5;5.0;31;24;15;9;-21;96;56;23;13;-10;-37;-22;-42;-19;-10;-14;46;24;57;33;20;18;11;4;5;1;-9;3;5;6;6;82;51;43;29;90;81;-9;51;32;27;14;9;8;37;22;38;-75;-3;-25;30.0
MUN X FSV 04-12-2015;6;-11;-7;45;23;-26;-6;-4;-11;-12;-10;2;-11;-2;-1.0;20;41;29;17;19;-21;-33;5;40;31.0;17;31;20;28;10.0;-76;-42.0;-20;12;-14;-8;-11;40;19;-1;0.0;-5;7;2;7;6;5;4;8;46;13;18;22;18;-34;22;-6;-4;-30;-17;-6;-4;-1;32;20;-14;7;-1;-4;42;3;4;3;8;3;18;11;6;-7;3;2;1;-5;-2;-1;16;13;3;2;-10;-15;60.0
SAN X FUR 04-12-2015;-5;13;14;8;1;-6;-2;-47;-28;-22;-17;-3;-10;30;10.0;6;9;5;5;3;1;20;5;17;14.0;3;1;-80;-58;-35.0;-16;-11.0;-6;6;9;2;4;1;10;-2;15.0;-6;42;23;20;3;14;30;16;11;-9;-29;-17;77;35;23;52;57;35;17;7;10;9;37;33;51;31;30;20;6;-4;-1;7;4;4;-4;-4;6;57;1;1;-5;-1;-5;-8;-34;-24;-9;6;23;6;40.0
ARM X KAR 05-12-2015;1;28;16;14;2;6;-11;-4;-93;-60;-100;-25;-67;-37;-22.0;-19;-27;-58;-36;29;12;7;-14;35;19.0;-17;-1;-2;4;4.0;-32;-39.0;-3;-8;-7;-9;10;5;11;7;20.0;-1;5;2;9;-10;2;-28;-8;28;14;6;-13;-2;-6;-1;-6;8;12;39;15;6;10;13;22;21;20;-2;8;11;6;3;1;1;-35;76;37;27;75;-35;-13;-13;31;12;80;43;30;26;20;48;6;30.0
SCF X UNB 05-12-2015;1;3;23;10;6;5;-4;2;42;5;4;11;44;47;36.0;64;100;70;46;27;14;8;7;5;78.0;47;28;12;28;31.0;19;17.0;11;45;6;2;-5;-1;1;6;;44;22;54;59;33;37;16;-18;-9;-25;-12;33;18;8;3;16;4;7;-8;3;3;4;-13;7;-39;-1;9;77;42;25;24;14;4;-4;7;4;3;12;3;8;1;6;5;4;-4;2;31;24;5;-4;-25.0
KAI X STP 06-12-2015;-1;18;6;-4;-23;-8;-2;8;11;51;67;-1;52;38;24.0;14;3;3;4;-3;53;28;-100;14;11.0;14;42;27;17;10.0;36;24.0;35;-100;26;16;13;8;24;14;-5.0;6;-40;-20;-11;-61;-11;-9;8;6;46;95;-73;-6;13;5;-32;43;32;22;40;21;-33;38;22;14;86;-7;51;20;13;10;37;64;45;29;19;5;9;2;2;3;53;24;16;11;13;1;-18;36;2;-20.0
RBL X DUI 06-12-2015;2;10;1;5;-1;5;2;41;3;-76;-35;42;-12;-6;9.0;13;15;17;13;11;85;55;31;3;7.0;-5;-4;-2;6;-5.0;1;-5.0;4;100;34;24;23;17;18;12;0.0;-2;6;8;-5;66;1;1;-20;-6;-8;-7;38;19;8;13;21;10;1;3;15;61;38;17;38;20;-12;50;19;39;25;13;-12;-3;-6;-11;-9;18;31;-78;-38;28;1;3;30;92;100;100;79;18;79;35.0
BOC X HEI 06-12-2015;1;14;4;-45;-26;-14;-8;6;9;11;7;1;4;7;9.0;5;-5;1;6;2;1;1;1;-30;-27.0;-95;-100;-78;-43;-30.0;-66;41.0;-35;1;-18;-35;-11;-9;11;-5;;1;79;50;32;6;28;50;22;11;15;16;6;67;83;32;4;27;14;37;30;15;9;7;7;5;-4;8;42;20;42;66;41;17;11;-9;-4;12;25;11;32;26;21;43;31;12;8;5;27;15;21;30.0
DUS X EBR 07-12-2015;-5;3;-1;-1;-20;20;24;14;-21;5;-42;5;-27;-47;-27.0;-12;-5;75;48;23;-21;5;-6;-6;-5.0;-8;5;4;-12;-46.0;-47;-24.0;-16;-52;-39;-21;19;-7;-6;-12;;-8;-7;-25;-20;-31;-44;-29;-25;-17;-8;22;8;-24;-3;-5;30;-8;-7;-11;-20;-10;-9;-44;-29;-30;-21;6;-21;-48;-27;-19;-14;-31;-19;-15;-7;-8;4;-6;-12;-11;-18;-7;-5;39;14;12;10;6;9;-20.0
MUN X HEI 11-12-2015;1;-20;-10;-4;41;29;18;51;36;24;14;10;4;1;1.0;1;6;39;19;12;32;14;11;11;8.0;5;2;12;7;4.0;2;1.0;4;6;2;1;20;7;-81;50;75.0;29;17;10;11;34;-21;-29;-16;-8;-4;-75;-42;-29;-66;-48;-80;-27;-15;-12;-8;-8;-8;6;-30;-15;-7;-45;-3;-36;-13;-7;-23;-38;-14;-2;61;36;-27;24;14;3;-1;-100;-63;-1;1;1;9;-40;50;-30.0
SAN X EBR 11-12-2015;-1;-38;-13;8;-8;38;-33;8;8;1;-6;5;5;1;5.0;13;8;-40;-16;-9;16;10;22;14;73.0;48;53;36;36;22.0;23;22.0;17;13;-10;-4;-12;-42;-69;-74;;-48;-100;-65;-36;-27;-20;-12;-2;5;-11;-51;-31;-4;5;-36;-12;-18;-16;-11;45;48;37;29;24;12;12;-9;-29;-6;-12;-6;-7;-30;-16;32;15;11;-8;10;-79;-43;-18;-9;-8;3;-23;-35;-23;8;-16;-45.0
BOC X SCP 11-12-2015;1;100;62;38;23;4;-1;-45;43;31;17;-4;52;52;25.0;16;17;14;10;9;3;4;-36;9;80.0;42;-41;-9;10;25.0;7;43.0;12;-15;-34;-21;-21;-57;-35;38;0.0;19;18;7;11;-8;-9;12;12;79;48;46;28;23;5;9;-8;11;13;34;72;64;34;21;12;-31;-17;-3;-55;-33;-15;-12;-7;-6;-4;20;39;64;76;39;-45;-12;46;14;24;43;26;8;5;45;-30;105.0
DUS X UNB 12-12-2015;-1;12;9;-5;-1;-74;-43;-25;-9;-4;8;1;10;1;-6.0;-2;5;41;44;46;27;15;1;-31;-50.0;-26;-16;25;41;26.0;65;78.0;49;-5;32;19;-11;-39;-24;20;;7;11;95;67;-6;39;34;45;46;32;25;15;12;36;27;51;36;22;23;-15;11;5;10;7;42;25;28;-74;-33;-18;-11;-5;29;18;12;9;7;52;4;9;2;32;11;-24;-83;-47;-28;22;27;11;5.0
KAR X FUR 12-12-2015;5;-10;-5;-4;-4;3;-3;-3;3;-8;7;-21;18;17;1.0;3;27;21;34;27;17;8;-10;9;14.0;8;-5;-9;-36;-17.0;41;13.0;7;-6;-7;-1;4;4;-2;9;;4;2;2;41;5;24;100;78;87;24;15;-50;-28;71;2;-43;2;5;9;-5;1;-8;-1;18;2;-8;-32;-40;-31;-23;-17;-13;-13;-11;-14;-17;32;-27;9;2;-4;-3;-7;-2;-4;2;-13;-10;-13;-4;-10.0
KAI X DUI 13-12-2015;6;16;15;9;6;12;8;-30;-8;6;-9;43;6;2;-50.0;31;2;11;37;31;17;6;26;33;17.0;45;27;21;10;16.0;2;-5.0;-2;16;6;6;9;6;-5;1;;1;-2;-3;4;10;-7;-34;-22;-9;39;-37;-14;39;-52;-29;6;74;28;22;15;13;-2;-7;4;-6;-6;6;-10;-7;34;16;8;13;6;-2;4;-2;9;-6;4;-1;-8;-35;-20;-2;45;25;-41;26;-31;75.0
NUR X SCF 13-12-2015;-5;-20;6;-5;-2;-36;76;28;32;14;7;-2;1;1;1.0;1;1;16;5;-30;-15;-13;1;-8;6.0;-46;-70;-76;-45;-22.0;-10;45.0;-66;1;-22;-13;30;9;5;-1;-5.0;-1;-5;-33;-19;-5;-11;-2;-1;41;29;17;4;-31;50;17;-1;10;6;10;2;-96;-55;35;-6;5;8;6;9;-6;-1;-1;5;6;4;-31;-16;-10;8;-6;-4;-1;-5;-48;-33;60;63;37;20;20;-6;-85.0
RBL X FSV 13-12-2015;30;34;15;9;3;21;51;36;6;3;5;17;-7;-5;29.0;19;9;4;-47;-34;-52;-30;9;-18;-7.0;-8;6;-5;-6;-43.0;-50;-10.0;-2;10;4;12;12;8;28;4;0.0;4;-12;-6;-4;5;-4;19;4;1;4;11;39;32;23;92;-6;58;75;100;56;31;20;6;78;47;-83;-3;-30;-20;-16;-7;8;7;7;6;26;17;30;12;4;35;21;20;14;47;23;36;19;65;28;75.0
ARM X STP 14-12-2015;1;-48;-27;-15;-26;-59;-31;-17;-9;7;5;1;4;3;2.0;25;19;10;5;42;42;23;-4;13;7.0;30;45;31;17;9.0;-16;-10.0;-2;-5;-2;-2;-21;-13;-34;50;0.0;5;3;-5;1;-2;1;6;3;-5;-5;-22;-33;-14;-2;31;2;9;7;4;3;21;-20;-3;-2;-1;61;2;61;31;13;13;3;15;-10;-5;-2;-1;-29;-1;-10;-5;-3;-1;1;-5;-7;6;1;-15;-5;-50.0
UNB X SAN 18-12-2015;1;4;-5;-30;-74;-6;-3;-1;-30;-6;-6;50;-3;-1;6.0;3;-20;-4;-5;-11;-9;-46;25;-30;-20.0;-24;-17;-29;-20;-9.0;38;51.0;-78;20;-19;-14;-8;18;13;9;-5.0;-3;3;22;10;87;-23;-2;3;13;8;9;7;1;-2;3;52;8;26;13;10;8;36;22;15;9;25;-75;12;7;14;8;3;2;76;44;31;23;-22;9;5;12;7;-5;5;2;0;5;8;31;14;-65.0
STP X KAR 18-12-2015;1;-1;-2;4;-2;-2;-1;-1;24;12;27;-2;15;9;63.0;77;44;100;54;57;31;18;-1;9;-6.0;-16;-15;-4;-3;5.0;-76;-42.0;90;-2;37;21;23;8;-1;5;;1;-22;-13;-4;-2;-4;4;-7;34;51;59;78;100;55;28;4;8;-2;-35;-27;-47;-24;-16;-8;39;20;-2;5;-7;-78;-46;-38;-24;-15;-4;-3;-2;-2;-7;-5;-4;-13;-13;-8;-1;19;15;8;-1;-26;70.0
FSV X ARM 18-12-2015;1;6;4;-4;2;1;21;18;42;26;11;1;46;33;18.0;-19;-42;-27;-15;-12;-9;-1;1;2;1.0;2;-29;-14;-7;7.0;2;-29.0;-43;-19;-24;77;37;26;-28;-13;;-11;-5;-31;-44;-9;-53;-100;-67;43;-8;2;-9;-4;-19;-15;-4;-17;-43;-29;-25;-23;-17;-11;-30;-21;-11;-6;-1;6;10;11;7;4;2;21;12;7;-3;5;38;16;10;1;1;31;57;34;-70;2;-28;-5.0
HEI X NUR 19-12-2015;-1;8;6;3;25;38;17;-116;-32;-16;-12;-1;-22;-10;-8.0;40;50;31;-26;35;-51;-22;-1;-3;40.0;15;33;19;10;-21.0;-9;-7.0;5;25;-1;6;8;5;12;12;-5.0;5;2;-1;-6;43;-54;-33;-25;30;27;59;54;31;15;12;5;3;-76;-50;-35;30;4;17;10;6;1;3;-1;5;-31;25;44;96;51;27;-21;-1;36;-6;-83;-49;-33;-20;-87;-46;-23;-13;-18;19;-45;
FUR X RBL 19-12-2015;1;-5;-1;-5;-8;-9;-29;-17;-4;6;-5;-5;1;5;3.0;2;2;-40;-22;-18;-10;6;-2;-5;11.0;6;-40;-21;-6;6.0;1;-4.0;-9;-1;-18;-14;-7;-7;-57;-36;-30.0;-4;-85;-100;-80;-5;-56;-36;-18;17;-24;-32;-27;-24;-19;-13;6;7;-14;-15;-12;-6;-53;31;1;2;6;1;8;43;26;6;4;3;21;12;7;13;1;27;18;20;11;50;27;15;2;10;42;1;29;45.0
EBR X KAI 20-12-2015;1;40;59;34;15;3;-6;-35;-16;-15;-39;1;-23;-7;5.0;-1;1;-1;-1;-1;-11;-2;-5;75;42.0;59;75;34;14;37.0;15;1.0;7;-42;4;1;16;10;1;-35;35.0;-30;-17;-39;-23;-20;-14;-7;5;1;-6;5;-1;-1;-1;-1;-11;-1;-1;-1;35;14;2;-6;-3;5;-1;-11;4;7;3;1;-1;-21;-88;-43;-26;-6;-6;20;5;-31;-11;-8;30;14;10;30;17;61;7;-5.0
SCF X MUN 20-12-2015;1;-7;-3;7;-4;-29;-16;-8;-24;-19;-40;1;30;2;2.0;1;7;1;-1;-31;-8;-6;6;-34;-20.0;-40;-25;-15;75;34.0;22;12.0;6;35;-1;-6;-9;-66;40;74;;44;44;33;19;26;3;4;9;27;33;17;13;9;6;5;17;5;-3;2;4;4;80;50;52;33;22;16;15;6;4;5;10;13;9;-14;6;41;-29;19;12;9;16;12;8;11;37;2;-4;-13;6;
DUI X BOC 20-12-2015;1;10;-20;-9;-9;6;1;2;2;-5;-6;1;11;4;3.0;2;7;4;8;10;38;15;5;26;-33.0;-12;-17;-12;-10;-6.0;38;18.0;8;8;2;4;3;29;-23;-5;;-2;-31;-60;-33;10;-19;-1;-40;-19;-11;21;12;15;60;37;2;-49;-20;-41;-32;-52;-26;32;12;-19;22;-30;11;-29;-33;22;6;9;9;53;71;43;51;26;11;-4;7;13;48;70;43;26;46;25;24;50.0
SCP X DUS 21-12-2015;20;3;-3;-3;3;8;7;7;7;6;-6;36;-6;-24;-15.0;-14;-8;-10;-5;5;25;14;21;23;18.0;10;-6;-11;-8;-5.0;-9;-5.0;4;14;4;1;-37;-21;-34;-21;;-14;42;22;25;10;21;19;9;46;28;13;25;12;-28;38;-9;6;25;12;11;-8;-13;-11;-8;-27;-22;-6;-29;-19;-18;-11;44;44;32;50;1;-1;-12;-1;-5;-4;7;4;5;5;6;5;25;-4;-3;0.0
KAI X UNB 05-02-2016;-1;1;1;1;1;21;63;33;20;12;-30;-1;31;13;13.0;4;5;6;54;32;35;21;-10;13;5.0;4;2;77;47;8.0;6;4.0;-1;-6;-40;77;32;20;53;-4;0.0;7;-9;-2;37;-23;16;-9;2;52;25;26;77;42;-29;27;-18;13;5;49;83;43;7;-14;-7;-6;-2;-9;2;-9;7;2;7;10;-19;-76;-44;-31;-9;-22;-11;1;1;6;5;-74;-41;-33;-19;-4;1;15.0
SAN X SCP 05-02-2016;-6;49;20;16;4;1;-9;-6;-5;-3;-3;-9;-2;39;10.0;5;22;11;2;-42;-29;-21;49;-10;-8.0;-39;-20;-9;8;3.0;52;28.0;-38;24;-10;8;-5;33;27;-3;-5.0;8;6;-8;18;8;82;16;2;-3;-3;-14;-28;-23;-15;-1;4;-2;-8;-10;-8;-2;3;-8;-4;-4;3;1;-2;-7;-5;-3;-12;-8;-4;-3;-12;-12;-18;-37;-33;-40;-28;-17;-43;-25;-19;-6;10;-7;10;30.0
BOC X SCF 05-02-2016;-41;-22;-18;-7;-4;75;47;27;15;-21;-17;-25;-11;-12;-43.0;-24;-10;25;45;29;11;-41;-11;-22;-16.0;-15;-49;-100;-68;-43.0;-28;-41.0;-20;-7;-5;3;-58;-25;-12;13;30.0;3;-28;-18;-9;-5;-3;3;44;48;30;15;5;52;36;23;-6;21;10;-3;-3;3;3;8;100;32;21;-64;19;8;-5;43;31;20;4;9;-3;-3;-39;8;65;55;35;23;25;17;11;8;11;-44;12;40.0
MUN X NUR 06-02-2016;-6;-58;-35;-26;-13;-7;-1;-6;-8;30;19;-23;10;-11;-2.0;-3;-78;-46;-27;-11;-7;-1;80;39;100.0;59;74;43;22;6.0;2;30.0;10;43;5;2;-11;-38;-18;-11;;-7;-3;-6;-8;85;-4;-2;35;25;15;9;5;-1;5;32;50;-31;-46;-67;-80;-50;-22;-5;5;5;-6;31;-21;-13;-13;-3;-7;-38;-23;35;6;9;-31;12;12;-26;-7;-35;30;84;41;23;31;-31;10;-40.0
DUS X HEI 06-02-2016;1;19;-22;-6;-5;-9;-12;-7;-15;-15;-4;-7;-3;-3;-2.0;4;-2;-2;-1;-2;4;-2;-29;33;13.0;16;8;-37;-22;-14.0;-15;-5.0;4;-18;30;16;9;-32;-17;-43;0.0;-2;0;5;7;-12;19;16;14;-20;-7;-5;10;8;11;11;-13;32;53;31;19;12;1;2;2;1;1;-18;-74;-12;-1;2;6;10;4;-4;2;7;9;4;8;36;22;44;22;13;-29;-52;-37;-1;-21;20.0
KAR X FSV 07-02-2016;-1;-33;-21;-13;-6;-8;5;-1;-5;-8;-30;5;-19;-11;-7.0;5;-6;-2;5;-6;-3;5;52;1;-1.0;-1;-1;5;1;1.0;-5;-7.0;-9;30;-5;6;1;1;1;1;40.0;1;34;14;7;22;-41;-17;-18;-6;-9;-28;-13;-8;-1;-1;22;-6;-34;-21;-13;-14;-83;-48;-9;-6;-4;12;-6;-2;75;46;26;10;10;5;-31;-42;-31;-25;-40;35;2;-6;5;3;-11;-6;5;-21;-31;0.0
RBL X EBR 07-02-2016;-1;7;5;-4;2;21;13;8;11;7;4;2;31;100;63.0;36;40;100;42;29;17;7;1;5;1.0;-1;74;43;94;50.0;29;11.0;6;2;-7;-4;5;-31;20;-1;70.0;9;-37;-64;-39;22;-44;-23;34;20;16;20;60;37;20;20;14;15;9;6;9;11;12;-39;-8;-9;-4;9;21;14;28;18;6;-34;-22;-24;-33;-13;6;-9;6;2;3;12;8;-4;6;4;7;4;25;45.0
FUR X STP 07-02-2016;6;-4;-1;-1;-4;-6;-2;-5;-2;-5;-2;84;-21;-2;1.0;1;1;2;1;1;45;57;56;34;20.0;17;7;7;-20;-73.0;-48;-33.0;-20;39;-10;46;26;21;28;-20;-20.0;-10;-4;52;35;24;33;-24;42;25;36;57;42;28;17;10;25;-9;-37;-21;-86;-59;-38;32;7;11;8;40;6;3;-4;-4;37;21;18;17;12;6;4;4;23;45;23;-29;-2;-1;-1;2;38;3;76;0.0
ARM X DUI 08-02-2016;6;-1;-6;-79;-16;31;13;8;16;3;1;2;10;6;24.0;90;54;32;19;85;50;25;6;15;15.0;59;40;25;10;6.0;-4;-2.0;1;-41;6;4;-5;-30;-17;-4;40.0;1;-1;-1;-5;-22;-3;-7;-4;-7;40;40;24;24;9;2;-9;-41;-28;-13;-12;-2;-6;-22;-13;-37;-33;-5;-24;-17;-15;-11;-36;-20;-11;-6;-13;6;-4;1;41;24;20;46;58;26;21;12;4;-1;-40;15.0
STP X RBL 12-02-2016;5;44;14;6;3;-4;-2;5;2;-6;-42;2;-30;-74;-44.0;-71;-39;-28;-8;-9;11;-20;-6;-13;16.0;-5;6;3;2;-10.0;-10;-66.0;-100;-2;-100;-56;-33;-10;1;2;-20.0;31;22;17;-11;-2;-1;5;4;6;-6;-6;-24;-15;-10;-1;-41;50;29;21;-41;-37;-56;-29;20;3;7;-5;46;11;-21;-14;-39;-26;-15;45;-31;5;5;-1;5;-5;-1;-1;-1;5;22;17;35;75;20;40.0
FSV X FUR 12-02-2016;-1;14;11;-77;-37;-23;-20;-13;-3;-3;-3;-4;-7;-5;-4.0;29;14;-32;-13;-9;19;15;-12;15;-77.0;-45;-34;-22;-19;-36.0;-21;-7.0;-4;-7;-2;-1;5;-6;-41;-24;;-14;15;-31;-12;-4;115;100;58;31;17;-2;-3;-38;-28;-17;-2;-6;-10;-4;39;20;10;5;2;-32;-20;6;-13;-8;-6;-2;-7;-10;-12;-3;19;9;-7;14;8;-6;-2;-7;-10;-7;-4;-3;25;-2;13;-5.0
