game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
SOU X BOU 2019-09-20;;True;504;penaltyNotAwarded;varDecision;False;{'name': 'Joshua King', 'slug': 'joshua-king', 'shortName': 'J. King', 'position': 'F', 'userCount': 1559, 'id': 100621};59
SOU X BOU 2019-09-20;;False;503;goalAwarded;varDecision;False;{'name': 'Joshua King', 'slug': 'joshua-king', 'shortName': 'J. King', 'position': 'F', 'userCount': 1559, 'id': 100621};26
ASV X BUR 2019-09-28;;False;596;goalAwarded;varDecision;True;{'name': 'John McGinn', 'slug': 'john-mcginn', 'shortName': 'J. McGinn', 'position': 'M', 'userCount': 1169, 'id': 250223};26
BOU X WES 2019-09-28;;False;595;goalNotAwarded;varDecision;True;{'name': 'Joshua King', 'slug': 'joshua-king', 'shortName': 'J. King', 'position': 'F', 'userCount': 1559, 'id': 100621};17
CHE X BHA 2019-09-28;;True;598;penaltyAwarded;varDecision;True;{'name': 'Mason Mount', 'slug': 'mason-mount', 'shortName': 'M. Mount', 'position': 'M', 'userCount': 11409, 'id': 836694};49
MUN X ARS 2019-09-30;;False;659;goalNotAwarded;varDecision;False;{'name': 'Pierre-Emerick Aubameyang', 'slug': 'pierre-emerick-aubameyang', 'shortName': 'P. Aubameyang', 'position': 'F', 'userCount': 40686, 'id': 51498};59
LIV X LEI 2019-10-05;3.0;True;691;penaltyAwarded;varDecision;True;{'name': 'Sadio Mané', 'slug': 'sadio-mane', 'shortName': 'S. Mané', 'position': 'F', 'userCount': 71444, 'id': 217704};90
LIV X LEI 2019-10-05;;True;685;cardUpgrade;varDecision;True;{'name': 'Trent Alexander-Arnold', 'slug': 'trent-alexander-arnold', 'shortName': 'T. Alexander-Arnold', 'position': 'D', 'userCount': 17168, 'id': 795064};37
NEW X MUN 2019-10-06;;True;717;cardUpgrade;varDecision;False;{'name': 'Scott McTominay', 'slug': 'scott-mctominay', 'shortName': 'S. McTominay', 'position': 'M', 'userCount': 4514, 'id': 879346};31
NOR X ASV 2019-10-05;1.0;True;719;cardUpgrade;varDecision;True;{'name': 'Emiliano Buendía', 'slug': 'emiliano-buendia', 'shortName': 'E. Buendía', 'position': 'M', 'userCount': 1528, 'id': 783126};90
WES X CRY 2019-10-05;;False;694;goalNotAwarded;varDecision;False;{'name': 'Jordan Ayew', 'slug': 'jordan-ayew', 'shortName': 'J. Ayew', 'position': 'F', 'userCount': 6567, 'id': 103045};88
ASV X BHA 2019-10-19;;True;787;penaltyNotAwarded;varDecision;True;{'name': 'John McGinn', 'slug': 'john-mcginn', 'shortName': 'J. McGinn', 'position': 'M', 'userCount': 1169, 'id': 250223};79
ASV X BHA 2019-10-19;;False;784;goalAwarded;varDecision;True;{'name': 'Conor Hourihane', 'slug': 'conor-hourihane', 'shortName': 'C. Hourihane', 'position': 'M', 'userCount': 305, 'id': 100574};43
CRY X MCI 2019-10-19;;True;795;penaltyNotAwarded;varDecision;False;{'name': 'Kevin De Bruyne', 'slug': 'kevin-de-bruyne', 'shortName': 'K. D. Bruyne', 'position': 'M', 'userCount': 59059, 'id': 70996};62
LEI X BUR 2019-10-19;;False;1084;goalAwarded;varDecision;True;{'name': 'Jonny Evans', 'slug': 'jonny-evans', 'shortName': 'J. Evans', 'position': 'D', 'userCount': 722, 'id': 30144};82
