game;accuratePass;aerialDuels;challengeLost;disabled;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
LEI X SUN 2015-08-08;23 (65%);2 (0);1;;0;1;2;1;;8 (5);47737;2;6;90';Marc Albrighton;False;;0;M;;8.9;;;M. Albrighton;0;1;1;leicester-city;LEI;31;Leicester City;0;1 (0);9 (4);10 (5);8 (2);23 (65%);2;61;3
LEI X SUN 2015-08-08;38 (82%);1 (1);;;2;0;1;;;8 (5);834;0;5;90';Adam Johnson;False;;0;M;;7.9;;;A. Johnson;0;1;0;sunderland;SUN;41;Sunderland;1;3 (2);5 (3);9 (6);9 (7);38 (82%);0;69;3
LEI X SUN 2015-08-08;42 (82%);3 (0);1;;0;0;;;;4 (3);54330;0;2;90';Danny Drinkwater;False;;1;M;;7.3;;;D. Drinkwater;0;0;1;leicester-city;LEI;31;Leicester City;1;0 (0);1 (0);7 (3);8 (7);42 (82%);3;63;0
LEI X SUN 2015-08-08;14 (70%);8 (4);;;1;3;;1;;10 (3);173827;0;3;82';Jamie Vardy;False;;0;F;;7.2;;;J. Vardy;0;2;3;leicester-city;LEI;31;Leicester City;0;4 (1);3 (1);18 (7);0 (0);14 (70%);0;37;2
LEI X SUN 2015-08-08;14 (73%);3 (1);;;1;1;;1;;5 (2);946;0;1;90';Jermain Defoe;False;1;0;F;;7.2;;;J. Defoe;1;0;2;sunderland;SUN;41;Sunderland;0;1 (0);1 (0);8 (3);0 (0);14 (73%);0;31;2
LEI X SUN 2015-08-08;10 (55%);7 (5);;;2;1;;1;;5 (2);9216;1;0;60';Steven Fletcher;False;;0;M;;7.1;;;S. Fletcher;0;2;1;sunderland;SUN;41;Sunderland;1;0 (0);3 (0);12 (7);1 (0);10 (55%);1;35;1
LEI X SUN 2015-08-08;34 (85%);3 (2);;;0;0;;;;4 (4);524;1;1;90';Sebastian Larsson;False;;0;M;;7.1;;;S. Larsson;1;0;0;sunderland;SUN;41;Sunderland;0;1 (1);4 (2);7 (6);4 (2);34 (85%);2;55;1
LEI X SUN 2015-08-08;11 (84%);0 (0);;;1;0;;;;4 (3);50826;0;1;36';Adam Matthews;False;;0;D;;6.9;;;A. Matthews;0;0;0;sunderland;SUN;41;Sunderland;1;1 (1);2 (1);4 (3);0 (0);11 (84%);2;25;0
LEI X SUN 2015-08-08;22 (88%);9 (4);1;;7;1;;;;17 (7);19303;2;2;90';Shinji Okazaki;False;;0;F;;6.9;;;S. Okazaki;2;0;0;leicester-city;LEI;31;Leicester City;0;2 (1);0 (0);26 (11);0 (0);22 (88%);2;51;4
LEI X SUN 2015-08-08;30 (78%);6 (3);;;1;2;;;;4 (2);30530;4;0;90';Andy King;False;;0;M;;6.8;;;A. King;0;2;0;leicester-city;LEI;31;Leicester City;3;0 (0);0 (0);10 (5);6 (4);30 (78%);2;50;0
