game;addedTime;assist1;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;playerName;time
SPO X JOI 23-05-2015;;{'name': 'Bruno', 'slug': 'bruno', 'shortName': 'Bruno', 'position': 'D', 'userCount': 83, 'id': 220309};0;1;118383023;regular;goal;True;{'name': 'Dória', 'slug': 'doria', 'shortName': 'Dória', 'position': 'D', 'userCount': 103, 'id': 243155};;11
VAS X INT 23-05-2015;;;1;1;118383046;regular;goal;True;{'name': 'Lucas', 'slug': 'lucas', 'shortName': 'Lucas', 'position': 'M', 'userCount': 5, 'id': 794847};;81
VAS X INT 23-05-2015;1.0;{'name': 'Nílton', 'slug': 'nilton', 'shortName': 'Nílton', 'position': 'M', 'userCount': 66, 'id': 185231};1;0;118383030;regular;goal;False;{'name': 'Nilmar', 'slug': 'nilmar', 'shortName': 'Nilmar', 'position': 'F', 'userCount': 32, 'id': 3311};;45
GRE X FIG 24-05-2015;;{'name': 'Marcelo Oliveira', 'slug': 'marcelo-oliveira', 'shortName': 'M. Oliveira', 'position': 'D', 'userCount': 64, 'id': 123139};0;1;118383199;regular;goal;True;{'name': 'Braian Rodriguez', 'slug': 'braian-rodriguez', 'shortName': 'B. Rodriguez', 'position': 'F', 'userCount': 19, 'id': 122672};;79
PAL X GOI 24-05-2015;;{'name': 'Bruno Henrique', 'slug': 'bruno-henrique', 'shortName': 'B. Henrique', 'position': 'M', 'userCount': 8861, 'id': 795291};1;0;118385150;regular;goal;False;{'name': 'Pericles', 'slug': 'pericles', 'shortName': 'Pericles', 'position': 'M', 'userCount': 3, 'id': 795300};;76
CAP X CAM 24-05-2015;;{'name': 'Nikão', 'slug': 'nikao', 'shortName': 'Nikão', 'position': 'M', 'userCount': 292, 'id': 139300};0;1;118386862;regular;goal;True;{'name': 'Douglas Coutinho', 'slug': 'douglas-coutinho', 'shortName': 'D. Coutinho', 'position': 'M', 'userCount': 31, 'id': 329031};;40
AVA X FLA 24-05-2015;;;1;2;118386996;regular;goal;True;{'name': 'Hugo', 'slug': 'hugo', 'shortName': 'Hugo', 'position': 'M', 'userCount': 18, 'id': 331407};;62
AVA X FLA 24-05-2015;;;1;1;118386971;regular;goal;False;{'name': 'Gabriel', 'slug': 'gabriel', 'shortName': 'Gabriel', 'position': 'M', 'userCount': 120, 'id': 243459};;51
AVA X FLA 24-05-2015;;;0;1;118386955;regular;goal;True;{'name': 'Hugo', 'slug': 'hugo', 'shortName': 'Hugo', 'position': 'M', 'userCount': 18, 'id': 331407};;47
CHA X SAN 24-05-2015;;;0;1;118386805;regular;goal;True;{'name': 'Apodi', 'slug': 'apodi', 'shortName': 'Apodi', 'position': 'M', 'userCount': 124, 'id': 33119};;21
CRU X PON 24-05-2015;;;1;1;118387052;regular;goal;False;{'name': 'Biro Biro', 'slug': 'biro-biro', 'shortName': 'B. Biro', 'position': 'F', 'userCount': 81, 'id': 295163};;85
CRU X PON 24-05-2015;;;0;1;118387048;regular;goal;True;{'name': 'Charles', 'slug': 'charles', 'shortName': 'Charles', 'position': 'M', 'userCount': 43, 'id': 33109};;82
SPT X CFC 24-05-2015;;{'name': 'Régis', 'slug': 'regis', 'shortName': 'Régis', 'position': 'M', 'userCount': 177, 'id': 335365};0;1;118387027;regular;goal;True;{'name': 'Neto Moura', 'slug': 'neto-moura', 'shortName': 'N. Moura', 'position': 'M', 'userCount': 75, 'id': 559034};;28
CFC X AVA 30-05-2015;;;2;1;118404008;regular;goal;False;{'name': 'Roberto César', 'slug': 'roberto-cesar', 'shortName': 'R. César', 'position': 'M', 'userCount': 14, 'id': 125031};;79
CFC X AVA 30-05-2015;;;1;1;118404003;regular;goal;True;{'name': 'Paulinho', 'slug': 'paulinho', 'shortName': 'Paulinho', 'position': 'M', 'userCount': 15, 'id': 341145};;50
CFC X AVA 30-05-2015;;;1;0;118403988;regular;goal;False;{'name': 'Anderson Lopes', 'slug': 'anderson-lopes', 'shortName': 'A. Lopes', 'position': 'F', 'userCount': 71, 'id': 795017};;1
PON X CHA 30-05-2015;2.0;;1;3;118404012;regular;goal;True;{'name': 'Renato Cajá', 'slug': 'renato-caja', 'shortName': 'R. Cajá', 'position': 'M', 'userCount': 49, 'id': 247507};;90
PON X CHA 30-05-2015;;;1;2;118404010;regular;goal;False;{'name': 'Gil', 'slug': 'gil', 'shortName': 'Gil', 'position': 'M', 'userCount': 7, 'id': 243245};;89
PON X CHA 30-05-2015;;;0;2;118404002;regular;goal;True;{'name': 'Biro Biro', 'slug': 'biro-biro', 'shortName': 'B. Biro', 'position': 'F', 'userCount': 81, 'id': 295163};;48
PON X CHA 30-05-2015;;{'name': 'Renato Cajá', 'slug': 'renato-caja', 'shortName': 'R. Cajá', 'position': 'M', 'userCount': 49, 'id': 247507};0;1;118403989;regular;goal;True;{'name': 'Tiago Alves', 'slug': 'tiago-alves', 'shortName': 'T. Alves', 'position': 'D', 'userCount': 58, 'id': 243275};;6
JOI X CAP 31-05-2015;;;2;1;118404058;regular;goal;True;{'name': 'Rafael Costa', 'slug': 'rafael-costa', 'shortName': 'Rafael', 'position': 'F', 'userCount': 42, 'id': 540232};;66
JOI X CAP 31-05-2015;;{'name': 'Cleo', 'slug': 'cleo', 'shortName': 'Cleo', 'position': 'F', 'userCount': 73, 'id': 49780};2;0;118404039;regular;goal;False;{'name': 'Douglas Coutinho', 'slug': 'douglas-coutinho', 'shortName': 'D. Coutinho', 'position': 'M', 'userCount': 31, 'id': 329031};;33
JOI X CAP 31-05-2015;;;1;0;118404038;regular;goal;False;{'name': 'Nikão', 'slug': 'nikao', 'shortName': 'Nikão', 'position': 'M', 'userCount': 292, 'id': 139300};;30
SAN X SPT 31-05-2015;2.0;;2;2;118405727;regular;goal;False;{'name': 'Samuel Xavier', 'slug': 'samuel-xavier', 'shortName': 'S. Xavier', 'position': 'D', 'userCount': 125, 'id': 795773};;90
SAN X SPT 31-05-2015;;;1;2;118405535;regular;goal;True;{'name': 'Werley', 'slug': 'werley', 'shortName': 'Werley', 'position': 'D', 'userCount': 60, 'id': 123212};;70
SAN X SPT 31-05-2015;;{'name': 'Rithely', 'slug': 'rithely', 'shortName': 'Rithely', 'position': 'M', 'userCount': 87, 'id': 123335};1;1;118405385;regular;goal;False;{'name': 'Joelinton', 'slug': 'joelinton', 'shortName': 'Joelinton', 'position': 'F', 'userCount': 2614, 'id': 560128};;51
SAN X SPT 31-05-2015;;;0;1;118405255;regular;goal;True;{'name': 'Robinho', 'slug': 'robinho', 'shortName': 'Robinho', 'position': 'F', 'userCount': 1878, 'id': 11813};;43
CAM X VAS 31-05-2015;;;0;3;118407351;regular;goal;True;{'name': 'Thiago Ribeiro', 'slug': 'thiago-ribeiro', 'shortName': 'T. Ribeiro', 'position': 'F', 'userCount': 53, 'id': 47745};;44
CAM X VAS 31-05-2015;;;0;2;118407154;regular;goal;True;{'name': 'Jesús Dátolo', 'slug': 'jesus-datolo', 'shortName': 'J. Dátolo', 'position': 'M', 'userCount': 63, 'id': 31975};;20
CAM X VAS 31-05-2015;;;0;1;118407114;regular;goal;True;{'name': 'Thiago Ribeiro', 'slug': 'thiago-ribeiro', 'shortName': 'T. Ribeiro', 'position': 'F', 'userCount': 53, 'id': 47745};;12
COR X PAL 31-05-2015;1.0;{'name': 'Jorge Valdivia', 'slug': 'jorge-valdivia', 'shortName': 'J. Valdivia', 'position': 'M', 'userCount': 466, 'id': 11432};2;0;118407386;regular;goal;False;{'name': 'Zé Roberto', 'slug': 'ze-roberto', 'shortName': 'Z. Roberto', 'position': 'M', 'userCount': 78, 'id': 316};;45
COR X PAL 31-05-2015;;{'name': 'Kelvin', 'slug': 'kelvin', 'shortName': 'Kelvin', 'position': 'M', 'userCount': 232, 'id': 147650};1;0;118407246;regular;goal;False;{'name': 'Rafael Marques', 'slug': 'rafael-marques', 'shortName': 'R. Marques', 'position': 'F', 'userCount': 86, 'id': 60254};;25
GOI X GRE 31-05-2015;;;1;1;118407433;regular;goal;True;{'name': 'Rodrigo', 'slug': 'rodrigo', 'shortName': 'Rodrigo', 'position': 'M', 'userCount': 11, 'id': 557000};;53
GOI X GRE 31-05-2015;;;1;0;118407311;regular;goal;False;{'name': 'Giuliano', 'slug': 'giuliano', 'shortName': 'Giuliano', 'position': 'M', 'userCount': 813, 'id': 90862};;36
FIG X CRU 31-05-2015;;{'name': 'Marquinhos', 'slug': 'marquinhos', 'shortName': 'Marquinhos', 'position': 'D', 'userCount': 39, 'id': 43655};1;2;118407539;regular;goal;True;{'name': 'Carlos Alberto', 'slug': 'carlos-alberto', 'shortName': 'C. Alberto', 'position': 'M', 'userCount': 14, 'id': 26271};;50
FIG X CRU 31-05-2015;;{'name': 'Marquinhos', 'slug': 'marquinhos', 'shortName': 'Marquinhos', 'position': 'M', 'userCount': 29, 'id': 47010};1;1;118407525;regular;goal;False;{'name': 'Henrique', 'slug': 'henrique', 'shortName': 'Henrique', 'position': 'M', 'userCount': 140, 'id': 33117};;41
FIG X CRU 31-05-2015;;;0;1;118407524;regular;goal;True;{'name': 'Marquinhos', 'slug': 'marquinhos', 'shortName': 'Marquinhos', 'position': 'D', 'userCount': 39, 'id': 43655};;36
FLA X FLU 31-05-2015;;{'name': 'Marcelo Cirino', 'slug': 'marcelo-cirino', 'shortName': 'M. Cirino', 'position': 'F', 'userCount': 218, 'id': 329027};3;2;118407569;regular;goal;True;{'name': 'Eduardo Da Silva', 'slug': 'eduardo-da-silva', 'shortName': 'E. D. Silva', 'position': 'F', 'userCount': 273, 'id': 585700};;86
FLA X FLU 31-05-2015;;{'name': 'Gerson', 'slug': 'gerson', 'shortName': 'Gerson', 'position': 'M', 'userCount': 3987, 'id': 611876};3;1;118407528;regular;goal;False;{'name': 'Fred', 'slug': 'fred', 'shortName': 'Fred', 'position': 'F', 'userCount': 982, 'id': 12764};;46
FLA X FLU 31-05-2015;;{'name': 'Pablo Armero', 'slug': 'pablo-armero', 'shortName': 'P. Armero', 'position': 'D', 'userCount': 204, 'id': 37185};2;1;118407523;regular;goal;True;{'name': 'Alecsandro', 'slug': 'alecsandro', 'shortName': 'Alecsandro', 'position': 'F', 'userCount': 84, 'id': 17742};;37
FLA X FLU 31-05-2015;;;2;0;118407522;ownGoal;goal;False;{'name': 'Pará', 'slug': 'para', 'shortName': 'Pará', 'position': 'D', 'userCount': 280, 'id': 124982};;33
FLA X FLU 31-05-2015;;;1;0;118407519;penalty;goal;False;{'name': 'Fred', 'slug': 'fred', 'shortName': 'Fred', 'position': 'F', 'userCount': 982, 'id': 12764};;8
CAP X FIG 03-06-2015;;;0;1;118412501;regular;goal;True;{'name': 'Nikão', 'slug': 'nikao', 'shortName': 'Nikão', 'position': 'M', 'userCount': 292, 'id': 139300};;19
CHA X JOI 03-06-2015;;;0;2;118412502;regular;goal;True;{'name': 'Bruno Silva', 'slug': 'bruno-silva', 'shortName': 'B. Silva', 'position': 'M', 'userCount': 79, 'id': 125235};;29
CHA X JOI 03-06-2015;;;0;1;118412500;regular;goal;True;{'name': 'Ananias', 'slug': 'ananias', 'shortName': 'Ananias', 'position': 'M', 'userCount': 6, 'id': 243237};;11
VAS X PON 03-06-2015;;{'name': 'Renato Cajá', 'slug': 'renato-caja', 'shortName': 'R. Cajá', 'position': 'M', 'userCount': 49, 'id': 247507};3;0;118412509;regular;goal;False;{'name': 'Borges', 'slug': 'borges', 'shortName': 'Borges', 'position': 'F', 'userCount': 7, 'id': 34338};;78
VAS X PON 03-06-2015;;{'name': 'Felipe Azevedo', 'slug': 'felipe-azevedo', 'shortName': 'F. Azevedo', 'position': 'M', 'userCount': 23, 'id': 166471};2;0;118412504;regular;goal;False;{'name': 'Tiago Alves', 'slug': 'tiago-alves', 'shortName': 'T. Alves', 'position': 'D', 'userCount': 58, 'id': 243275};;39
VAS X PON 03-06-2015;;{'name': 'Renato Cajá', 'slug': 'renato-caja', 'shortName': 'R. Cajá', 'position': 'M', 'userCount': 49, 'id': 247507};1;0;118412499;regular;goal;False;{'name': 'Diego Oliveira', 'slug': 'diego-oliveira', 'shortName': 'D. Oliveira', 'position': 'F', 'userCount': 113, 'id': 243473};;1
SPO X SAN 04-06-2015;;;2;3;118412590;penalty;goal;True;{'name': 'Rogério Ceni', 'slug': 'rogerio-ceni', 'shortName': 'R. Ceni', 'position': 'G', 'userCount': 225, 'id': 15469};;85
SPO X SAN 04-06-2015;;;2;2;118412563;regular;goal;True;{'name': 'Paulo Miranda', 'slug': 'paulo-miranda', 'shortName': 'P. Miranda', 'position': 'D', 'userCount': 112, 'id': 43299};;50
SPO X SAN 04-06-2015;;;2;1;118412556;regular;goal;False;{'name': 'Ricardo Oliveira', 'slug': 'ricardo-oliveira', 'shortName': 'R. Oliveira', 'position': 'F', 'userCount': 507, 'id': 2099};;47
SPO X SAN 04-06-2015;1.0;;1;1;118412538;regular;goal;False;{'name': 'Ricardo Oliveira', 'slug': 'ricardo-oliveira', 'shortName': 'R. Oliveira', 'position': 'F', 'userCount': 507, 'id': 2099};;45
SPO X SAN 04-06-2015;;;0;1;118412519;regular;goal;True;{'name': 'Michel Bastos', 'slug': 'michel-bastos', 'shortName': 'M. Bastos', 'position': 'M', 'userCount': 208, 'id': 16543};;34
AVA X CAM 04-06-2015;;{'name': 'Maicosuel', 'slug': 'maicosuel', 'shortName': 'Maicosuel', 'position': 'M', 'userCount': 74, 'id': 33130};4;1;118412617;regular;goal;False;{'name': 'Carlos da Silva Junior', 'slug': 'carlos-da-silva-junior', 'shortName': 'Carlos', 'position': 'M', 'userCount': 89, 'id': 555624};;77
AVA X CAM 04-06-2015;;;3;1;118412616;regular;goal;True;{'name': 'André Lima', 'slug': 'andre-lima', 'shortName': 'A. Lima', 'position': 'F', 'userCount': 32, 'id': 28272};;74
AVA X CAM 04-06-2015;;{'name': 'Patric', 'slug': 'patric', 'shortName': 'Patric', 'position': 'D', 'userCount': 96, 'id': 78853};3;0;118412614;regular;goal;False;{'name': 'Lucas Pratto', 'slug': 'lucas-pratto', 'shortName': 'L. Pratto', 'position': 'F', 'userCount': 666, 'id': 39244};;68
AVA X CAM 04-06-2015;;;2;0;118412566;ownGoal;goal;False;{'name': 'Antônio Carlos', 'slug': 'antonio-carlos', 'shortName': 'A. Carlos', 'position': 'D', 'userCount': 208, 'id': 242209};;24
AVA X CAM 04-06-2015;;;1;0;118412560;regular;goal;False;{'name': 'Carlos da Silva Junior', 'slug': 'carlos-da-silva-junior', 'shortName': 'Carlos', 'position': 'M', 'userCount': 89, 'id': 555624};;13
