game;away_score;data;form_minute_-11;form_minute_-13;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CFC X GRE 16-05-2015;;;;;3.0;-4.0;-5.0;-1.0;-4.0;8.0;-3.0;2.0;8.0;7.0;36.0;3.0;23.0;21.0;14.0;15.0;9.0;37.0;23.0;16.0;81.0;46.0;4.0;17.0;7.0;-8.0;-9.0;73.0;38.0;20.0;5.0;5.0;-4.0;9.0;-9.0;-12.0;-9.0;-68.0;-100.0;-8.0;-20.0;-6.0;-6.0;-6.0;-11.0;7.0;-8.0;-2.0;-43.0;40.0;9.0;-10.0;-2.0;1.0;10.0;4.0;1.0;8.0;5.0;33.0;23.0;9.0;25.0;14.0;1.0;0.0;-15.0;3.0;-9.0;-5.0;-43.0;-25.0;-19.0;-41.0;-24.0;-16.0;-19.0;-31.0;8.0;-16.0;-14.0;-8.0;-4.0;-1.0;-5.0;-2.0;-21.0;-17.0;-10.0;-8.0;-5.0;0.0;;;;;
GOI X CAP 16-05-2015;;;;;-1.0;-2.0;-1.0;5.0;17.0;4.0;-6.0;-31.0;-18.0;-51.0;-29.0;-1.0;-15.0;31.0;44.0;25.0;-40.0;-23.0;-10.0;-7.0;-8.0;-1.0;-1.0;6.0;4.0;9.0;7.0;15.0;10.0;12.0;3.0;3.0;7.0;5.0;5.0;19.0;13.0;13.0;29.0;23.0;20.0;74.0;36.0;-37.0;-35.0;2.0;-23.0;-25.0;-16.0;44.0;32.0;100.0;74.0;47.0;28.0;15.0;-21.0;35.0;24.0;-27.0;-8.0;-1.0;-29.0;-14.0;-2.0;29.0;14.0;-6.0;19.0;59.0;68.0;42.0;23.0;9.0;-10.0;6.0;1.0;1.0;-4.0;1.0;77.0;46.0;-30.0;1.0;1.0;-24.0;-13.0;-5.0;16.0;-3.0;1.0;-40.0;;;;;
COR X CHA 17-05-2015;;;;;-5.0;62.0;57.0;34.0;12.0;-5.0;5.0;0.0;-25.0;-14.0;-8.0;-2.0;-5.0;-8.0;-42.0;-70.0;-41.0;70.0;27.0;24.0;57.0;100.0;-1.0;59.0;-40.0;5.0;10.0;20.0;-40.0;-13.0;-13.0;-8.0;-6.0;-6.0;-1.0;0.0;-10.0;5.0;0.0;-5.0;10.0;5.0;0.0;5.0;-5.0;-3.0;-31.0;-23.0;-19.0;-11.0;-11.0;-9.0;5.0;5.0;33.0;20.0;-1.0;7.0;-5.0;-30.0;-20.0;-12.0;20.0;3.0;-10.0;-3.0;-2.0;60.0;-2.0;-1.0;0.0;5.0;-5.0;-6.0;-3.0;-2.0;30.0;47.0;75.0;28.0;21.0;13.0;-10.0;-4.0;-2.0;-7.0;-4.0;5.0;6.0;100.0;4.0;-45.0;;;;;
FIG X VAS 17-05-2015;;;;;-6.0;39.0;23.0;-35.0;-10.0;-10.0;-6.0;-8.0;-2.0;1.0;-5.0;-42.0;-2.0;11.0;5.0;3.0;8.0;25.0;44.0;31.0;-21.0;-1.0;-24.0;-2.0;-53.0;-12.0;25.0;6.0;8.0;-41.0;-80.0;-54.0;-32.0;-34.0;-64.0;-55.0;-68.0;-35.0;-11.0;-1.0;45.0;-1.0;2.0;7.0;5.0;36.0;-19.0;-12.0;-6.0;-2.0;2.0;-29.0;42.0;66.0;35.0;32.0;9.0;22.0;11.0;4.0;-9.0;-2.0;7.0;3.0;3.0;14.0;9.0;-25.0;36.0;22.0;13.0;7.0;35.0;24.0;9.0;16.0;10.0;4.0;-9.0;2.0;2.0;-5.0;-1.0;1.0;-29.0;21.0;32.0;19.0;17.0;66.0;13.0;-75.0;;;;;
CAM X FLU 17-05-2015;;;;;1.0;25.0;10.0;6.0;1.0;1.0;1.0;10.0;6.0;-10.0;46.0;1.0;69.0;35.0;21.0;63.0;34.0;12.0;2.0;-2.0;9.0;1.0;1.0;9.0;9.0;49.0;67.0;43.0;59.0;38.0;28.0;91.0;56.0;1.0;38.0;20.0;13.0;-3.0;33.0;100.0;15.0;3.0;-23.0;-14.0;-7.0;11.0;-7.0;7.0;54.0;100.0;66.0;41.0;25.0;43.0;16.0;11.0;7.0;13.0;14.0;7.0;1.0;-4.0;2.0;17.0;11.0;-29.0;-50.0;100.0;-33.0;-19.0;-10.0;-2.0;3.0;8.0;6.0;40.0;25.0;16.0;72.0;6.0;-29.0;77.0;31.0;14.0;10.0;9.0;1.0;2.0;-74.0;43.0;-41.0;0.0;;;;;
FLA X SPT 17-05-2015;;;;;2.0;9.0;14.0;11.0;9.0;48.0;30.0;20.0;19.0;14.0;63.0;52.0;30.0;20.0;14.0;6.0;3.0;9.0;-38.0;-16.0;-6.0;-1.0;32.0;3.0;51.0;38.0;-48.0;-7.0;-6.0;-4.0;3.0;-28.0;-12.0;21.0;23.0;12.0;9.0;70.0;44.0;-38.0;-80.0;7.0;5.0;5.0;5.0;9.0;24.0;16.0;11.0;8.0;61.0;66.0;41.0;31.0;25.0;12.0;1.0;-19.0;-36.0;-5.0;-1.0;2.0;3.0;46.0;42.0;-39.0;-80.0;-1.0;-46.0;37.0;-49.0;-22.0;82.0;50.0;34.0;25.0;37.0;47.0;2.0;59.0;36.0;23.0;14.0;50.0;31.0;22.0;17.0;14.0;9.0;3.0;5.0;90.0;;;;;
SAN X CRU 17-05-2015;;;;;-1.0;13.0;4.0;37.0;20.0;6.0;-5.0;1.0;6.0;1.0;-5.0;16.0;-6.0;-4.0;-17.0;-20.0;-7.0;30.0;14.0;74.0;49.0;28.0;8.0;14.0;13.0;2.0;5.0;3.0;1.0;20.0;6.0;3.0;-6.0;5.0;-2.0;-8.0;-9.0;-6.0;25.0;87.0;100.0;-31.0;-18.0;-17.0;-11.0;33.0;-12.0;-66.0;-45.0;-32.0;30.0;-6.0;8.0;9.0;30.0;-31.0;-20.0;-9.0;-11.0;-38.0;-25.0;-13.0;16.0;10.0;3.0;52.0;31.0;-1.0;22.0;13.0;13.0;34.0;35.0;21.0;17.0;15.0;32.0;18.0;21.0;-30.0;-16.0;-9.0;-12.0;11.0;4.0;3.0;-10.0;-44.0;86.0;26.0;29.0;15.0;;;;;
INT X AVA 17-05-2015;;;;;3.0;15.0;39.0;29.0;48.0;9.0;1.0;2.0;2.0;7.0;5.0;9.0;4.0;3.0;8.0;-4.0;6.0;10.0;19.0;9.0;-62.0;-34.0;38.0;-17.0;29.0;-12.0;2.0;-2.0;-2.0;-20.0;-32.0;-16.0;-11.0;85.0;-3.0;14.0;17.0;13.0;6.0;1.0;-35.0;-7.0;34.0;20.0;20.0;53.0;-27.0;-5.0;34.0;19.0;14.0;13.0;-37.0;-16.0;-1.0;9.0;39.0;-5.0;-5.0;1.0;6.0;78.0;42.0;-40.0;-6.0;-8.0;-9.0;24.0;-4.0;11.0;2.0;7.0;-40.0;-34.0;-25.0;-13.0;-12.0;-3.0;18.0;2.0;7.0;5.0;20.0;8.0;1.0;12.0;8.0;-4.0;2.0;7.0;37.0;35.0;;;;;
JOI X PAL 17-05-2015;;;;;-1.0;4.0;1.0;-2.0;-3.0;-7.0;-5.0;-14.0;-9.0;-35.0;-25.0;-26.0;-15.0;-8.0;-4.0;-5.0;-3.0;-1.0;-1.0;-1.0;-5.0;-33.0;-16.0;-19.0;-11.0;-2.0;-1.0;1.0;-21.0;-11.0;-17.0;-10.0;-36.0;-15.0;-20.0;-11.0;10.0;-6.0;-6.0;-7.0;-15.0;8.0;52.0;34.0;13.0;-10.0;20.0;19.0;6.0;1.0;14.0;-28.0;32.0;3.0;-4.0;7.0;-7.0;6.0;-4.0;2.0;-39.0;-20.0;42.0;19.0;18.0;15.0;10.0;4.0;5.0;4.0;4.0;29.0;-29.0;-39.0;-22.0;-11.0;-7.0;-30.0;29.0;-8.0;7.0;-4.0;-19.0;-7.0;-3.0;-30.0;22.0;10.0;12.0;17.0;8.0;-75.0;;;;;
PON X SPO 17-05-2015;;;;;1.0;10.0;11.0;27.0;21.0;13.0;82.0;49.0;8.0;-20.0;26.0;5.0;-30.0;-14.0;-6.0;-2.0;21.0;7.0;70.0;47.0;28.0;16.0;3.0;51.0;26.0;16.0;5.0;-25.0;-14.0;-7.0;6.0;1.0;-40.0;2.0;41.0;12.0;2.0;2.0;5.0;-5.0;15.0;-1.0;2.0;6.0;9.0;1.0;-34.0;-10.0;-4.0;-7.0;7.0;4.0;23.0;15.0;-29.0;42.0;1.0;18.0;60.0;37.0;60.0;34.0;11.0;4.0;3.0;2.0;1.0;1.0;37.0;22.0;34.0;16.0;15.0;7.0;-5.0;11.0;6.0;4.0;1.0;-5.0;31.0;-30.0;-6.0;-3.0;1.0;6.0;4.0;-20.0;-4.0;1.0;-1.0;25.0;;;;;
SPO X JOI 23-05-2015;;;;;3.0;1.0;60.0;100.0;66.0;40.0;54.0;23.0;3.0;-5.0;-1.0;9.0;-32.0;-18.0;-5.0;-2.0;-5.0;-5.0;-3.0;6.0;4.0;1.0;-27.0;-2.0;-2.0;30.0;15.0;48.0;28.0;21.0;30.0;52.0;27.0;33.0;15.0;13.0;6.0;5.0;-6.0;-5.0;5.0;-11.0;31.0;15.0;9.0;15.0;37.0;23.0;12.0;8.0;5.0;2.0;12.0;12.0;48.0;100.0;16.0;58.0;34.0;21.0;10.0;6.0;4.0;34.0;12.0;9.0;11.0;12.0;8.0;9.0;8.0;6.0;5.0;24.0;16.0;-39.0;-20.0;42.0;7.0;57.0;56.0;43.0;27.0;35.0;19.0;86.0;52.0;28.0;-34.0;2.0;-13.0;0.0;;;;;
VAS X INT 23-05-2015;;;;;10.0;23.0;9.0;15.0;14.0;6.0;24.0;10.0;35.0;31.0;24.0;9.0;13.0;28.0;20.0;11.0;7.0;-5.0;-1.0;1.0;-19.0;31.0;15.0;11.0;29.0;15.0;3.0;-2.0;-13.0;-11.0;38.0;46.0;56.0;13.0;32.0;12.0;-13.0;-38.0;-22.0;-20.0;-75.0;-3.0;2.0;2.0;13.0;12.0;15.0;11.0;8.0;6.0;25.0;16.0;6.0;5.0;-3.0;-4.0;6.0;22.0;8.0;1.0;3.0;4.0;-8.0;7.0;-28.0;-13.0;22.0;7.0;12.0;40.0;29.0;80.0;49.0;37.0;18.0;3.0;4.0;3.0;14.0;4.0;41.0;88.0;60.0;44.0;34.0;45.0;26.0;18.0;23.0;38.0;4.0;-35.0;;;;;
GRE X FIG 24-05-2015;;;;;1.0;53.0;32.0;20.0;13.0;7.0;12.0;8.0;5.0;-4.0;2.0;1.0;2.0;-9.0;-4.0;7.0;43.0;46.0;54.0;53.0;32.0;17.0;-4.0;-19.0;-2.0;-1.0;12.0;11.0;38.0;22.0;3.0;6.0;-5.0;2.0;-2.0;-11.0;6.0;6.0;-5.0;-20.0;0.0;6.0;4.0;4.0;8.0;2.0;56.0;44.0;32.0;20.0;-39.0;-18.0;-20.0;-1.0;12.0;10.0;1.0;2.0;8.0;5.0;3.0;28.0;18.0;51.0;72.0;64.0;12.0;6.0;3.0;1.0;11.0;4.0;55.0;34.0;36.0;21.0;18.0;83.0;-4.0;50.0;69.0;37.0;-29.0;11.0;1.0;-1.0;1.0;38.0;13.0;21.0;-4.0;5.0;;;;;
PAL X GOI 24-05-2015;;;;;1.0;6.0;52.0;26.0;-40.0;-23.0;-13.0;-11.0;-15.0;-5.0;-2.0;1.0;6.0;43.0;31.0;19.0;7.0;25.0;12.0;48.0;59.0;36.0;1.0;21.0;13.0;11.0;10.0;-9.0;1.0;1.0;41.0;24.0;6.0;-5.0;-34.0;-17.0;-12.0;-26.0;-53.0;21.0;20.0;13.0;9.0;12.0;8.0;6.0;10.0;12.0;33.0;21.0;24.0;20.0;13.0;7.0;25.0;11.0;7.0;-29.0;-6.0;7.0;1.0;10.0;3.0;2.0;6.0;3.0;-25.0;5.0;-12.0;-7.0;56.0;35.0;28.0;-35.0;-85.0;-54.0;-12.0;66.0;3.0;37.0;28.0;61.0;40.0;19.0;72.0;3.0;-21.0;-12.0;21.0;-5.0;51.0;65.0;;;;;
CAP X CAM 24-05-2015;;;;;6.0;-7.0;-11.0;-48.0;-60.0;-37.0;-23.0;-10.0;-4.0;-2.0;-2.0;6.0;-8.0;29.0;12.0;-37.0;-23.0;-15.0;-12.0;-9.0;-34.0;-21.0;2.0;-34.0;-17.0;-12.0;-27.0;78.0;31.0;1.0;-3.0;18.0;8.0;-2.0;78.0;40.0;-43.0;38.0;13.0;-8.0;-5.0;3.0;-8.0;-5.0;-5.0;-91.0;-5.0;-10.0;-37.0;-16.0;11.0;1.0;-40.0;-20.0;21.0;-30.0;-56.0;-15.0;-10.0;-6.0;6.0;-30.0;-16.0;-28.0;-21.0;-33.0;-17.0;-30.0;-14.0;-17.0;-44.0;-24.0;-40.0;-25.0;-15.0;-7.0;29.0;15.0;-19.0;7.0;-22.0;-10.0;-9.0;-6.0;39.0;21.0;6.0;-17.0;-3.0;-13.0;-6.0;-80.0;;;;;
AVA X FLA 24-05-2015;;;;;-6.0;-4.0;-6.0;-4.0;25.0;13.0;57.0;33.0;24.0;12.0;7.0;-9.0;-1.0;24.0;13.0;2.0;-6.0;5.0;-1.0;5.0;2.0;6.0;-11.0;3.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-5.0;-3.0;-7.0;-6.0;-8.0;-4.0;21.0;56.0;34.0;-45.0;11.0;81.0;48.0;29.0;4.0;57.0;-95.0;-42.0;-29.0;-12.0;-10.0;1.0;1.0;5.0;8.0;-31.0;4.0;23.0;88.0;52.0;30.0;23.0;2.0;-3.0;-2.0;-16.0;-19.0;-9.0;-5.0;6.0;-5.0;1.0;6.0;2.0;6.0;4.0;-10.0;-21.0;-4.0;-8.0;-5.0;40.0;22.0;43.0;25.0;-31.0;-11.0;15.0;-14.0;27.0;-95.0;;;;;
CHA X SAN 24-05-2015;;;;;0.0;-9.0;30.0;20.0;14.0;8.0;4.0;5.0;47.0;98.0;58.0;30.0;29.0;22.0;84.0;45.0;26.0;16.0;9.0;0.0;-20.0;-11.0;22.0;-47.0;-37.0;-12.0;-5.0;-3.0;-10.0;-44.0;-57.0;-34.0;-15.0;8.0;-8.0;-1.0;11.0;6.0;43.0;-30.0;5.0;-17.0;-30.0;-8.0;-4.0;40.0;5.0;12.0;8.0;4.0;-40.0;-52.0;-51.0;-30.0;-18.0;-2.0;23.0;-30.0;-16.0;-4.0;-7.0;-9.0;5.0;-40.0;-28.0;-16.0;-14.0;1.0;-14.0;-5.0;-2.0;-26.0;-15.0;25.0;14.0;8.0;37.0;27.0;-30.0;14.0;8.0;24.0;17.0;-10.0;0.0;30.0;16.0;19.0;12.0;-11.0;37.0;-35.0;;;;;
FLU X COR 24-05-2015;;;;;-2.0;-7.0;-11.0;18.0;9.0;4.0;-2.0;-22.0;-15.0;-11.0;-13.0;38.0;-10.0;-16.0;-11.0;-13.0;-8.0;-21.0;-18.0;-12.0;-13.0;-9.0;14.0;19.0;2.0;-2.0;-2.0;-7.0;-2.0;-2.0;-2.0;4.0;-7.0;6.0;-9.0;29.0;47.0;21.0;-48.0;-28.0;;-26.0;-23.0;20.0;16.0;2.0;59.0;35.0;15.0;47.0;26.0;11.0;6.0;-61.0;-36.0;-22.0;-2.0;-13.0;-8.0;-21.0;-13.0;25.0;14.0;2.0;-31.0;-16.0;-7.0;-5.0;5.0;-6.0;-1.0;-1.0;-62.0;-79.0;-28.0;-23.0;-15.0;-6.0;-4.0;-2.0;-4.0;-3.0;-3.0;19.0;3.0;-2.0;18.0;9.0;-7.0;-9.0;-32.0;0.0;;;;;
CRU X PON 24-05-2015;;;;;-4.0;24.0;46.0;29.0;18.0;12.0;-29.0;-9.0;-3.0;-1.0;7.0;-5.0;6.0;-49.0;-25.0;-14.0;22.0;8.0;9.0;7.0;-44.0;-48.0;-31.0;-27.0;-10.0;7.0;4.0;-4.0;-4.0;-16.0;-8.0;-4.0;22.0;-17.0;7.0;12.0;14.0;30.0;24.0;6.0;-30.0;3.0;3.0;9.0;7.0;32.0;1.0;23.0;75.0;11.0;-29.0;-66.0;-40.0;-27.0;-12.0;-4.0;9.0;17.0;6.0;4.0;3.0;3.0;36.0;48.0;49.0;30.0;-29.0;7.0;92.0;47.0;48.0;59.0;33.0;19.0;-29.0;12.0;57.0;28.0;13.0;22.0;21.0;88.0;49.0;30.0;-74.0;-32.0;-28.0;-46.0;42.0;9.0;15.0;110.0;;;;;
