game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
LIV X HUD 2017-10-28;174 (62%);660 (86%);10;14;27%;73%;;;;;0;2;;;2;9;;;;;;;;;37;44;8;10;5;0;0;2;;;;;1;0;280;766;;;0;12;1;6;0;8;1;4;;;1;16;1;0;0;2017-10-28;6;11;6;-20;-1;5;5;13;44;32;26;9;22;19;16;16;16;16;16;36;60;41;12;31;24;74;48;34;27;22;15;15;15;5;20;14;25;52;38;58;0.0;8;7;6;6;-23;81;50;37;23;15;4;2;30;40;100;-5;77;49;29;19;27;39;71;100;63;39;6;14;3;-2;-1;-31;-19;74;35;19;12;5;32;18;15;14;18;13;12;12;11;50.0;8;34.0;80.0;3;12:00:00;1;HUD;LIV
WAT X STO 2017-10-28;150 (60%);456 (81%);32;22;30%;70%;;;;;1;8;;;1;8;1;0;;;;;;;61;52;9;10;0;1;1;0;;;;;2;4;249;561;;;2;11;3;7;2;0;4;4;;;6;15;4;4;1;2017-10-28;-10;8;1;6;9;11;9;4;-94;-43;-25;7;-15;-8;2;1;1;1;31;20;13;9;7;6;1;7;31;25;21;12;7;31;12;11;11;6;4;1;2;1;-5.0;-12;-8;8;54;13;13;14;15;14;10;13;13;33;15;4;13;2;-5;7;17;16;21;18;41;63;42;4;30;22;16;17;15;14;9;5;13;13;-3;48;-30;11;3;-2;4;9;22;15;11.0;1;39.0;40.0;0;12:00:00;-1;STO;WAT
WBA X MCI 2017-10-28;843 (91%);151 (59%);17;12;79%;21%;;;;;2;2;;;2;1;;;;;;;;;58;51;7;10;2;2;;;;;;;1;5;929;254;;;7;5;8;1;5;4;8;2;;;15;7;3;2;3;2017-10-28;-10;-30;-100;-68;-9;-8;-9;-81;-31;-23;-16;-12;-11;-1;-8;-7;-11;-14;-16;-41;-29;-22;-18;-17;-15;-11;-11;-11;35;5;-7;-8;-11;-42;-35;-57;-5;-9;-11;-41;;-28;-15;49;17;-31;-32;-22;-20;-38;-39;-27;-42;-24;-18;-12;-24;-9;-1;-8;-8;-8;-83;-53;-34;-18;-11;-20;-2;10;-13;-12;-15;-22;-21;-19;-14;-11;-18;-9;-8;-7;-7;-7;-32;-25;-25;-20;-17.0;-41;-9.0;80.0;2;12:00:00;-1;MCI;WBA
BOU X CHE 2017-10-28;569 (87%);376 (82%);15;12;59%;41%;;;;;6;3;;;5;5;;;;;;;;;41;30;5;5;1;4;;;;;;;5;0;653;459;;;13;5;7;3;5;1;5;2;;;18;7;0;2;1;2017-10-28;-10;-32;-25;-21;-12;-5;-2;-1;-5;16;7;-6;-15;-49;-22;-7;-1;-22;-86;-59;-68;-37;-4;-16;20;-30;-14;-9;-71;-19;-9;-5;20;3;11;6;-5;-14;-14;-47;;31;-5;7;31;6;20;4;-86;-56;-41;-55;-43;-25;19;-10;-5;-6;-7;-8;-10;-35;-31;19;-1;-6;5;-4;-36;-25;31;10;6;12;-21;-10;-6;-4;-15;-3;5;27;-31;-7;-2;2;-5;2;-23.0;-34;-6.0;45.0;0;14:30:00;-1;CHE;BOU
BHA X SOU 2017-10-29;360 (80%);395 (81%);9;16;49%;51%;;;;;3;1;;;7;2;;;;;;;;;41;52;10;9;1;0;1;0;;;;;1;0;450;490;;;3;6;2;4;1;2;3;1;;;6;7;1;3;1;2017-10-29;-5;-13;-1;11;14;14;14;14;14;6;12;-7;51;34;20;12;7;1;1;1;5;2;-14;-2;-5;-8;-10;-32;-25;-46;-34;-12;-3;-7;2;9;8;41;54;36;0.0;-2;-2;-23;-35;-8;-47;-22;86;46;11;11;8;33;24;21;-8;4;-8;-13;-4;5;-6;7;10;9;8;-83;33;27;34;24;8;2;-1;25;17;9;-67;-6;-1;-2;-7;-5;6;7;15;5;-20.0;-34;-9.0;-5.0;1;11:30:00;0;SOU;BHA
LEI X EVE 2017-10-29;374 (80%);214 (66%);22;20;60%;40%;;;;;6;1;;;10;3;0;2;;;;;;;53;52;10;6;1;2;;;;;;;1;4;470;324;;;7;7;7;5;2;3;8;2;;;15;9;2;0;0;2017-10-29;1;54;70;69;-43;-4;-6;-10;-11;-7;72;1;37;23;10;49;24;15;12;11;7;6;2;40;21;10;3;-3;-5;41;18;-24;-35;28;-64;-45;-30;-24;-11;-54;-25.0;-20;-12;-23;-14;14;-5;-4;-3;-1;-1;-1;5;6;21;-23;9;-6;-9;-46;-32;-31;-41;-62;-37;-25;-52;6;-32;-45;-32;-29;-20;-42;-17;-9;-36;-18;29;-40;-26;-12;18;25;-17;-2;-3;33;14.0;44;-42.0;5.0;2;14:00:00;1;EVE;LEI
BUR X NEW 2017-10-30;409 (79%);343 (76%);29;24;53%;47%;;;;;4;4;;;3;5;;;;;;;;;52;54;10;9;4;5;;;;;;;1;4;521;451;;;4;9;3;3;5;5;8;3;;;12;12;0;3;0;2017-10-30;10;-5;-27;-52;-35;-24;-12;-5;-1;-41;-22;41;-11;-5;-1;4;4;-2;3;25;15;10;35;7;5;77;43;23;11;-7;-7;-5;-4;51;4;-2;-10;-10;-11;16;0.0;2;3;8;-6;56;-6;-24;-59;40;7;4;9;8;2;-1;7;-1;10;8;7;7;6;6;6;6;11;8;23;16;12;19;18;81;80;44;17;12;19;4;-6;-9;-35;-32;-25;-21;-52;-29;-17.0;4;40.0;-60.0;1;18:00:00;1;NEW;BUR
STO X LEI 2017-11-04;337 (79%);284 (75%);26;27;53%;47%;;;;;5;1;;;10;4;0;1;;;;;;;58;56;8;12;5;2;;;;;;;5;0;424;379;;;10;9;5;3;4;7;4;2;;;14;11;;;2;2017-11-04;-4;4;4;11;30;16;38;19;8;-8;-5;-5;-7;-1;1;1;-5;-6;-8;-8;-9;-12;-6;38;-28;-13;-95;-90;-61;-39;-58;-64;-34;-6;76;-40;1;-18;63;24;-10.0;2;3;4;-9;-9;-89;-56;-37;-26;-49;-19;-7;-1;-1;5;-33;76;52;-69;-15;-4;-3;6;17;1;-3;-20;7;-4;-48;42;100;61;28;16;-24;-25;-7;-18;-8;-2;32;21;14;10;9;2;-22.0;5;-3.0;-5.0;2;10:30:00;0;LEI;STO
HUD X WBA 2017-11-04;330 (79%);339 (81%);17;19;50%;50%;;;;;4;1;;;5;3;;;;;;;;;46;58;15;8;2;3;;;;;;;4;4;417;421;0;1;3;2;2;3;3;3;6;5;;;9;7;4;3;0;2017-11-04;-2;5;5;29;45;32;29;27;41;19;17;-7;55;37;22;21;1;2;-4;-1;2;2;-34;2;14;35;22;44;33;71;-44;5;5;-13;1;5;9;10;10;40;40.0;-1;-2;-7;-1;12;-2;-2;-3;-2;12;12;13;5;-8;-19;4;-12;-8;-5;-11;-9;-11;-13;-13;-13;-18;-22;-37;-19;-17;-17;-40;-58;-35;-21;-38;-26;22;-14;-4;-3;-1;-1;-3;-4;-5;-10;-8.0;8;-12.0;-20.0;1;13:00:00;1;WBA;HUD
NEW X BOU 2017-11-04;308 (76%);276 (74%);36;31;52%;48%;;;;;4;3;;;9;11;;;;;;;;;61;69;12;11;4;4;1;1;;;;;1;5;407;373;;;11;8;6;9;6;4;5;8;;;16;16;2;2;1;2017-11-04;1;37;18;3;25;56;38;32;42;22;9;4;34;17;1;2;3;2;2;31;16;12;9;5;-27;-10;-4;-1;-4;-13;23;5;9;7;7;6;28;21;16;3;-45.0;-13;28;16;13;6;91;23;5;-27;-20;-21;-13;-10;-7;-2;35;32;20;14;-39;-15;-37;-24;-15;39;27;24;17;8;-7;-4;-4;-24;-15;-10;-2;4;58;31;22;12;24;11;-28;-41;-27;-20;-14.0;67;-100.0;-135.0;0;13:00:00;-1;BOU;NEW
SOU X BUR 2017-11-04;239 (69%);466 (81%);23;16;38%;62%;;;;;2;4;;;1;9;;;;;;;;;45;45;4;4;3;0;;;;;;;1;2;344;575;;;2;11;2;6;1;3;3;2;;;5;13;;;1;2017-11-04;4;-9;7;2;2;4;4;-4;2;2;2;5;8;7;7;7;6;6;6;36;28;23;7;20;48;28;-26;-5;25;9;46;29;17;7;16;17;14;74;19;-15;;-2;-1;-5;1;8;5;7;9;10;10;65;48;97;82;83;8;49;33;19;19;28;41;24;8;-4;-4;9;-6;-10;-7;-5;-4;-4;-8;-1;4;5;9;2;35;24;-77;-33;-16;-13;44;30;21.0;-16;16.0;30.0;0;13:00:00;-1;BUR;SOU
SWA X BHA 2017-11-04;267 (72%);379 (81%);23;27;44%;56%;;;;;1;7;;;7;8;;;;;;;;;54;61;12;13;2;1;0;1;;;;;2;1;371;468;;;3;11;2;3;2;2;2;1;;;5;12;1;2;1;2017-11-04;-10;12;-43;-18;-12;8;4;19;30;17;3;-6;6;8;8;15;1;-2;-3;-11;-8;-5;-24;-14;-84;-51;-31;-40;-85;-42;-40;-19;-6;-13;-27;-7;4;-3;-10;-11;20.0;6;8;10;12;-12;4;-3;3;63;40;32;22;16;8;7;-8;7;2;4;-17;12;2;22;19;9;5;-2;9;5;3;3;3;7;5;4;3;8;42;5;4;3;8;-24;-10;32;20;3;9.0;23;46.0;50.0;0;13:00:00;-1;BHA;SWA
WES X LIV 2017-11-04;381 (78%);335 (76%);14;16;52%;48%;;;;;1;0;;;3;2;3;0;;;;;;;51;48;13;9;0;4;0;1;;;;;1;5;488;442;;;12;5;7;5;7;1;3;1;;;15;6;0;3;4;2017-11-04;-10;25;17;14;12;9;5;6;-6;-2;-7;-9;-10;-8;-4;-56;-94;-92;-51;-35;-21;-6;-14;2;-1;-5;-3;-2;-1;-1;-10;-9;-8;-47;-8;-8;-7;-7;-7;-17;;-13;42;11;-34;-24;-11;-2;-4;-1;6;4;82;-75;-15;-44;-11;29;-1;8;37;27;12;4;-3;-29;28;-3;-33;-17;-14;-10;-12;-9;-76;-40;-24;-10;8;9;10;-37;-20;-10;-9;-8;13;-8;-53.0;4;-84.0;-5.0;1;15:30:00;-1;LIV;WES
TOT X CRY 2017-11-05;185 (69%);491 (84%);14;16;32%;68%;;;;;3;4;;;9;10;2;0;;;;;;;47;49;7;6;1;3;;;;;;;4;3;268;583;;;7;6;5;6;3;2;4;6;;;11;12;2;0;0;2017-11-05;-6;9;49;36;33;46;31;24;17;-12;-4;-7;-5;-5;-5;6;8;11;12;13;13;38;-7;29;44;68;52;36;53;33;-22;-35;-18;-13;-14;-6;3;-3;2;37;5.0;27;42;31;-19;-3;-41;-44;-30;-15;44;22;-17;9;-37;-23;5;-30;-23;-12;-42;-18;82;45;34;45;53;6;27;18;7;-53;-44;-46;-47;-32;-15;-7;8;-27;-49;31;6;25;18;9;4;53;31.0;9;2.0;5.0;1;10:00:00;1;CRY;TOT
MCI X ARS 2017-11-05;369 (82%);544 (87%);5;5;42%;58%;;;;;0;2;;;5;5;1;1;;;;;;;39;54;15;15;3;2;;;;;;;3;3;450;624;;;3;7;3;2;3;5;3;2;;;6;9;6;1;1;2017-11-05;10;-73;-38;-17;-1;6;11;6;8;9;87;-16;87;57;39;24;30;17;11;8;31;18;34;6;-5;6;2;5;7;9;9;9;-10;22;-4;4;-4;-5;-25;-22;0.0;-34;-13;-9;-7;-30;79;44;23;8;5;-3;-42;-25;-14;-4;-9;10;12;16;8;2;-2;-77;-55;-17;106;-3;62;87;57;33;8;36;60;39;22;12;-52;3;-1;-2;8;10;13;3;-5;-5;-2.0;-34;2.0;10.0;3;12:15:00;1;ARS;MCI
CHE X MUN 2017-11-05;301 (76%);370 (79%);19;17;46%;54%;;;;;5;4;;;7;4;;;;;;;;;52;58;20;16;7;2;;;;;;;;;396;471;;;3;12;3;6;2;8;7;6;;;10;18;3;1;0;2017-11-05;-3;-22;-9;-2;9;56;22;19;13;9;-20;4;11;-10;37;34;24;15;10;-6;-8;41;47;27;-18;-3;43;23;15;12;10;46;30;8;45;50;32;18;18;11;;13;-18;-2;34;4;27;19;21;19;56;31;91;52;35;17;-6;15;3;21;10;-7;-1;3;-2;-4;-22;8;-48;-67;-23;-7;3;25;15;50;23;12;-5;8;3;-2;-2;-3;33;11;-10;-11;-16.0;-32;-36.0;-50.0;1;14:30:00;1;MUN;CHE
EVE X WAT 2017-11-05;356 (75%);196 (67%);34;25;63%;37%;;;;;2;2;;;5;2;;;;;;;;;75;61;12;14;2;1;;;;;;;1;5;472;294;;;7;7;6;2;3;5;4;2;;;11;9;2;0;2;2017-11-05;-6;-3;-4;-5;-6;-6;-6;-4;-2;-1;-21;-8;-13;-13;-1;7;2;42;22;8;-4;-24;-10;-20;-10;-3;3;10;2;27;7;4;2;-11;2;-35;-30;-22;-18;-20;0.0;-25;-94;-61;-41;-21;-29;-50;-22;-11;42;11;4;-5;-6;-11;-19;-10;-10;-4;-31;-14;-100;-67;-46;74;29;-12;35;22;14;9;-7;94;47;27;10;1;7;-11;-11;-4;2;-53;-29;-23;-15;-16;-62.0;-3;-44.0;60.0;3;14:30:00;1;WAT;EVE
ARS X TOT 2017-11-18;436 (79%);281 (70%);20;16;58%;42%;;;;;2;5;;;4;7;0;2;;;;;;;57;56;16;11;3;4;;;;;;;1;8;549;399;;;10;8;8;4;4;5;4;6;;;14;14;1;4;0;2017-11-18;-10;-11;-7;4;7;11;-7;-32;-33;-17;-10;-7;-5;1;2;22;17;38;21;10;3;5;5;38;20;9;-12;-32;-63;-39;78;30;13;4;6;-5;43;58;31;-34;5.0;5;11;1;-36;4;-11;-7;5;29;16;5;-4;-58;-41;-29;30;-22;16;6;-5;-35;-17;-9;-3;2;-3;15;48;65;35;18;8;-3;-11;38;15;-45;-48;-24;-18;-78;-50;-46;-28;-43;-27;-12;-7.0;-22;-1.0;65.0;2;10:30:00;1;TOT;ARS
BOU X HUD 2017-11-18;441 (82%);147 (60%);12;22;70%;30%;;;;;6;0;;;11;8;;;;;;;;;55;45;10;13;1;3;;;;;;;0;1;539;246;0;1;10;6;10;4;3;5;9;3;;;19;9;2;5;0;2017-11-18;10;-70;-27;-14;43;-28;2;-1;-1;-4;-42;3;26;31;18;56;16;8;2;100;56;35;-3;15;9;80;46;27;46;17;-31;-20;-17;-3;-57;46;49;24;14;7;-70.0;26;-28;-13;-19;3;-18;-17;-13;-42;-29;-22;-22;-49;-27;-21;-6;-13;-8;-3;-7;-9;-11;-22;-14;-13;-18;-49;30;41;19;-26;-12;-35;-28;20;-6;-23;-36;-14;-11;-15;-11;-7;38;21;10;-33;-42.0;-74;-31.0;-5.0;4;13:00:00;1;HUD;BOU
BUR X SWA 2017-11-18;379 (80%);204 (69%);22;24;61%;39%;;;;;4;6;;;6;8;;;;;;;;;58;60;12;12;6;1;;;;;;;1;3;471;296;;;8;12;9;4;1;7;6;5;;;14;17;1;1;0;2017-11-18;10;-54;-28;-21;-13;-12;-1;36;100;80;54;10;69;35;10;2;-4;37;-37;-6;5;1;5;2;83;51;27;8;-23;-19;-15;-18;-14;2;-7;75;36;22;13;10;20.0;-18;23;-10;-4;-1;41;-35;-11;-34;-28;-47;-34;-18;-16;-12;-1;-13;-10;-14;-11;-9;-3;-5;-6;-7;-3;52;-5;-37;-20;-15;-13;-11;-5;-23;-14;-39;30;-23;-9;-4;-8;20;12;4;-3;8;-23.0;10;-13.0;-75.0;2;13:00:00;1;SWA;BUR
CRY X EVE 2017-11-18;159 (64%);439 (81%);17;16;32%;68%;1;2;3;4;1;4;;;4;9;;;;;;;;;69;66;26;9;5;3;;;;;;;1;1;248;539;;;6;9;2;5;5;7;2;7;;;8;16;3;2;2;2017-11-18;-10;7;13;13;15;16;17;17;37;-48;-13;116;33;14;-19;-2;2;-1;7;12;18;57;71;40;30;23;13;9;50;100;77;51;35;41;23;12;-40;-19;-6;11;-70.0;7;1;-4;-50;20;-23;-7;7;1;29;22;40;30;50;63;-74;98;56;38;25;28;22;13;7;3;-46;-42;-19;-4;8;10;49;29;12;7;4;1;-19;31;18;36;24;52;22;-35;-9;-6;-41.0;-5;-29.0;0.0;2;13:00:00;0;EVE;CRY
LEI X MCI 2017-11-18;705 (90%);175 (66%);13;12;75%;25%;1;0;2;0;2;1;;;7;1;;;;;;;;;47;41;10;8;1;2;0;1;;;;;1;3;784;266;;;7;1;6;1;4;0;5;1;;;12;2;1;1;2;2017-11-18;-10;-12;-13;-12;-11;-11;-17;-13;-13;-14;-13;-9;-13;-13;-75;-42;-52;-33;-13;-3;-3;9;-3;4;1;-1;-1;-1;20;-27;-15;-15;-20;4;-64;-42;-60;-71;-52;-33;-75.0;-2;-2;4;-10;-2;6;-35;-23;-42;-33;-48;-29;-20;-13;-11;-2;-7;-7;-17;-12;-3;-8;-21;-18;-18;-19;-6;-18;-17;-27;-13;-13;-14;-14;-3;-9;-11;-32;-13;-13;-5;-3;-9;-13;-15;-16;-17;-12.0;-23;-41.0;-5.0;0;13:00:00;-1;MCI;LEI
LIV X SOU 2017-11-18;261 (72%);472 (84%);18;11;39%;61%;;;;;2;7;;;2;10;;;;;;;;;60;45;9;15;5;0;;;;;;;2;2;362;562;;;4;12;3;6;0;8;1;9;;;5;21;1;1;0;2017-11-18;-10;27;11;2;-6;-7;-16;-12;-9;8;3;-2;10;23;11;26;40;28;15;9;4;1;9;67;47;100;69;46;23;13;1;4;5;-5;6;7;82;21;12;-26;0.0;130;64;30;-29;-4;-14;-11;32;22;27;55;35;21;16;32;-8;20;15;18;39;51;34;24;18;28;89;-10;52;96;51;24;-26;10;10;6;8;11;-4;10;9;11;12;13;39;25;16;11;8.0;3;3.0;40.0;3;13:00:00;1;SOU;LIV
WBA X CHE 2017-11-18;529 (87%);307 (81%);13;19;62%;38%;;;;;2;0;;;4;3;1;1;;;;;;;54;56;12;13;2;3;;;;;;;1;3;610;378;;;8;5;2;5;7;2;3;2;;;11;7;3;2;4;2017-11-18;-10;-3;-5;-5;-10;-11;-37;-44;-24;-100;-83;-11;-44;-51;-32;-10;-86;-52;-30;-18;-12;-6;-12;-9;-1;22;18;66;64;38;26;5;-79;-7;-53;-36;-26;-19;-9;-9;0.0;-3;8;6;6;12;50;31;-34;-5;4;-12;-11;-47;-32;-23;49;-37;-20;-8;-3;-75;-48;-34;-25;-30;-30;27;-40;-26;-22;-19;-22;31;51;11;7;5;14;-5;-11;-12;-13;-14;-3;6;8;5;4.0;6;27.0;5.0;0;13:00:00;-1;CHE;WBA
MUN X NEW 2017-11-18;260 (76%);542 (87%);13;14;36%;64%;;;;;1;3;;;4;11;;;;;;;;;53;50;9;10;3;4;;;;;;;1;1;344;620;;;6;14;6;6;5;7;6;2;;;12;16;1;1;1;2017-11-18;-1;1;-51;-28;47;17;-74;-8;55;30;-53;-11;-46;37;-2;-5;1;10;36;23;16;16;-8;16;7;9;13;15;16;10;7;84;15;-6;15;56;34;14;-40;-12;110.0;-66;-34;-15;-4;7;10;34;20;12;87;57;33;25;41;98;7;63;28;21;36;23;21;20;7;-44;-24;10;-38;76;32;26;15;10;-1;-5;-13;-37;45;-22;-12;-6;-2;5;3;8;11;18;16.0;28;21.0;100.0;4;15:30:00;1;NEW;MUN
WAT X WES 2017-11-19;336 (77%);515 (84%);23;22;42%;58%;;;;;0;2;;;1;3;;;;;;;;;51;51;10;13;5;5;;;;;;;3;0;434;614;;;8;12;4;8;6;7;2;5;;;10;17;4;1;0;2017-11-19;-10;13;4;74;-50;-6;17;13;13;14;3;-7;-3;-3;-5;-5;4;-2;4;-22;-2;4;-5;4;5;2;8;43;44;39;56;37;18;-4;9;14;5;-21;-4;-44;-20.0;-24;-12;-6;-2;-3;3;3;3;3;3;3;3;3;3;3;6;-54;-25;-10;6;41;67;85;55;69;44;8;70;43;65;35;20;-21;-47;-26;-19;-14;11;37;56;28;13;16;11;7;8;4;5.0;12;4.0;-30.0;2;14:00:00;1;WES;WAT
BHA X STO 2017-11-20;316 (80%);364 (79%);22;9;47%;53%;;;;;5;0;;;7;6;;;;;;;;;62;39;5;13;1;4;;;;;;;1;3;396;462;;;10;4;2;6;6;3;3;5;;;13;9;0;1;2;2017-11-20;-2;-3;33;17;-82;-68;-67;-40;-21;33;19;-2;-40;22;6;34;56;42;55;38;18;-77;-3;-34;-25;-19;-14;-6;7;9;-7;-3;-5;-3;-9;-11;-11;-8;-2;83;-95.0;26;18;13;15;6;-5;-5;-20;28;10;9;13;5;18;12;1;36;55;36;23;16;10;6;-21;-6;-29;-18;-13;-4;5;5;9;3;-7;-7;16;1;-18;-40;-67;-14;-5;5;8;13;12;13;14.0;-9;3.0;70.0;2;18:00:00;0;STO;BHA
WES X LEI 2017-11-24;313 (77%);300 (79%);23;28;51%;49%;;;;;0;1;;;5;5;1;0;;;;;;;65;75;12;9;3;1;;;;;;;1;0;404;381;;;3;7;5;3;2;4;4;1;;;7;8;1;1;1;2017-11-24;-10;-46;-33;-25;-15;-7;-7;-33;-19;-11;-6;6;-3;1;1;-5;-41;-23;-9;5;48;34;11;66;2;3;-8;-3;8;-23;-9;27;14;9;6;4;-7;-10;-7;23;80.0;-3;-4;-5;-6;5;-7;-7;-7;-17;-14;-12;-10;-9;-7;-6;3;-6;-6;-3;41;48;39;23;14;5;1;5;1;1;1;1;1;1;1;1;1;1;1;2;-4;2;-39;-20;-10;7;4;-42;-17.0;-71;-6.0;75.0;1;18:00:00;0;LEI;WES
CRY X STO 2017-11-25;327 (77%);379 (77%);15;14;46%;54%;;;;;1;3;;;2;5;1;0;;;;;;;57;53;5;9;3;2;0;1;;;;;1;2;425;492;;;6;8;6;2;3;5;4;2;;;10;10;1;1;1;2017-11-25;10;-20;-17;-40;-20;-8;-2;3;15;2;-7;7;7;2;2;2;-4;27;22;10;4;-3;5;-4;-36;-24;-47;-21;-5;8;6;9;3;4;-2;44;31;24;21;8;;-9;-1;3;-3;4;3;4;47;27;16;-71;-36;80;32;19;3;16;9;5;-2;3;-7;-4;-30;-10;-3;3;43;27;21;15;11;46;-28;2;-4;-4;-14;-3;-3;-1;-5;-7;-14;-13;-43;-58;-27.0;-25;-14.0;90.0;2;13:00:00;1;STO;CRY
MUN X BHA 2017-11-25;311 (77%);478 (85%);14;14;42%;58%;;;;;3;4;;;0;5;1;0;;;;;;;46;51;9;9;4;2;;;;;;;1;2;404;565;;;4;8;3;7;2;4;4;8;;;8;15;2;0;0;2017-11-25;10;3;5;6;-36;-13;-48;-29;-21;-13;-12;12;-7;5;4;2;44;24;12;13;13;10;33;11;10;3;25;22;16;42;33;21;10;14;9;6;6;1;-3;18;80.0;7;1;-28;-14;-11;47;31;22;19;45;27;19;15;12;13;-1;11;10;9;29;20;15;13;100;66;74;-1;53;36;18;10;-6;-2;5;5;1;-2;-2;-46;-29;57;19;8;7;-12;-40;-21;-15.0;-1;28.0;-5.0;1;13:00:00;1;BHA;MUN
NEW X WAT 2017-11-25;315 (71%);378 (79%);23;28;48%;52%;3;1;4;1;1;5;;;3;6;1;1;;;;;;;61;64;13;8;2;2;;;;;;;1;4;441;480;;;10;8;7;5;4;2;3;4;;;12;12;2;1;3;2017-11-25;-2;-37;-43;-27;-16;-64;-37;-23;-16;-12;-1;-2;-68;-67;-41;-26;-34;-9;21;20;17;17;-7;16;19;-11;8;10;8;7;13;29;58;15;40;30;58;33;11;1;-40.0;-10;-9;-10;-40;27;-23;-23;-36;-23;-9;-2;33;26;22;9;19;22;-14;-33;-16;-86;-53;-4;-4;-11;36;6;16;3;9;13;13;20;9;2;-3;-4;-30;-11;-3;9;6;32;22;-37;-14;-8;-6.0;-16;-28.0;0.0;0;13:00:00;-1;WAT;NEW
SWA X BOU 2017-11-25;390 (83%);350 (78%);17;18;52%;48%;;;;;2;3;;;5;4;;;;;;;;;62;50;6;18;1;5;0;1;;;;;1;3;472;447;;;5;7;2;6;5;1;4;3;;;9;10;2;4;0;2017-11-25;-10;9;18;8;-29;-57;-37;-17;-4;1;2;-7;2;1;1;1;-4;-27;-20;-15;-17;-49;-40;-31;-17;-10;5;1;-1;2;33;27;20;-27;40;40;16;-26;-42;8;-5.0;35;22;14;-19;-20;-10;-2;7;43;32;24;44;30;19;16;-14;14;21;7;-5;-5;-13;-15;-15;-10;19;-12;1;-42;-25;-26;-18;-12;-6;-5;-9;-7;22;-11;-29;-19;-33;68;26;15;8;21;17.0;12;10.0;-35.0;0;13:00:00;0;BOU;SWA
TOT X WBA 2017-11-25;190 (71%);601 (87%);27;21;28%;72%;;;;;0;10;;;0;8;;;;;;;;;65;65;13;10;4;1;;;;;;;6;2;266;689;;;4;9;3;10;2;5;1;16;;;5;25;4;1;1;2017-11-25;0;30;14;12;11;15;38;24;21;15;30;-1;13;6;2;-2;-2;-6;-3;30;21;12;-1;8;4;0;28;48;35;26;26;18;10;2;6;29;58;39;29;22;65.0;6;68;41;30;-69;24;60;36;27;18;7;-28;-14;-6;-16;-32;-8;7;3;7;12;14;14;20;23;66;-15;41;46;54;33;18;98;59;45;34;27;-10;7;41;25;21;3;9;44;27;14;7.0;-26;-2.0;0.0;1;13:00:00;0;WBA;TOT
LIV X CHE 2017-11-25;411 (83%);504 (86%);12;7;47%;53%;;;;;3;9;;;8;7;;;;;;;;;63;45;7;10;3;2;;;;;;;5;0;497;587;;;7;8;5;3;3;4;4;8;;;11;16;;;1;2017-11-25;10;33;29;21;12;7;6;7;8;39;26;18;18;18;-58;-33;-18;-74;-42;-19;22;6;14;4;-8;-2;-31;-17;-3;4;3;2;-6;12;-7;-48;37;-16;5;15;-5.0;13;1;-27;-22;-24;51;1;-20;-3;25;39;29;23;23;3;-9;-3;-8;-11;-13;25;9;80;47;22;-33;-5;-19;-25;-16;-11;-10;-7;-5;-9;-7;14;-2;-7;-22;-19;-14;-48;-31;-90;-53;-36;35.0;5;10.0;75.0;1;15:30:00;0;CHE;LIV
