game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
SUN X CRY 2016-09-24;336 (75%);260 (72%);20;19;56%;44%;;;;;4;3;5;3;1;0;61;54;12;15;2;1;;;2;3;450;360;;;15;6;13;4;4;4;6;5;21;11;2;0;3;2016-09-24;10;12;3;-5;-1;-31;-90;-58;-34;-20;19;7;8;3;-7;-8;-9;-27;-20;-15;-62;-31;5.0;-50;-18;-22;18;12;2.0;1;2;-24;-14;4;71;37;28;-24;-1;-10;-80.0;8;10;7;5;3;-4;-5;-8;-24;-18;-13;-10;-54;-33;-53;2;36;42;29;-75;-31;41;38;22;64;43;-4;58;26;9;1;1;2;-104;-59;-33;-63;2;-30;-3;41;18;10;1;-5;28;21.0;-35.0;2;-12.0;-80.0;2;12:00:00;-1;CRY;SUN
SWA X MCI 2016-09-24;482 (85%);304 (78%);10;10;59%;41%;;;;;5;1;7;2;2;0;53;44;9;15;4;1;;;2;1;566;391;;;11;9;9;7;4;5;7;4;18;13;4;2;3;2016-09-24;-10;-87;-53;-31;-19;75;43;26;-25;-4;-12;-19;-7;-3;1;70;31;18;10;-8;-6;-3;-15.0;-32;-18;-4;10;30;-29.0;-10;-7;45;21;27;14;11;44;24;-20;-1;-50.0;1;-6;35;-61;20;-16;-10;-5;-6;-1;25;1;-18;-34;-25;22;-21;-16;-28;-21;-19;29;-33;-49;33;1;-25;35;-31;-3;-4;-8;-8;-98;-39;-99;-59;-10;-33;-10;-5;34;23;12;5;-27;-18.0;-7.0;-12;29.0;-30.0;1;12:00:00;-1;MCI;SWA
ARS X CHE 2016-09-24;447 (83%);438 (83%);16;10;51%;49%;;;;;2;4;1;9;0;2;54;48;11;9;2;2;;;2;5;538;529;;;7;9;5;5;2;5;2;5;9;14;2;0;0;2016-09-24;5;39;21;87;50;28;87;56;32;23;38;6;16;8;-31;-24;-17;-11;-7;40;21;12;29.0;37;37;19;11;6;9.0;-5;-5;-1;-4;21;-12;77;43;27;18;2;-30.0;-4;2;-4;-5;16;-11;-10;-9;-9;-10;-16;-11;-9;18;30;38;16;-13;6;-20;-6;6;5;-23;-7;-6;30;42;42;28;17;11;30;17;16;35;22;16;24;16;-35;-6;6;-57;38;-28;-16.0;-7.0;9;23.0;0.0;3;14:30:00;1;CHE;ARS
WES X SOU 2016-09-25;386 (82%);286 (77%);12;17;55%;45%;;;;;4;5;2;6;;;45;47;14;9;0;6;;;;;472;370;;;15;7;5;7;9;1;3;6;18;13;2;5;3;2016-09-25;-10;-4;28;22;19;43;25;8;-5;-5;-10;-10;-6;-3;-2;-1;-1;5;11;10;2;-5;21.0;-9;-5;-2;2;-19;36.0;16;16;-11;-6;3;-11;-92;-62;-38;-29;-14;-40.0;-8;-1;3;-7;-5;-10;-22;-60;-99;-57;-31;-18;-9;3;2;1;13;37;-51;-61;-41;-30;-24;-36;-13;12;1;58;36;25;30;11;30;11;-37;-9;24;-5;11;34;50;61;31;26;-33;-49;-58.0;-31.0;-12;-15.0;-80.0;0;13:00:00;-1;SOU;WES
BUR X WAT 2016-09-26;348 (74%);241 (69%);34;31;57%;43%;;;;;6;6;6;7;;;69;66;15;11;2;2;;;0;5;469;349;;;5;10;4;3;2;4;7;3;12;13;3;1;0;2016-09-26;-3;39;21;16;11;7;45;51;39;27;41;-3;20;3;-2;9;26;44;25;-27;-11;-28;-4.0;-16;-1;3;-6;-6;-7.0;-8;-1;4;100;5;78;44;28;14;3;-3;-50.0;-4;-5;-6;-66;-1;-36;113;49;24;22;11;4;-2;-2;-3;-1;-3;-4;4;-27;-17;39;4;-37;-20;-38;-1;-27;-12;-6;34;17;8;8;3;-2;-4;2;-5;-6;-7;12;-89;-57;-37;-22;-39.0;-22.0;26;-18.0;0.0;2;17:00:00;1;WAT;BUR
EVE X CRY 2016-09-30;200 (67%);299 (75%);21;23;44%;56%;;;;;6;4;9;10;;;66;68;11;16;1;1;;;1;3;297;398;;;5;9;2;6;2;3;5;4;10;13;4;5;1;2016-09-30;10;62;42;28;36;23;16;8;4;-1;-16;6;45;19;10;4;1;12;12;9;57;28;-5.0;15;-24;-6;-5;-26;-17.0;73;35;25;26;3;19;9;9;64;41;4;0.0;13;13;7;4;-27;1;-81;-48;-29;-7;-30;-13;-58;-35;-22;-10;40;10;3;5;6;4;31;52;89;86;31;49;26;21;-30;-38;-27;-52;-28;-41;-19;65;-33;-18;34;18;8;10;9;6;16.0;6.0;49;2.0;30.0;1;17:00:00;0;CRY;EVE
SWA X LIV 2016-10-01;495 (83%);306 (75%);16;17;60%;40%;;;;;9;1;10;3;;;64;57;9;11;2;5;;;2;1;595;406;;;10;6;3;4;6;3;8;2;18;8;2;2;2;2016-10-01;-10;44;3;-5;-7;-14;20;7;6;6;2;-9;-7;-2;2;34;19;7;17;13;34;15;-8.0;5;-8;-11;-12;-11;-10.0;-34;-23;-22;-21;-8;-11;-8;-33;-42;-22;-11;20.0;-3;3;-8;-3;-23;-41;-3;-1;1;1;-75;-43;-29;-46;-31;32;-37;-25;-19;-15;-15;-18;-11;-27;-16;-55;13;-92;-55;-32;-20;-9;-21;30;23;8;3;5;2;-73;-32;-1;4;-72;-72;-41;-23.0;-12.0;74;3.0;-35.0;1;09:30:00;-1;LIV;SWA
HUL X CHE 2016-10-01;460 (83%);302 (78%);18;12;60%;40%;;;;;4;3;7;5;;;65;51;15;13;2;6;1;0;0;1;554;385;;;13;3;9;3;9;2;9;5;22;8;2;2;2;2016-10-01;10;-3;-8;-11;-8;-5;4;-4;-35;-18;-7;12;-1;-4;2;6;-6;-7;-39;-23;-13;-11;13.0;-11;-9;-31;-23;16;3.0;14;12;10;-45;9;-23;-19;-1;-5;-39;-5;-20.0;57;-44;17;2;73;-124;-79;-47;-32;-22;-11;-39;-32;-47;-76;43;-49;-30;-96;-58;-35;-64;-36;-13;-100;-87;23;-22;-17;-14;-5;-5;-9;-14;-3;6;2;11;-5;-30;-23;-14;-8;-2;2;3;4.0;14.0;1;10.0;5.0;0;12:00:00;-1;CHE;HUL
SUN X WBA 2016-10-01;233 (71%);328 (77%);18;19;45%;55%;;;;;3;1;5;6;;;43;55;13;7;2;6;;;1;2;326;424;;;9;6;7;4;7;2;8;1;17;7;3;1;1;2016-10-01;10;1;1;-2;-22;-14;-55;-34;-21;36;-45;10;-21;-24;-23;-10;-34;-12;32;20;17;18;10.0;4;-6;7;3;9;9.0;-38;-50;-34;-54;34;-60;-32;-11;-1;7;6;0.0;10;13;15;63;29;42;34;18;-27;-9;-7;-6;25;-31;25;14;7;-46;-57;-28;-15;-5;3;7;2;-2;-8;4;-2;-21;-7;-4;5;-35;-13;-3;-52;1;-27;-3;4;-2;71;41;-32;-6;-41.0;33.0;-1;-29.0;-5.0;1;12:00:00;0;WBA;SUN
WAT X BOU 2016-10-01;299 (78%);270 (77%);14;18;52%;48%;;;;;3;5;5;4;;;56;55;12;17;5;0;3;0;2;0;382;349;;;4;9;6;5;2;7;7;8;11;17;4;3;2;2016-10-01;4;-2;-4;-12;-13;-58;-38;-21;-11;-5;1;36;-4;1;2;2;27;19;4;5;5;3;10.0;-8;-6;-41;-57;-61;-31.0;-18;10;5;7;13;5;5;90;50;32;-3;45.0;-7;9;35;75;14;43;100;27;12;2;3;-6;-4;-8;-35;15;-26;35;-12;-42;-55;47;42;22;13;7;11;7;9;8;-28;-41;-28;-30;-21;-14;-25;12;-13;-5;-26;-14;27;17;-29;-8;42.0;20.0;4;-1.0;30.0;2;12:00:00;0;BOU;WAT
WES X MID 2016-10-01;384 (80%);246 (75%);20;18;60%;40%;;;;;2;6;5;4;;;63;52;12;13;1;1;0;1;2;5;482;327;;;7;10;4;11;3;2;2;9;9;19;3;2;1;2016-10-01;10;-9;-8;-38;-34;-25;-25;-10;5;10;1;7;-31;46;41;52;29;23;-37;-20;-17;-13;6.0;-6;5;7;14;14;7.0;3;1;-1;-1;5;35;19;58;35;16;26;-70.0;16;6;-4;37;9;15;5;-99;-95;-58;-32;-17;17;43;17;6;4;-6;-8;-12;6;26;16;36;17;-20;5;-7;-9;-31;-18;-9;-5;-2;25;15;44;4;26;10;9;-6;-7;-9;-53;58;22.0;20.0;-13;30.0;-10.0;1;12:00:00;0;MID;WES
MUN X STO 2016-10-02;186 (69%);468 (88%);10;13;33%;67%;;;;;0;8;2;13;;;40;54;9;14;8;5;0;2;1;1;268;534;;;4;16;1;7;6;9;3;8;7;24;0;3;1;2016-10-02;4;-33;-8;8;7;2;-36;35;12;12;13;10;16;13;13;7;99;55;4;8;11;67;100.0;33;23;5;-3;-26;-13.0;-6;-1;-2;19;34;14;10;8;7;10;33;-5.0;21;15;5;50;27;39;25;16;16;4;-3;-40;-28;-17;41;20;17;58;34;15;2;-24;-16;25;14;8;15;100;76;50;62;42;37;66;49;31;23;4;22;16;15;15;-69;-49;-23;-7;27.0;89.0;13;61.0;70.0;1;09:00:00;0;STO;MUN
LEI X SOU 2016-10-02;525 (84%);286 (73%);22;19;62%;38%;;;;;3;3;6;3;;;54;49;9;9;1;5;1;1;2;1;627;390;;;8;5;3;5;5;1;3;4;11;9;0;1;0;2016-10-02;10;-51;-34;-24;-49;-36;-22;-16;-10;-30;-18;7;-14;-7;-3;4;12;7;4;2;-1;-1;6.0;-1;25;10;-44;-26;-29.0;-18;-10;-2;1;6;1;21;8;-5;-42;-12;30.0;-13;-24;-18;-14;-5;-11;-10;-8;-8;-18;-14;-1;2;1;2;-15;1;-30;-10;-44;-24;-13;-15;-13;21;45;-7;22;-45;-21;-18;-17;-14;31;24;9;-6;6;-6;-36;-24;-16;-11;-39;-23;-16;-11.0;-9.0;-14;3.0;-5.0;0;11:15:00;0;SOU;LEI
TOT X MCI 2016-10-02;382 (79%);248 (71%);13;11;58%;42%;;;;;3;2;3;4;;;82;56;10;20;6;6;1;0;5;8;484;348;;;6;8;3;4;6;7;6;6;12;13;2;2;0;2016-10-02;10;32;43;75;51;27;10;1;3;3;44;39;68;37;48;26;15;1;-6;-14;-35;-18;31.0;-2;-2;-47;-28;-14;-16.0;-7;2;77;41;15;21;9;7;2;7;11;;12;38;23;74;-27;37;15;11;-66;-44;-25;-15;-9;-1;-1;-11;45;36;24;17;8;3;3;43;32;16;25;1;-48;-29;-16;-12;-5;-39;-1;1;-35;4;-25;-36;-37;-28;-59;-45;-31;-23;-19.0;-19.0;-5;-21.0;-30.0;2;11:15:00;1;MCI;TOT
BUR X ARS 2016-10-02;637 (86%);246 (70%);14;20;68%;32%;;;;;7;3;6;2;;;46;54;3;2;1;2;1;1;0;4;741;351;;;13;5;8;6;3;1;5;5;18;10;;;1;2016-10-02;2;8;-5;-5;-39;-16;-13;33;-31;-17;-21;2;-19;-40;-11;-21;-17;-16;-14;-16;-10;-12;-29.0;-9;-7;-22;-11;-4;-1.0;2;3;3;33;-24;13;1;-7;-9;-14;-14;;-9;7;-1;-1;-15;9;-66;-21;-13;-38;-29;-18;-15;-13;-9;-9;16;77;67;36;-30;-9;-14;-14;-12;-9;-6;-9;-49;-37;-26;-89;-59;-3;29;39;27;-3;14;5;-2;-3;-8;-11;-37;-33;-26.0;-21.0;3;-13.0;-85.0;0;13:30:00;-1;ARS;BUR
CHE X LEI 2016-10-15;351 (78%);458 (83%);16;22;46%;54%;;;;;2;4;5;8;0;1;47;68;12;6;4;0;0;1;1;0;449;553;;;2;10;3;6;0;6;3;6;5;16;1;1;0;2016-10-15;-3;38;44;30;14;35;19;7;2;6;7;-4;35;26;21;18;16;14;19;18;27;100;5.0;66;69;47;63;77;43.0;19;11;-5;-27;6;-36;-26;-17;44;-32;-11;;-8;-2;-5;-2;8;-7;-6;-17;-14;-62;-46;-32;-22;18;4;35;-3;-3;-3;-5;-5;3;3;-3;-2;-6;29;-9;6;6;13;38;17;9;4;-6;80;100;45;100;60;35;15;13;-43;-30;-23.0;-18.0;68;26.0;0.0;3;09:30:00;1;LEI;CHE
ARS X SWA 2016-10-15;418 (80%);428 (83%);10;12;52%;48%;;;;;2;3;6;5;0;2;47;57;10;7;3;4;0;3;2;9;525;514;0;1;9;10;5;7;6;6;4;6;13;16;1;0;2;2016-10-15;10;33;-19;-1;-1;55;32;23;17;13;7;11;-22;-37;-20;-19;-11;-5;1;71;41;24;12.0;39;33;14;100;65;72.0;42;25;7;-80;18;-48;-30;-19;-24;-3;26;10.0;-46;-27;-12;-7;16;5;2;5;-13;-2;3;-3;3;79;86;40;75;44;26;14;5;-6;-37;-62;-63;-94;20;-57;-48;-27;-16;-3;-10;-7;-42;-27;-39;9;28;-38;-15;-12;-34;27;-4;-6;-8.0;-53.0;7;-1.0;5.0;3;12:00:00;1;SWA;ARS
BOU X HUL 2016-10-15;379 (82%);402 (88%);8;13;51%;49%;;;;;1;7;4;5;;;47;46;14;8;4;3;0;2;;;461;459;;;4;13;6;5;4;10;7;9;11;22;3;0;1;2016-10-15;10;13;5;6;8;-9;-4;-8;5;5;7;7;12;50;32;22;15;12;37;25;21;24;35.0;37;53;34;18;-92;-85.0;-48;34;2;-11;18;-36;-20;80;38;-34;-6;80.0;-2;4;5;13;8;13;90;51;27;-28;-17;-32;-22;-17;-12;76;9;6;33;26;27;11;77;34;-28;-3;47;3;-12;-4;3;9;9;10;9;8;7;20;7;6;6;6;100;57;31;1;-3.0;73.0;15;36.0;-55.0;6;12:00:00;1;HUL;BOU
MCI X EVE 2016-10-15;160 (63%);573 (87%);18;12;28%;72%;;;;;0;6;1;13;;;55;52;9;7;7;1;0;1;6;0;255;661;;;1;12;1;5;2;8;2;7;3;19;2;0;1;2016-10-15;10;-21;-8;7;8;18;37;31;24;69;67;13;84;56;39;31;48;33;31;13;13;17;15.0;46;33;27;22;19;11.0;9;38;22;12;16;7;4;1;58;33;8;0.0;43;22;20;14;15;-38;-21;-43;56;22;21;38;30;19;46;34;47;34;23;21;18;-72;-34;-17;-2;24;18;20;15;100;100;100;64;44;30;41;28;10;53;38;31;21;16;56;37;30;22.0;17.0;-25;11.0;5.0;1;12:00:00;0;EVE;MCI
STO X SUN 2016-10-15;266 (75%);393 (82%);13;14;43%;57%;;;;;6;7;4;6;;;40;50;13;10;4;1;0;1;2;2;357;478;;;5;9;4;4;1;6;6;8;11;17;1;1;0;2016-10-15;10;55;30;-23;5;-2;-5;8;12;9;8;7;8;7;6;6;6;6;-23;-11;-7;30;-24.0;14;9;-6;-1;-22;-18.0;-16;25;8;-51;-10;-26;-15;-11;20;22;6;170.0;6;6;6;6;-6;-18;-5;23;61;66;50;12;3;38;26;-3;2;30;20;11;28;20;2;8;7;10;-6;8;8;6;6;-23;-18;-17;-12;-9;4;-1;-37;-47;-24;-11;19;7;10;9;38.0;14.0;81;-8.0;55.0;2;12:00:00;1;SUN;STO
WBA X TOT 2016-10-15;540 (90%);140 (61%);14;9;72%;28%;;;;;9;1;8;5;;;52;43;10;14;3;7;0;1;3;1;601;228;;;10;7;3;3;8;4;10;1;20;8;2;2;1;2016-10-15;-6;-5;-8;-10;-12;-12;-12;-32;-18;-49;-34;-9;-26;-19;-42;-26;-19;-34;-24;-6;23;-23;-11.0;-36;-38;-30;-36;-91;-63.0;-40;-72;-40;-62;-12;-40;-28;-12;-76;-46;-10;-25.0;-1;4;85;51;-18;31;14;55;23;35;22;10;-4;22;3;-17;-8;-10;-8;-10;-33;-23;-16;-13;-15;-10;-6;-9;-13;-36;-23;-21;-15;-6;-4;-5;-25;9;22;19;7;100;56;27;-15;6;-2.0;-80.0;-6;-52.0;-40.0;1;12:00:00;0;TOT;WBA
CRY X WES 2016-10-15;251 (72%);305 (74%);24;27;45%;55%;;;;;3;1;6;7;;;71;53;13;12;3;3;0;1;1;1;351;411;1;0;6;7;5;8;4;3;6;5;12;12;5;1;1;2016-10-15;2;30;-23;-3;-4;4;-68;-10;-7;-40;-100;2;-58;-34;-18;12;6;6;26;19;15;28;3.0;16;7;1;-23;-21;-40.0;-55;-34;-40;-41;3;-20;-8;-2;2;24;16;-5.0;22;3;-9;-6;-24;-7;-9;-13;-5;-1;27;-34;37;57;35;-7;20;16;13;32;31;20;14;14;8;6;-40;5;5;9;47;10;7;26;22;12;15;-17;16;59;42;31;20;15;9;38;36.0;25.0;-3;18.0;105.0;0;14:30:00;-1;WES;CRY
MID X WAT 2016-10-16;186 (70%);388 (83%);17;12;37%;63%;;;;;1;0;6;4;;;59;48;10;15;3;1;;;1;0;265;467;;;2;6;1;7;2;3;2;4;4;10;1;4;1;2016-10-16;7;9;4;-1;-1;5;6;10;12;13;37;9;27;21;2;4;3;4;30;26;-39;-8;12.0;26;42;26;20;-20;-15.0;-4;13;6;-25;43;-10;-11;36;11;-15;-17;0.0;7;10;7;6;36;10;7;-4;33;56;-68;33;3;2;-5;27;-4;-1;7;5;5;10;17;12;78;48;51;30;-19;2;-18;-4;7;10;-50;-35;-20;36;52;28;22;15;15;6;4;29;18.0;11.0;18;8.0;-15.0;0;10:30:00;-1;WAT;MID
SOU X BUR 2016-10-16;211 (69%);469 (85%);25;20;36%;64%;;;;;1;11;4;8;;;49;47;10;11;11;0;;;1;0;307;553;;;4;24;4;9;1;14;2;10;6;34;2;1;1;2016-10-16;-2;38;66;35;24;17;13;8;-7;-9;-13;-2;-51;-37;-23;-39;-23;-1;-2;-3;-2;-3;-10.0;5;10;4;46;47;37.0;31;17;66;41;-4;12;11;42;26;25;5;105.0;47;32;24;18;12;40;-21;5;71;77;38;-26;-20;-12;-9;12;6;8;100;97;63;38;28;82;49;35;100;62;37;-49;-95;-58;-38;-24;29;15;2;72;-7;5;5;7;9;40;33;24;19.0;68.0;59;100.0;65.0;3;13:00:00;1;BUR;SOU
LIV X MUN 2016-10-17;259 (76%);509 (81%);29;8;36%;64%;;;;;1;3;1;3;;;88;60;20;14;3;1;;;5;2;342;627;;;2;4;5;3;1;3;5;5;7;9;4;0;0;2016-10-17;-10;17;10;4;2;-30;-20;-19;-10;-65;-40;8;-27;-19;-5;27;15;13;4;9;2;5;7.0;55;40;27;20;16;32.0;25;16;15;13;-8;11;11;12;17;9;5;0.0;6;4;4;-4;-1;2;1;2;3;3;6;-26;-12;-3;5;1;6;49;33;53;35;24;15;32;21;16;-29;13;11;69;46;32;24;24;19;16;14;-11;-13;-11;-45;-26;-5;-1;1;3;2.0;1.0;7;1.0;10.0;0;17:00:00;0;MUN;LIV
BOU X TOT 2016-10-22;451 (83%);232 (72%);4;7;62%;38%;;;;;6;4;4;7;;;41;54;15;10;1;4;1;1;3;1;543;323;;;9;7;6;3;4;1;7;1;16;8;4;2;0;2016-10-22;10;-20;-2;-5;-10;-9;22;12;54;10;3;4;-3;2;-2;-6;-6;-6;-7;-4;-71;-46;2.0;-41;-28;-11;-5;-29;-17.0;-11;-8;4;-2;-1;1;-7;-4;3;13;-18;65.0;-10;-5;-8;-4;-1;-21;-9;-6;-39;-28;-21;-18;-16;-17;-16;42;-15;-25;-13;-31;-22;-72;-36;-22;-21;-13;23;-3;-2;5;2;-8;-10;-13;-12;-12;-51;53;-34;-39;-27;-20;-14;-8;-9;-35;-26.0;-20.0;27;48.0;10.0;0;09:30:00;0;TOT;BOU
ARS X MID 2016-10-22;132 (56%);604 (86%);23;24;26%;74%;;;;;4;1;3;8;;;55;59;13;6;6;4;1;1;2;5;235;706;;;8;3;3;3;4;6;3;7;11;10;0;1;0;2016-10-22;10;53;61;34;22;17;12;14;13;12;41;13;27;-102;-48;-25;44;17;21;15;3;-1;15.0;-2;-2;5;1;-1;-96.0;-30;-12;-1;23;16;22;13;10;8;9;2;20.0;12;13;13;19;17;22;18;16;41;26;57;36;43;5;5;17;-43;-18;-5;7;-2;-7;7;48;34;27;37;23;19;14;45;68;46;34;26;20;25;52;11;2;4;4;49;37;30;-33;-5.0;8.0;37;3.0;5.0;0;12:00:00;0;MID;ARS
BUR X EVE 2016-10-22;452 (81%);197 (67%);23;15;66%;34%;;;;;10;3;8;2;0;1;59;44;15;16;1;7;1;1;1;1;557;294;;;9;4;3;4;8;3;12;6;21;10;3;2;1;2016-10-22;5;28;15;6;1;-7;19;-57;-36;-69;-42;1;-32;-20;-17;-17;35;9;-31;-13;-14;-23;-56.0;-5;-3;-4;-2;-1;3.0;-13;-14;-4;5;-26;79;38;18;6;-5;-5;0.0;-7;6;-68;-46;-43;-34;-22;-16;23;13;5;-3;3;-3;-100;-52;-61;-36;-16;-17;-10;13;3;-1;-1;-1;-29;-31;-17;-8;-3;-3;-7;14;-27;-59;-41;-11;-29;-24;-83;-52;-56;-39;-60;-28;-9.0;6.0;-5;2.0;105.0;2;12:00:00;1;EVE;BUR
HUL X STO 2016-10-22;375 (78%);365 (82%);22;17;52%;48%;;;;;2;1;7;5;;;62;45;8;16;2;4;;;0;1;481;447;;;8;7;4;6;6;2;4;2;12;9;3;2;2;2016-10-22;1;-22;-16;-13;-1;7;10;3;-3;-3;-4;-6;-1;-3;-4;23;10;-8;1;-90;-53;-32;-8.0;-19;-71;-28;-9;-3;57.0;32;-30;-16;-15;-15;-18;-15;51;16;4;-11;-25.0;1;1;1;-6;-9;-8;-86;-48;-26;-15;-8;-1;-1;-1;4;-26;31;27;20;14;10;1;3;4;-88;-45;-19;-16;-9;-4;9;5;3;-65;-36;-19;-14;-15;-11;3;8;10;-19;-5;-2;2;2.0;3.0;-38;38.0;105.0;0;12:00:00;-1;STO;HUL
LEI X CRY 2016-10-22;390 (80%);297 (74%);21;20;56%;44%;;;;;9;5;8;8;;;70;56;8;10;1;5;1;0;3;1;487;403;;;13;10;7;7;7;4;10;6;23;16;;;1;2016-10-22;2;4;1;-7;-10;-18;-44;-68;-46;-53;-33;7;-20;-11;-9;28;18;10;5;26;12;11;27.0;66;41;24;16;11;4.0;30;21;15;16;22;11;-29;-12;77;41;26;25.0;-4;2;32;20;34;8;-59;-29;-28;-19;-14;-7;-37;-18;-7;-22;18;35;31;26;87;47;22;9;-89;-61;7;-38;-28;-22;-12;-4;-100;-85;-32;-12;-26;3;122;70;42;25;-39;-25;-100;-66;-43.0;26.0;7;-4.0;-95.0;3;12:00:00;1;CRY;LEI
SWA X WAT 2016-10-22;287 (75%);348 (79%);15;19;47%;53%;;;;;5;3;2;7;1;0;48;54;16;15;5;2;0;1;4;1;385;443;;;5;4;3;3;2;5;5;7;10;11;1;2;0;2016-10-22;-10;13;27;12;8;3;-5;2;-18;-14;-12;-12;-4;-5;3;8;39;19;17;12;8;-9;-13.0;-31;-27;-10;-1;-4;-34.0;-44;-25;-14;-7;-7;1;2;2;2;7;1;;-8;-1;5;6;-10;6;2;3;9;9;8;34;21;19;2;20;18;-9;1;2;8;2;36;23;15;10;9;8;24;11;33;66;43;28;21;20;1;6;-13;-6;6;41;33;23;12;10;6.0;6.0;28;1.0;-5.0;0;12:00:00;0;WAT;SWA
WES X SUN 2016-10-22;207 (70%);469 (87%);6;13;36%;64%;;;;;4;8;2;6;;;38;56;13;10;2;2;0;1;1;3;296;541;;;4;12;4;9;2;3;6;8;10;20;5;2;0;2016-10-22;10;29;61;33;12;14;12;8;29;27;20;10;14;11;38;25;17;12;9;5;9;42;10.0;23;12;-12;-3;-35;-15.0;-43;-30;-48;-22;30;-9;-4;9;6;4;1;30.0;36;17;-13;-25;51;-9;-7;-45;-22;-12;-29;-18;34;11;-34;66;-24;-9;-2;6;8;33;28;19;39;26;43;17;12;10;7;7;7;37;29;25;22;60;17;12;10;10;14;12;11;10;10.0;9.0;41;9.0;125.0;1;12:00:00;1;SUN;WES
LIV X WBA 2016-10-22;204 (64%);561 (85%);20;33;33%;67%;;;;;2;7;2;3;0;1;52;70;13;9;5;0;;;3;3;318;662;;;4;14;4;7;1;7;3;7;7;21;3;1;1;2016-10-22;-10;-6;-4;8;10;14;16;16;16;16;43;7;28;100;62;40;25;16;5;9;12;18;7.0;9;3;25;20;11;87.0;57;37;27;21;11;42;30;29;24;26;14;0.0;2;2;18;17;11;17;22;15;15;11;9;12;9;3;60;13;43;33;27;54;34;21;13;78;41;27;5;-46;-17;-26;20;1;-26;-21;-15;-11;-3;-5;18;12;-65;-73;51;-5;61;35;24.0;10.0;-10;31.0;0.0;2;14:30:00;1;WBA;LIV
MCI X SOU 2016-10-23;223 (70%);488 (84%);15;16;36%;64%;;;;;1;4;3;10;;;69;62;10;11;2;1;;;4;1;319;582;;;3;8;3;7;2;3;3;6;6;14;3;3;1;2016-10-23;8;1;-1;-1;-1;-30;26;9;11;12;14;17;17;-29;-10;-17;-5;16;4;-25;-88;-48;15.0;-25;-10;35;23;13;3.0;7;7;49;35;14;26;51;34;16;3;1;35.0;-5;-1;-30;-12;7;-2;-1;31;29;16;14;82;51;28;21;3;11;30;46;36;25;19;33;21;16;13;4;6;47;27;16;49;24;-40;-46;56;14;5;9;14;11;-3;-8;28;-14;2;1.0;7.0;2;8.0;115.0;1;10:30:00;0;SOU;MCI
CHE X MUN 2016-10-23;485 (87%);364 (81%);10;8;57%;43%;;;;;5;5;7;5;0;1;44;54;17;7;2;5;;;3;2;556;447;;;9;11;6;3;5;6;7;3;16;14;2;3;0;2016-10-23;10;32;13;32;23;13;66;32;16;15;7;85;5;-21;-14;96;37;25;15;8;29;-54;49.0;-70;-43;-32;-25;-14;-8.0;-10;-10;-11;-11;28;-15;-18;-14;-12;-11;-5;-65.0;20;4;20;9;16;3;28;9;7;-5;-5;-14;-12;-2;-46;8;-71;-46;-31;71;22;10;-6;-30;-52;-34;-1;-23;72;7;-39;-27;37;7;1;-5;-5;-51;-9;-10;-67;-36;-17;-6;4;13;15.0;26.0;-24;;40.0;4;13:00:00;1;MUN;CHE
