game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
EVE X MID 2016-09-17;409 (81%);457 (84%);21;15;48%;52%;;;;;4;1;3;6;;;56;69;15;5;3;0;;;3;4;502;544;;;2;8;3;4;0;6;6;3;7;11;1;2;1;2016-09-17;-10;-7;-2;2;9;57;41;22;25;12;1;-22;-3;43;36;24;13;100;31;20;14;35;-9.0;20;13;16;17;36;25.0;18;14;11;2;-6;-3;-22;-9;75;22;-4;80.0;-4;23;4;1;-32;-2;-1;-4;4;25;49;33;15;63;40;-21;26;20;19;14;5;-3;-2;-4;-3;6;-19;27;18;12;4;-9;-7;-6;-6;-5;-5;-33;3;4;6;8;19;10;10;10;10.0;5.0;-18;1.0;0.0;3;14:30:00;1;MID;EVE
WAT X MUN 2016-09-18;347 (83%);182 (64%);21;16;61%;39%;;;;;4;2;7;5;;;58;56;19;14;2;1;1;0;2;0;417;284;;;8;6;9;3;2;5;7;4;15;10;4;3;1;2016-09-18;-9;-12;15;3;32;19;11;5;13;82;51;-14;27;13;4;-30;-25;-21;-19;-23;-17;-15;-44.0;-14;-18;-8;-77;-69;71.0;18;5;10;5;-29;-8;-35;-2;4;-2;-5;20.0;-36;-26;-44;-23;-21;-42;-20;-10;4;44;28;17;10;6;1;-15;25;10;-9;-80;-51;-5;-6;-7;-7;-8;-11;-83;-54;-36;-31;-17;-9;-6;-9;-15;-40;-7;-89;-58;-39;-23;75;41;24;9;10.0;4.0;-7;-1.0;120.0;3;09:00:00;1;MUN;WAT
CRY X STO 2016-09-18;259 (74%);376 (82%);20;19;44%;56%;;;;;1;4;5;10;;;66;71;9;15;3;3;;;3;2;350;459;;;6;9;6;2;4;8;5;5;11;14;1;2;1;2016-09-18;2;100;71;100;81;40;16;9;-2;25;12;4;10;48;-33;-3;1;66;36;19;19;44;4.0;19;9;29;15;6;2.0;-1;-22;-14;-14;25;-9;5;1;0;0;0;;5;1;-1;-66;17;-57;-23;-13;25;19;13;11;51;33;9;7;3;-52;-45;-74;-38;-22;20;6;22;12;6;7;2;6;77;51;65;78;46;23;19;35;-49;-47;-68;-36;-17;-2;-4;1;-14.0;-6.0;24;-3.0;15.0;4;11:15:00;1;STO;CRY
SOU X SWA 2016-09-18;315 (78%);365 (83%);19;18;47%;53%;;;;;1;4;1;7;;;52;44;9;14;5;3;0;1;1;5;402;442;;;6;13;5;9;3;6;3;6;9;19;1;1;0;2016-09-18;-10;-37;-25;-12;-7;5;6;8;9;45;33;6;80;49;37;17;47;16;33;23;-23;-4;11.0;3;3;5;29;15;32.0;20;13;7;-4;11;42;25;11;37;64;70;;46;40;28;15;11;-9;2;-23;-42;-23;-16;-7;-1;33;23;7;22;41;62;38;100;100;59;37;51;100;-36;69;-41;-1;-27;-32;-23;-20;-9;-10;-2;-21;3;24;12;10;9;-8;-10;-45;-46.0;-27.0;-14;1.0;20.0;1;11:15:00;1;SWA;SOU
TOT X SUN 2016-09-18;140 (63%);546 (89%);10;19;27%;73%;;;;;1;7;1;14;;;53;63;16;7;8;1;0;1;;;224;613;1;0;5;16;3;15;2;9;1;15;6;31;7;1;0;2016-09-18;6;17;100;65;81;90;56;49;100;81;72;9;44;27;35;-33;-13;-36;32;31;22;39;10.0;25;13;3;-3;3;7.0;12;15;5;33;42;25;70;66;85;-54;7;10.0;14;14;14;23;31;21;19;18;41;29;28;47;43;34;26;29;100;50;35;32;31;19;19;43;23;-62;22;-31;29;6;13;100;72;45;30;21;9;19;9;14;62;40;32;23;17;35;-26.0;5.0;19;-1.0;135.0;1;13:30:00;1;SUN;TOT
MUN X LEI 2016-09-24;229 (68%);619 (87%);13;15;33%;67%;;;;;6;1;6;8;0;1;39;45;12;9;3;2;;;1;4;336;712;;;2;12;1;8;3;7;8;4;10;16;2;0;1;2016-09-24;10;28;20;10;1;-16;-6;-1;-3;-25;-14;9;-29;-10;8;99;55;34;-20;66;67;42;9.0;30;89;58;30;15;7.0;-3;76;44;27;11;100;69;100;83;51;25;5.0;2;7;10;13;38;14;20;13;39;25;11;8;11;11;13;34;15;-69;-36;-22;-8;28;15;8;24;13;27;7;11;8;55;39;25;16;36;-59;-22;68;-15;-11;-51;-20;-1;46;32;27;21.0;17.0;43;7.0;0.0;4;09:30:00;1;LEI;MUN
BOU X EVE 2016-09-24;279 (76%);332 (79%);15;13;48%;52%;;;;;5;4;3;5;;;56;54;14;10;0;2;0;2;2;1;367;422;;;6;6;6;7;2;1;7;6;13;12;2;2;0;2016-09-24;10;-4;1;-74;-20;29;22;17;20;14;60;42;36;22;14;84;47;34;25;42;17;10;26.0;-66;-35;-22;-12;-2;17.0;15;59;36;16;11;-25;-15;-19;23;-28;-2;0.0;-2;-7;6;6;9;40;30;16;12;15;-27;-14;-4;5;-1;8;21;12;6;28;4;8;2;-3;-15;-10;10;-9;-18;-13;-9;-8;-7;-31;-20;-19;-13;6;-10;-6;7;8;16;11;13;18;11.0;-30.0;5;-13.0;-30.0;1;12:00:00;1;EVE;BOU
LIV X HUL 2016-09-24;190 (72%);698 (91%);8;9;26%;74%;;;;;0;11;2;13;;;49;55;8;8;6;0;0;1;1;0;263;763;1;0;1;17;1;9;1;12;1;15;2;32;2;1;1;2016-09-24;3;31;35;25;77;50;34;23;18;71;79;4;44;28;19;9;5;10;32;26;15;13;-4.0;82;51;55;77;55;52.0;100;68;87;82;-4;53;31;24;17;18;47;35.0;100;67;47;91;3;53;28;-83;80;22;17;29;63;35;90;53;100;75;66;43;5;4;4;9;14;18;40;14;87;54;35;23;22;10;4;30;20;57;15;11;9;-28;-11;33;17;12;12.0;3.0;42;-4.0;25.0;5;12:00:00;1;HUL;LIV
MID X TOT 2016-09-24;452 (82%);286 (73%);18;16;59%;41%;;;;;7;2;10;2;;;65;67;9;14;1;3;;;3;0;550;391;;;10;5;7;2;5;2;9;1;19;6;1;2;2;2016-09-24;-4;-39;-30;-8;7;16;7;8;18;9;4;-5;1;-1;-1;-1;-71;-43;-23;-11;8;8;-29.0;-8;-25;-19;-16;-14;-17.0;-66;-43;-29;-22;-11;-17;-12;-52;-35;-50;-15;0.0;-10;-42;-24;-14;35;-21;-32;-21;-18;-16;-38;-25;-44;-30;-21;11;-15;-14;-6;-38;-21;-1;42;65;17;15;-46;-25;-11;-14;-13;-15;-14;-8;-24;46;19;-97;12;8;26;7;-45;-29;-17;-11;-2.0;35.0;-59;25.0;0.0;1;12:00:00;-1;TOT;MID
STO X WBA 2016-09-24;220 (69%);300 (74%);15;26;44%;56%;;;;;3;6;6;6;;;46;64;13;9;0;2;;;1;1;319;405;;;4;9;3;4;3;2;5;3;9;12;4;3;1;2016-09-24;-10;-4;3;3;4;30;27;16;10;1;5;-2;5;-6;-8;-1;9;27;83;49;38;26;-4.0;18;10;10;-16;-12;-8.0;7;1;5;-42;-5;-16;-3;-23;-45;-17;27;30.0;15;8;4;2;-5;-1;-1;65;37;29;34;55;38;27;25;-35;14;11;7;34;20;12;7;5;-40;26;-18;6;8;5;6;81;48;33;17;-43;-31;-8;-21;-13;-13;-5;-3;20;9;-6;-16.0;-16.0;-11;-23.0;-100.0;1;12:00:00;0;WBA;STO
