game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
ASV X MUN 2015-08-14;458 (86%);356 (81%);12;12;55%;45%;3;1;5;3;;;54;55;0;0;1;1;;;3;4;534;441;;;5;4;4;3;2;1;4;1;9;5;2;2;1;2015-08-14;-10.0;3.0;2.0;2.0;2.0;-4.0;-4.0;-5.0;-35.0;-28.0;-18.0;-7.0;-13.0;-10.0;-11.0;6.0;-29.0;-17.0;-13.0;-10.0;-34.0;-21.0;-6.0;-96.0;-56.0;-33.0;-12.0;-6.0;3.0;2.0;2.0;1.0;33.0;-5.0;21.0;47.0;33.0;24.0;26.0;19.0;;12.0;2.0;1.0;31.0;-4.0;17.0;10.0;6.0;4.0;1.0;1.0;63.0;35.0;24.0;12.0;9.0;-22.0;-15.0;-11.0;-8.0;-27.0;-16.0;-11.0;-14.0;-36.0;-39.0;2.0;-42.0;-28.0;-20.0;-34.0;-18.0;-13.0;27.0;13.0;-38.0;-14.0;4.0;-6.0;19.0;-7.0;-7.0;2.0;7.0;4.0;-4.0;2.0;-4.0;3.0;-2.0;-10.0;0;16:45:00;-1;MUN;ASV
SOU X EVE 2015-08-15;314 (80%);391 (85%);17;15;46%;54%;4;4;9;9;2;0;48;46;0;0;4;1;;;2;1;393;458;;;7;14;2;9;4;4;3;3;10;17;2;4;3;2015-08-15;0.0;-11.0;-7.0;-3.0;34.0;24.0;23.0;30.0;43.0;57.0;27.0;5.0;18.0;12.0;8.0;-18.0;-12.0;-14.0;-15.0;-20.0;-25.0;-13.0;6.0;-76.0;-43.0;-23.0;-11.0;-8.0;-1.0;54.0;29.0;19.0;9.0;7.0;3.0;3.0;-5.0;6.0;-5.0;-81.0;10.0;5.0;37.0;24.0;37.0;13.0;29.0;19.0;56.0;39.0;68.0;46.0;34.0;23.0;25.0;9.0;10.0;2.0;23.0;12.0;6.0;3.0;1.0;-1.0;-6.0;30.0;19.0;48.0;11.0;-41.0;-19.0;-58.0;-35.0;-21.0;-29.0;-22.0;-10.0;-6.0;-45.0;-3.0;65.0;38.0;27.0;-67.0;-31.0;-20.0;-8.0;9.0;10.0;-6.0;14.0;40.0;0;09:45:00;-1;EVE;SOU
SUN X NOR 2015-08-15;388 (79%);267 (69%);18;9;57%;43%;8;1;6;6;;;55;52;0;0;1;3;;;1;2;490;386;;;9;3;4;3;6;2;9;3;18;6;2;1;3;2015-08-15;-10.0;-12.0;-4.0;-30.0;-17.0;-10.0;-33.0;-14.0;-1.0;5.0;1.0;-4.0;2.0;20.0;10.0;-26.0;-52.0;-21.0;-52.0;-100.0;-100.0;-42.0;2.0;-23.0;-7.0;-7.0;-3.0;-4.0;-5.0;-5.0;-4.0;-3.0;-3.0;-7.0;-3.0;-38.0;-27.0;-60.0;-52.0;-7.0;0.0;1.0;-25.0;-13.0;46.0;-5.0;23.0;14.0;6.0;9.0;3.0;57.0;39.0;28.0;-71.0;-27.0;-2.0;-15.0;-15.0;-20.0;-9.0;-8.0;-7.0;-6.0;-5.0;-30.0;-15.0;-7.0;-6.0;3.0;3.0;-4.0;-4.0;12.0;26.0;-21.0;-8.0;-10.0;6.0;-12.0;-35.0;-20.0;-1.0;5.0;7.0;7.0;-5.0;21.0;82.0;21.0;-5.0;-35.0;1;12:00:00;-1;NOR;SUN
SWA X NEW 2015-08-15;261 (78%);586 (92%);6;8;35%;65%;0;7;4;4;;;43;42;0;0;4;2;0;2;1;3;333;635;1;0;1;7;2;6;2;6;3;12;4;19;3;2;0;2015-08-15;-10.0;100.0;69.0;1.0;5.0;6.0;-11.0;-6.0;1.0;1.0;11.0;7.0;-81.0;-31.0;-24.0;-14.0;-8.0;1.0;-1.0;-1.0;2.0;1.0;27.0;1.0;15.0;-30.0;-7.0;-4.0;-2.0;-2.0;1.0;1.0;1.0;59.0;1.0;1.0;1.0;20.0;12.0;-20.0;25.0;20.0;11.0;31.0;18.0;32.0;5.0;8.0;46.0;100.0;70.0;47.0;32.0;26.0;14.0;8.0;48.0;5.0;4.0;7.0;15.0;15.0;50.0;28.0;14.0;6.0;10.0;31.0;10.0;13.0;14.0;19.0;16.0;15.0;14.0;12.0;6.0;47.0;19.0;32.0;23.0;23.0;23.0;15.0;13.0;7.0;8.0;8.0;-16.0;53.0;28.0;35.0;2;12:00:00;1;NEW;SWA
TOT X STO 2015-08-15;351 (82%);407 (81%);13;17;47%;53%;2;4;3;4;;;56;53;0;0;5;5;;;3;3;430;500;;;11;7;6;2;7;7;4;6;15;13;2;2;2;2015-08-15;1.0;95.0;62.0;37.0;22.0;-40.0;-18.0;-8.0;7.0;7.0;13.0;6.0;44.0;27.0;17.0;72.0;40.0;21.0;7.0;5.0;2.0;2.0;9.0;2.0;3.0;4.0;3.0;7.0;4.0;2.0;-1.0;-1.0;-1.0;11.0;-1.0;-1.0;-5.0;-4.0;-28.0;-23.0;-65.0;79.0;65.0;37.0;9.0;12.0;6.0;-1.0;-2.0;41.0;-35.0;-11.0;26.0;6.0;-5.0;-10.0;8.0;-10.0;-52.0;-32.0;-24.0;-60.0;-61.0;-39.0;-24.0;-15.0;-25.0;72.0;-12.0;26.0;8.0;57.0;33.0;22.0;14.0;-55.0;-35.0;-100.0;50.0;-66.0;-43.0;-25.0;-43.0;-99.0;-58.0;-34.0;-44.0;-28.0;-10.0;41.0;-46.0;0.0;2;12:00:00;0;STO;TOT
WAT X WBA 2015-08-15;194 (68%);418 (84%);26;18;37%;63%;1;3;4;2;1;1;64;52;0;0;5;0;;;;;285;498;;;4;7;5;8;0;5;2;9;6;16;2;1;0;2015-08-15;6.0;13.0;8.0;18.0;14.0;21.0;15.0;12.0;8.0;51.0;37.0;5.0;29.0;10.0;-7.0;19.0;19.0;12.0;9.0;17.0;-24.0;-33.0;1.0;42.0;13.0;-44.0;-19.0;32.0;13.0;17.0;17.0;14.0;10.0;45.0;10.0;4.0;1.0;39.0;27.0;20.0;0.0;5.0;26.0;50.0;34.0;30.0;20.0;61.0;31.0;8.0;9.0;10.0;11.0;11.0;12.0;12.0;56.0;12.0;12.0;12.0;17.0;-26.0;-4.0;5.0;10.0;10.0;37.0;34.0;18.0;42.0;31.0;19.0;11.0;38.0;22.0;14.0;10.0;12.0;22.0;6.0;-54.0;-26.0;-13.0;-5.0;-5.0;-23.0;-15.0;-6.0;-1.0;12.0;-18.0;35.0;0;12:00:00;0;WBA;WAT
WES X LEI 2015-08-15;157 (65%);468 (85%);20;25;31%;69%;2;4;4;8;1;0;62;61;0;0;2;3;0;1;1;1;242;553;0;1;7;7;3;3;5;3;3;3;10;10;3;1;2;2015-08-15;9.0;-18.0;26.0;10.0;14.0;13.0;9.0;10.0;7.0;-4.0;1.0;13.0;2.0;7.0;10.0;12.0;13.0;39.0;27.0;-70.0;-100.0;-89.0;17.0;-59.0;-39.0;-16.0;-40.0;-22.0;32.0;12.0;8.0;3.0;3.0;44.0;2.0;1.0;2.0;-79.0;-19.0;7.0;40.0;32.0;24.0;19.0;16.0;30.0;14.0;14.0;40.0;29.0;27.0;21.0;100.0;64.0;44.0;31.0;20.0;44.0;23.0;77.0;55.0;56.0;35.0;-21.0;5.0;-26.0;-13.0;15.0;-4.0;5.0;-26.0;-8.0;10.0;-51.0;-55.0;-21.0;-14.0;-4.0;11.0;5.0;14.0;49.0;36.0;23.0;20.0;13.0;6.0;5.0;15.0;-44.0;2.0;0.0;1;12:00:00;-1;LEI;WES
CRY X ARS 2015-08-16;478 (85%);302 (80%);19;15;60%;40%;7;3;6;6;2;0;66;54;0;0;3;5;0;1;2;3;564;376;;;17;6;6;4;7;4;4;5;20;11;1;1;2;2015-08-16;10.0;-80.0;-49.0;-27.0;-18.0;-5.0;45.0;22.0;-91.0;-48.0;-31.0;7.0;-24.0;28.0;11.0;1.0;-6.0;-53.0;-35.0;-23.0;-50.0;77.0;25.0;33.0;22.0;-26.0;-9.0;-12.0;-13.0;-44.0;-61.0;-28.0;-21.0;12.0;-46.0;-44.0;-28.0;-16.0;-14.0;-5.0;0.0;-8.0;-6.0;-4.0;29.0;9.0;52.0;5.0;3.0;-31.0;-24.0;-28.0;-77.0;-39.0;-18.0;43.0;-8.0;19.0;20.0;11.0;5.0;4.0;-6.0;-3.0;-3.0;-2.0;-33.0;5.0;-20.0;-13.0;-8.0;-6.0;-27.0;31.0;8.0;5.0;3.0;3.0;-6.0;20.0;12.0;7.0;-20.0;-8.0;-5.0;-3.0;-3.0;23.0;41.0;-55.0;47.0;-35.0;1;10:30:00;-1;ARS;CRY
MCI X CHE 2015-08-16;367 (83%);345 (82%);18;15;51%;49%;3;4;1;5;1;0;68;59;0;0;5;3;1;0;3;1;443;423;;;5;11;4;6;3;8;5;7;10;18;2;4;0;2015-08-16;-4.0;7.0;12.0;13.0;-8.0;23.0;12.0;5.0;46.0;66.0;36.0;66.0;10.0;-28.0;-4.0;22.0;5.0;-4.0;9.0;12.0;12.0;25.0;42.0;38.0;31.0;66.0;80.0;32.0;19.0;7.0;26.0;28.0;13.0;19.0;11.0;10.0;-22.0;-12.0;-5.0;32.0;10.0;20.0;19.0;15.0;18.0;7.0;6.0;6.0;1.0;-5.0;-6.0;-13.0;-11.0;-10.0;-29.0;-25.0;21.0;-12.0;43.0;23.0;18.0;7.0;-4.0;-6.0;22.0;2.0;-13.0;7.0;-6.0;-8.0;-56.0;-39.0;-24.0;-15.0;-10.0;-3.0;-3.0;-3.0;3.0;99.0;56.0;37.0;91.0;59.0;27.0;96.0;51.0;25.0;14.0;5.0;-66.0;-5.0;3;13:00:00;1;CHE;MCI
LIV X BOU 2015-08-17;293 (76%);403 (82%);17;23;46%;54%;5;5;8;6;0;1;62;72;0;0;1;2;1;1;0;1;387;492;;;8;8;6;11;2;2;5;10;13;18;4;1;0;2015-08-17;7.0;-17.0;-15.0;-16.0;-63.0;-30.0;-11.0;7.0;4.0;7.0;3.0;4.0;2.0;1.0;1.0;1.0;16.0;30.0;26.0;100.0;74.0;46.0;3.0;59.0;33.0;31.0;13.0;-10.0;6.0;1.0;1.0;1.0;1.0;5.0;9.0;10.0;10.0;31.0;28.0;35.0;25.0;13.0;5.0;-4.0;-44.0;3.0;-51.0;42.0;6.0;18.0;14.0;39.0;20.0;11.0;11.0;12.0;11.0;-10.0;-29.0;-23.0;-15.0;-36.0;-22.0;-5.0;-12.0;-1.0;6.0;6.0;5.0;43.0;24.0;11.0;9.0;3.0;10.0;9.0;15.0;13.0;3.0;12.0;-44.0;-14.0;-7.0;-9.0;-10.0;-57.0;-42.0;-28.0;27.0;-25.0;-14.0;80.0;1;17:00:00;1;BOU;LIV
MUN X NEW 2015-08-22;201 (72%);567 (89%);14;13;31%;69%;3;9;5;11;1;0;58;54;0;0;8;0;1;1;2;4;280;637;;;5;9;4;3;0;8;2;11;7;20;2;2;0;2015-08-22;3.0;8.0;3.0;41.0;29.0;67.0;44.0;30.0;100.0;77.0;39.0;4.0;15.0;12.0;1.0;36.0;21.0;-30.0;-17.0;-63.0;-35.0;-16.0;6.0;-4.0;4.0;8.0;7.0;2.0;4.0;-7.0;-4.0;4.0;8.0;48.0;-21.0;-10.0;-2.0;-62.0;-11.0;7.0;0.0;8.0;14.0;13.0;7.0;37.0;11.0;33.0;11.0;-15.0;6.0;6.0;11.0;16.0;15.0;18.0;59.0;10.0;30.0;43.0;30.0;23.0;39.0;26.0;18.0;20.0;17.0;36.0;13.0;7.0;8.0;-16.0;40.0;28.0;26.0;60.0;41.0;46.0;25.0;31.0;60.0;39.0;30.0;23.0;20.0;55.0;39.0;39.0;29.0;15.0;7.0;40.0;0;09:45:00;0;NEW;MUN
CRY X ASV 2015-08-22;283 (78%);283 (79%);27;24;51%;49%;3;3;4;6;;;61;59;0;0;4;2;;;0;4;363;357;;;7;10;6;7;2;6;5;6;11;16;3;3;1;2015-08-22;-1.0;13.0;40.0;28.0;17.0;9.0;5.0;-45.0;-24.0;-6.0;-40.0;-5.0;-28.0;-42.0;-34.0;-25.0;-22.0;-19.0;-15.0;-30.0;-14.0;-10.0;-8.0;26.0;7.0;6.0;-19.0;-12.0;-8.0;17.0;8.0;23.0;10.0;-14.0;-17.0;9.0;-4.0;-36.0;-30.0;9.0;0.0;4.0;75.0;47.0;30.0;-7.0;18.0;2.0;-7.0;-35.0;-16.0;-8.0;7.0;17.0;-49.0;-20.0;-2.0;-10.0;42.0;67.0;47.0;26.0;13.0;33.0;14.0;1.0;-2.0;2.0;3.0;53.0;73.0;47.0;30.0;73.0;34.0;47.0;-28.0;12.0;1.0;37.0;17.0;7.0;8.0;5.0;-24.0;-10.0;-4.0;102.0;60.0;10.0;39.0;-5.0;2;12:00:00;1;ASV;CRY
